date,open,high,low,close,volume
2025-01-20,126.8243,127.5476,126.0731,126.7962,241718
2025-01-21,129.3117,129.334,129.1305,129.1528,261531
2025-01-22,128.9006,130.6985,127.2434,129.0395,278963
2025-01-23,127.9527,131.3154,124.026,127.3735,446009
2025-01-24,125.0267,126.4949,123.2979,124.763,373854
2025-01-25,122.5956,122.7919,122.4346,122.6309,410589
2025-01-26,121.9842,122.6008,121.675,122.2909,863005
2025-01-27,121.2887,122.9875,119.5357,121.2337,644543
2025-01-28,121.8333,122.2655,120.2665,120.6946,1372689
2025-01-29,122.9641,123.5023,122.3537,122.8916,95441
2025-01-30,117.4655,119.1968,115.3202,117.0453,331449
2025-01-31,120.1282,120.9157,117.807,118.5843,29901
2025-02-01,122.8677,123.1534,121.4742,121.7574,243881
2025-02-02,121.8788,122.583,120.9325,121.6353,278904
2025-02-03,121.6995,122.8978,120.8236,122.0196,291536
2025-02-04,119.4385,120.9187,118.6928,120.1685,334311
2025-02-05,119.9589,121.7599,118.6272,120.423,1187494
2025-02-06,122.9383,123.2214,122.573,122.8559,1057110
2025-02-07,121.2972,124.1019,118.5848,121.3875,145905
2025-02-08,124.2324,124.2455,123.9002,123.9133,343864
2025-02-09,122.8186,125.692,120.2232,123.0908,923806
2025-02-10,124.0077,124.2976,123.5024,123.7918,549324
2025-02-11,127.1524,127.2281,127.0724,127.1481,434413
2025-02-12,124.1597,127.3888,122.209,125.4183,754900
2025-02-13,123.5268,123.5607,123.4743,123.5083,177288
2025-02-14,122.1533,137.5694,107.5056,122.8394,714326
2025-02-15,126.2248,131.5024,120.0936,125.3339,248362
2025-02-16,125.3567,138.0074,111.0888,123.5579,743983
2025-02-17,123.5585,124.517,122.632,123.5903,511403
2025-02-18,126.0704,132.8716,119.2461,126.046,793575
2025-02-19,127.7079,129.5756,125.3712,127.2319,156689
2025-02-20,125.3744,126.1463,124.4884,125.2595,628339
2025-02-21,122.686,122.6893,122.669,122.6723,1111034
2025-02-22,124.3015,130.3919,117.7691,123.8367,546412
2025-02-23,122.1234,123.116,121.824,122.8149,1018906
2025-02-24,121.3881,122.0837,120.9368,121.6315,301602
2025-02-25,121.3413,125.211,117.3676,121.2338,1277899
2025-02-26,118.7183,120.5563,117.9575,119.7887,1200742
2025-02-27,118.9139,119.3664,118.5091,118.9614,896545
2025-02-28,117.3013,118.406,116.1053,117.2091,811082
2025-03-01,119.2448,119.5358,119.0795,119.3703,691602
2025-03-02,118.2734,119.2359,116.8837,117.8428,730834
2025-03-03,118.9905,119.0331,118.9426,118.9852,630080
2025-03-04,116.7427,116.9512,116.6907,116.8991,108402
2025-03-05,120.2235,124.6419,114.6116,118.9844,815706
