date,open,high,low,close,volume
2025-01-20,212.3147,216.0184,207.3926,211.0746,855089
2025-01-21,216.5461,218.1981,215.3769,217.0262,450741
2025-01-22,216.8314,224.3225,207.1959,214.6103,404380
2025-01-23,215.4555,216.7283,214.743,216.014,774733
2025-01-24,208.4528,208.5629,208.3764,208.4864,643116
2025-01-25,210.0924,211.3111,210.0134,211.2317,370213
2025-01-26,200.2621,200.7575,199.713,200.2083,522929
2025-01-27,193.6932,196.6238,191.4204,194.3434,300360
2025-01-28,193.8425,196.1574,192.0977,194.4075,14730
2025-01-29,193.5764,193.6878,193.3402,193.4515,325691
2025-01-30,196.8519,200.7861,192.7776,196.709,376400
2025-01-31,190.7508,195.7423,185.9251,190.9125,48490
2025-02-01,197.0301,207.9504,184.1867,194.9942,149675
2025-02-02,200.7498,202.0863,198.6209,199.9521,624878
2025-02-03,204.1374,206.5923,200.7743,203.2182,959364
2025-02-04,202.6269,203.9096,200.4203,201.6972,81539
2025-02-05,201.6464,202.2338,200.1021,200.6866,879386
2025-02-06,206.4233,210.6258,202.7586,206.9517,382858
2025-02-07,210.9736,211.5382,210.372,210.9365,928803
2025-02-08,208.3228,213.7378,203.5931,208.9929,486607
2025-02-09,213.3945,214.5092,210.5267,211.6322,523761
2025-02-10,208.7577,209.6713,206.7498,207.6586,439946
2025-02-11,201.3569,201.3702,201.3403,201.3536,214742
2025-02-12,200.5827,204.7288,195.1937,199.3136,634127
2025-02-13,202.6594,202.6671,202.6104,202.618,371812
2025-02-14,205.7339,206.6667,204.3421,205.2728,686818
2025-02-15,207.2324,209.2344,205.7876,207.7857,346516
2025-02-16,208.9404,209.023,208.7897,208.8723,428130
2025-02-17,207.4205,207.8162,206.8835,207.2789,679588
2025-02-18,202.4995,204.5748,199.9509,202.0213,499721
2025-02-19,201.4691,202.8992,200.3835,201.8118,333544
2025-02-20,200.1184,202.6798,198.4554,201.0094,26051
2025-02-21,193.3427,195.2076,193.0076,194.8699,756933
2025-02-22,200.9058,201.6331,199.47,200.1947,586036
2025-02-23,197.6543,197.6797,197.6235,197.6489,430258
2025-02-24,200.5885,204.5518,198.03,201.9756,956633
2025-02-25,204.2457,207.08,201.1547,203.9854,152155
2025-02-26,203.0842,204.8336,202.9994,204.7482,88651
2025-02-27,208.2212,212.6127,203.734,208.1235,555727
2025-02-28,208.2893,210.0604,206.7159,208.4855,768707
2025-03-01,205.8475,211.4404,201.4722,207.0398,187070
2025-03-02,199.8871,204.9842,196.6166,201.6843,577958
2025-03-03,200.5697,201.5623,199.8754,200.867,94945
2025-03-04,200.3307,201.1463,199.9024,200.7171,580193
2025-03-05,203.9353,204.8048,202.8858,203.7546,95519
2025-03-06,201.7618,207.0693,198.6635,203.9376,768644
2025-03-07,208.4547,214.7766,201.3482,207.6456,538406
2025-03-08,212.7342,212.976,212.4389,212.6807,85032
2025-03-09,213.4469,215.2745,211.2702,213.0947,89008
2025-03-10,208.1576,208.2994,208.0661,208.2079,199157
2025-03-11,204.2742,205.9168,203.4921,205.1314,317545
2025-03-12,213.9926,216.3346,211.6248,213.9665,455239
2025-03-13,210.6229,211.7294,209.8111,210.9164,184097
2025-03-14,211.8495,211.9762,211.5034,211.6301,608244
2025-03-15,207.523,212.5986,201.6986,206.7553,941749
2025-03-16,203.7495,205.6178,201.2701,203.1328,90715
2025-03-17,205.9712,213.3662,201.2133,208.5488,18226
2025-03-18,207.6092,215.1846,201.6629,209.193,548877
2025-03-19,205.649,207.2222,203.4607,205.0291,352937
2025-03-20,205.3939,206.2131,203.7397,204.5555,405640
2025-03-21,211.0455,224.2653,195.9035,208.9949,397211
2025-03-22,208.4211,209.9382,206.2328,207.745,501611
2025-03-23,204.1965,207.1909,199.5793,202.5496,161792
2025-03-24,195.6661,198.2503,194.3202,196.896,1073099
2025-03-25,197.7949,202.0206,191.5075,195.6883,1229822
2025-03-26,189.1253,196.4078,185.4312,192.6449,180825
2025-03-27,195.0452,195.6535,194.261,194.8687,169811
2025-03-28,191.5227,192.9811,190.6723,192.128,543578
2025-03-29,190.4081,190.6326,190.1396,190.364,736514
2025-03-30,187.103,188.975,185.3631,187.2338,118487
2025-03-31,196.1101,198.3153,194.3344,196.5357,681116
2025-04-01,207.1577,208.4783,203.0232,204.3257,24384
2025-04-02,200.9091,200.9634,200.7797,200.8339,145602
2025-04-03,203.7062,206.6764,199.252,202.2003,1031120
2025-04-04,206.0107,207.9382,202.6573,204.5713,147438
2025-04-05,202.6332,203.1195,200.8676,201.3509,534398
2025-04-06,200.8759,207.6195,196.7946,203.4853,858699
2025-04-07,198.8573,199.1747,198.3632,198.6803,524932
2025-04-08,200.4764,201.1941,199.6925,200.41,752709
2025-04-09,205.8454,206.5624,205.7725,206.4893,359883
2025-04-10,207.995,208.9409,206.629,207.573,182065
2025-04-11,200.4563,203.2414,198.1327,200.9125,512820
2025-04-12,205.0056,206.4406,204.2483,205.6809,320725
2025-04-13,205.0754,208.0156,201.4778,204.4084,366463
2025-04-14,205.6642,214.5324,199.3074,208.1004,248239
2025-04-15,203.4707,203.9173,203.2278,203.6741,523269
2025-04-16,203.1241,204.3048,202.2821,203.4614,1276529
2025-04-17,205.8343,207.8122,204.8106,206.7837,890137
2025-04-18,214.9303,215.1564,213.7473,213.9725,522380
2025-04-19,206.5906,215.07,198.2138,206.6892,424106
2025-04-20,205.8809,219.2343,189.6551,202.8093,460470
2025-04-21,201.1951,207.8763,195.2173,201.8782,472574
2025-04-22,207.1224,214.6836,196.8909,204.3508,547385
2025-04-23,203.1628,207.5865,198.9099,203.3301,35870
2025-04-24,202.1541,203.3674,201.0901,202.3026,855512
2025-04-25,200.0516,201.1329,198.9582,200.0394,33137
2025-04-26,196.9338,205.1133,187.8463,195.9865,488389
2025-04-27,198.2076,201.0366,196.1151,198.9365,105055
2025-04-28,206.3444,209.5304,204.5843,207.7583,179981
2025-04-29,212.3963,214.8313,211.3405,213.7687,99830
2025-04-30,209.479,209.5352,209.4213,209.4775,652877
2025-05-01,211.5141,212.9241,210.3757,211.7842,593238
2025-05-02,215.5297,216.3547,214.9605,215.7849,315865
2025-05-03,218.4708,219.4671,216.234,217.2246,531758
2025-05-04,219.5707,219.9762,219.0737,219.479,460273
2025-05-05,215.668,218.853,213.3473,216.5231,745798
2025-05-06,220.8014,223.0424,216.9189,219.143,244333
2025-05-07,217.0328,225.5282,205.6354,214.0126,218167
2025-05-08,211.1786,212.0084,210.7858,211.6148,267085
2025-05-09,202.9544,205.4968,202.0553,204.5905,1284016
2025-05-10,205.1954,206.0074,204.6133,205.4246,348515
2025-05-11,205.4788,207.6674,202.6015,204.7826,335968
2025-05-12,198.1941,198.3792,197.8261,198.0109,402639
2025-05-13,194.7711,202.2742,187.3303,194.8311,526966
2025-05-14,203.3184,206.8209,199.1932,202.6847,897378
2025-05-15,199.8924,204.1633,195.0314,199.2895,328933
2025-05-16,199.0603,199.0658,198.9944,198.9999,152265
2025-05-17,198.322,207.2418,190.7169,199.5881,68801
2025-05-18,206.4144,212.083,196.8925,202.4523,445272
2025-05-19,201.1092,207.42,196.0961,202.3753,1154972
2025-05-20,201.2642,202.2921,200.3666,201.3939,135369
2025-05-21,209.1331,209.5883,208.9375,209.3925,635883
2025-05-22,209.4228,214.3164,204.1806,209.0658,521717
2025-05-23,201.7909,203.3614,199.7352,201.3019,635888
2025-05-24,203.6119,215.2595,194.0118,205.5672,19825
2025-05-25,207.8932,208.2829,207.5546,207.9442,130191
2025-05-26,202.1767,205.946,199.9647,203.7171,109313
2025-05-27,201.7558,203.0003,201.4357,202.6788,615133
2025-05-28,198.6821,208.7555,191.5222,201.4942,593829
2025-05-29,200.536,206.5561,195.9855,201.973,1138363
2025-05-30,198.2639,203.7796,193.7782,199.2711,420226
2025-05-31,207.6432,208.2915,205.8789,206.5237,779087
2025-06-01,207.5453,208.4639,206.3356,207.2529,254109
2025-06-02,212.4655,219.6062,204.6923,211.811,357828
2025-06-03,219.1712,224.7737,212.8686,218.4527,198401
2025-06-04,217.7729,218.4917,216.9336,217.652,629681
2025-06-05,217.6585,225.1549,209.4322,216.9026,645778
2025-06-06,213.9126,215.3107,212.842,214.2385,817742
2025-06-07,215.6196,223.4812,208.8989,216.7261,724006
2025-06-08,219.7286,221.2098,217.4128,218.8884,374197
2025-06-09,222.6871,222.8196,222.5704,222.7029,197466
2025-06-10,217.3833,218.59,215.913,217.1183,282398
2025-06-11,207.6932,209.1344,206.494,207.9337,365379
2025-06-12,200.3339,208.4174,194.2551,202.2795,209044
2025-06-13,200.2478,200.5543,200.087,200.3934,287882
2025-06-14,201.4177,203.8211,197.758,200.1462,359724
2025-06-15,195.1948,198.3384,191.5575,194.6929,926833
2025-06-16,195.9156,196.1644,195.7029,195.9516,185264
2025-06-17,194.8617,196.9565,190.7427,192.8155,371094
2025-06-18,193.6898,193.923,193.4454,193.6786,31713
2025-06-19,189.9733,194.0178,184.46,188.4726,791986
2025-06-20,193.791,194.8029,191.5228,192.5281,753204
2025-06-21,190.9723,199.1274,184.7518,192.8459,225402
2025-06-22,193.7449,205.8463,181.0614,193.124,112134
2025-06-23,190.3422,191.2581,189.2855,190.2007,305785
2025-06-24,192.5847,192.655,192.5352,192.6055,438466
2025-06-25,185.8706,187.2255,185.2611,186.6135,397086
2025-06-26,186.789,189.1496,185.2463,187.6002,80936
2025-06-27,187.8389,187.9975,186.1204,186.2777,87642
2025-06-28,187.1366,187.9549,184.3444,185.1539,133493
2025-06-29,186.2838,186.7657,185.565,186.0463,137659
2025-06-30,189.6968,192.5126,184.9273,187.7136,1281184
2025-07-01,185.7242,185.8848,185.4161,185.5766,249838
2025-07-02,190.9407,191.3108,190.5075,190.8775,121406
2025-07-03,193.3683,203.5384,182.8867,193.0394,306313
2025-07-04,193.6704,201.6535,186.1536,194.1194,1242350
2025-07-05,194.028,194.8687,193.0075,193.8474,152685
2025-07-06,190.2402,190.6311,189.9174,190.3083,427877
2025-07-07,181.9607,184.637,180.0389,182.7074,249356
2025-07-08,182.3852,182.8475,182.3067,182.7689,498536
2025-07-09,186.0365,186.7735,184.8274,185.5625,242091
2025-07-10,186.8554,189.7751,184.8235,187.7337,461798
2025-07-11,189.6309,189.7645,189.3151,189.4486,568997
2025-07-12,184.9103,186.9883,182.818,184.8958,1294571
2025-07-13,185.8781,187.457,184.9616,186.5373,609379
2025-07-14,193.1833,195.4852,190.7241,193.024,933942
2025-07-15,195.067,203.7065,187.0121,195.6285,263269
2025-07-16,188.6354,201.8203,173.215,186.2319,1105830
2025-07-17,184.4012,189.617,180.841,186.0254,261536
