date,open,high,low,close,volume
2025-01-20,546.7989,550.035,540.501,543.7189,601801
2025-01-21,539.4206,542.2268,534.5315,537.3268,897598
2025-01-22,526.0703,535.2681,518.697,527.8696,589557
2025-01-23,518.2166,518.9387,517.0855,517.807,597525
2025-01-24,523.422,527.9332,515.4928,519.9743,74771
2025-01-25,535.0233,553.2571,512.9802,531.0797,30325
2025-01-26,535.6117,537.1889,534.0293,535.6065,424047
2025-01-27,546.3438,571.9246,520.2507,545.8063,1073576
2025-01-28,551.359,563.0218,543.1698,554.7818,660026
2025-01-29,557.5275,558.3104,556.7981,557.5809,346894
2025-01-30,559.3497,559.5604,559.2392,559.4498,1141006
2025-01-31,548.9895,551.1536,547.1342,549.2972,271847
2025-02-01,548.0729,551.4213,543.5795,546.9209,429233
2025-02-02,536.074,538.1174,534.8949,536.9364,407382
2025-02-03,524.5045,529.9734,519.6719,525.1349,797377
2025-02-04,514.5567,531.0674,496.0351,512.4791,1007766
2025-02-05,506.3097,510.2141,505.2106,509.1089,462401
2025-02-06,519.5179,521.2165,518.2001,519.8977,686968
2025-02-07,512.8131,513.6862,509.0818,509.95,138953
2025-02-08,520.935,524.0442,511.876,514.9495,970081
2025-02-09,534.7941,540.0635,525.0384,530.2632,57997
2025-02-10,528.7355,558.8733,495.7398,525.7049,266062
2025-02-11,521.8165,531.3727,514.1175,523.6466,1375462
2025-02-12,525.758,529.6595,522.7338,526.6303,434378
2025-02-13,525.8996,532.2511,519.5197,525.8708,781080
2025-02-14,523.2804,524.6428,520.7786,522.138,297897
2025-02-15,506.4175,510.9359,499.1345,503.6281,85755
2025-02-16,527.9835,541.2603,512.6788,525.9033,692290
2025-02-17,534.9513,535.167,531.8541,532.0688,672630
2025-02-18,527.4467,544.2327,512.6144,529.347,69312
2025-02-19,523.7205,523.8243,523.5937,523.6976,937218
2025-02-20,526.0774,531.3264,520.1019,525.3435,1370294
2025-02-21,499.2825,504.1013,496.1495,500.9578,112447
2025-02-22,539.2758,543.9594,526.2397,530.8501,638285
2025-02-23,542.5182,552.223,533.4293,543.124,807679
2025-02-24,550.653,564.6344,531.8359,545.6913,941261
2025-02-25,545.3197,545.4063,545.2554,545.342,16420
2025-02-26,533.1976,533.3193,533.0341,533.1558,93892
2025-02-27,519.4224,521.781,515.1616,517.5115,178765
2025-02-28,525.1731,531.6109,519.8428,526.2694,642031
2025-03-01,537.9974,556.9183,521.2269,540.0828,893430
2025-03-02,550.8382,557.2248,545.2926,551.6708,487375
2025-03-03,557.6479,559.3438,556.2789,557.9741,209914
2025-03-04,551.27,558.2681,545.171,552.1593,555723
2025-03-05,566.1036,582.5239,547.0392,563.3806,495837
2025-03-06,546.2343,553.3735,533.689,540.7566,1257990
2025-03-07,541.5776,547.9908,530.2278,536.5818,122050
2025-03-08,553.3613,553.3896,553.2986,553.3269,148050
2025-03-09,538.2672,538.7404,537.9897,538.4628,487125
2025-03-10,540.7609,542.9622,539.3746,541.5738,744516
