date,open,high,low,close,volume
2025-01-20,420.4596,421.3965,419.6846,420.6212,1046005
2025-01-21,427.8552,431.6256,422.8089,426.568,1026438
2025-01-22,428.7168,442.3603,418.7156,432.276,155048
2025-01-23,441.6855,462.7377,415.1412,435.9185,451468
2025-01-24,431.1988,432.2013,430.1445,431.1469,780469
2025-01-25,420.1541,421.2504,419.4093,420.505,595923
2025-01-26,402.1128,418.3166,391.5172,407.5769,219907
2025-01-27,429.1655,433.6068,422.5697,426.9884,103171
2025-01-28,440.9288,443.5803,439.2201,441.868,53060
2025-01-29,438.2545,445.1276,424.5418,431.3059,565690
2025-01-30,434.1097,446.3542,414.8255,426.8657,1422572
2025-01-31,420.8456,422.5119,419.8682,421.5329,969938
2025-02-01,436.4338,446.2869,423.7811,433.5697,66865
2025-02-02,425.594,426.1524,425.2171,425.7753,241392
2025-02-03,435.226,448.9112,421.7161,435.396,203831
2025-02-04,427.5344,430.5092,423.1578,426.1229,372531
2025-02-05,425.1254,425.2576,424.5837,424.7157,650897
2025-02-06,417.4083,432.5546,401.6865,416.8112,610072
2025-02-07,428.8686,430.405,427.9038,429.4389,618731
2025-02-08,433.9095,434.2867,433.6731,434.0502,984575
2025-02-09,435.2366,437.8922,434.3479,436.9999,112466
2025-02-10,441.7984,445.063,439.5345,442.794,953821
2025-02-11,444.3397,444.6351,444.0078,444.3031,61250
2025-02-12,447.6137,461.3325,428.6767,442.2305,723111
2025-02-13,441.8511,449.3566,435.0922,442.5863,532933
2025-02-14,434.7537,449.8979,423.039,438.0932,241637
2025-02-15,434.7371,442.668,426.1662,434.0851,1004263
2025-02-16,436.7705,449.973,429.0774,442.1844,358124
2025-02-17,457.319,457.8004,456.4647,456.9458,491786
2025-02-18,460.9997,473.8856,451.1433,463.9659,991904
2025-02-19,469.9406,480.9886,460.8815,471.8919,456290
2025-02-20,462.8427,467.7348,459.7368,464.617,946852
2025-02-21,450.1739,457.1459,446.1035,453.0495,811999
2025-02-22,462.5461,465.0175,459.0516,461.5175,451299
2025-02-23,448.4107,449.7814,445.5704,446.9366,539702
2025-02-24,449.8477,453.7408,443.4813,447.3528,453597
2025-02-25,443.007,445.7575,440.557,443.3058,425664
2025-02-26,452.0384,454.3224,450.0576,452.3403,198756
2025-02-27,450.0377,451.0778,448.6798,449.7192,499833
2025-02-28,450.0912,451.8527,447.7676,449.527,412164
2025-03-01,430.4351,432.1384,427.1626,428.8597,309082
2025-03-02,424.254,424.9338,423.8782,424.5577,812053
2025-03-03,417.7637,428.758,406.989,417.9778,221306
2025-03-04,429.4852,431.3447,428.6421,430.4996,155290
2025-03-05,436.4142,439.6936,435.2306,438.5043,547971
2025-03-06,446.7754,457.7477,431.8695,442.7427,92382
2025-03-07,441.1279,458.929,436.5939,454.26,377726
2025-03-08,454.7455,460.524,449.718,455.4882,943632
2025-03-09,446.6704,453.1483,442.4546,448.9114,253644
2025-03-10,453.4234,453.4246,453.4228,453.4241,901180
2025-03-11,447.8617,450.9483,445.2935,448.3772,842866
2025-03-12,448.6381,449.9076,448.044,449.3126,508983
2025-03-13,448.9239,450.1681,446.9073,448.1493,41004
2025-03-14,451.4331,468.5092,430.0906,446.9989,223559
2025-03-15,462.999,465.4738,460.012,462.484,313201
2025-03-16,450.2202,450.4276,449.6425,449.8497,412871
2025-03-17,454.4217,454.655,454.2534,454.4866,379054
2025-03-18,454.3301,467.5887,447.4102,460.5737,242884
2025-03-19,454.4035,465.2269,450.9131,461.6806,662700
2025-03-20,457.5097,460.1278,456.4428,459.0573,262899
2025-03-21,462.3216,487.048,430.7798,455.1211,889452
2025-03-22,447.2937,461.3007,432.0008,445.9663,457916
2025-03-23,453.5876,458.1411,450.582,455.1253,57214
2025-03-24,465.2592,470.3741,461.7098,466.8129,40482
2025-03-25,453.7751,459.0627,448.0858,453.3686,80569
2025-03-26,467.9444,472.2865,462.4258,466.7569,831887
2025-03-27,459.4655,466.4383,454.5992,461.5499,872477
2025-03-28,455.3952,457.6257,451.4544,453.6765,290442
2025-03-29,454.6282,476.8557,429.192,451.2545,562832
2025-03-30,449.2679,450.1071,448.2877,449.1266,1104545
2025-03-31,454.7948,459.0282,447.422,451.6259,721192
2025-04-01,445.0005,463.8416,429.3103,448.0441,121993
2025-04-02,457.2117,474.5927,440.0754,457.4475,465883
2025-04-03,474.5237,483.8692,466.1623,475.4908,55013
2025-04-04,482.1429,486.278,480.1484,484.2747,635889
2025-04-05,491.0973,499.0318,483.8304,491.7552,677282
2025-04-06,494.2835,497.2191,493.5355,496.4678,484570
2025-04-07,503.542,503.6502,503.3426,503.4508,118079
2025-04-08,493.9067,528.1032,467.2095,501.0214,39238
2025-04-09,496.2422,497.006,495.6717,496.4353,543453
2025-04-10,511.6335,512.2546,510.7983,511.4191,231654
2025-04-11,516.2191,529.462,505.1891,518.3857,301751
2025-04-12,520.9522,521.0951,520.4898,520.6327,271726
2025-04-13,519.5666,523.0344,515.6085,519.073,252803
2025-04-14,521.0576,522.2989,519.8218,521.0631,102280
2025-04-15,524.0666,529.6897,518.2338,523.8547,710173
2025-04-16,505.1973,511.8126,495.7351,502.3126,724300
2025-04-17,501.433,540.4655,455.1484,493.5686,464208
