date,open,high,low,close,volume
2025-01-20,642.7029,645.1095,641.4213,643.8257,74319
2025-01-21,628.3413,632.1887,625.8632,629.7052,495164
2025-01-22,623.8961,624.3281,623.3489,623.7808,1107686
2025-01-23,621.8366,639.5181,605.0045,622.6636,195791
2025-01-24,623.7143,644.0922,607.3837,627.6583,226357
2025-01-25,613.385,645.3896,588.3634,620.0943,490567
2025-01-26,616.0225,623.8981,610.4235,618.2786,547561
2025-01-27,607.0273,616.6097,597.6851,607.2639,547954
2025-01-28,595.6396,609.3238,583.7653,597.4141,188811
2025-01-29,566.1097,568.5465,561.8359,564.2648,125838
2025-01-30,556.8569,567.0058,548.4569,558.5798,1096467
2025-01-31,563.8765,572.2167,553.2432,561.549,112479
2025-02-01,565.3817,566.1178,564.7557,565.4917,853819
2025-02-02,568.7934,569.8337,567.2889,568.3284,72800
2025-02-03,577.3866,584.5044,567.6244,574.7091,551168
2025-02-04,586.5559,587.724,584.8025,585.9694,370424
2025-02-05,577.5984,577.9578,577.54,577.8993,1039244
2025-02-06,559.7276,559.9522,559.5695,559.794,553655
2025-02-07,552.1985,568.7,537.8163,554.264,54663
2025-02-08,546.6492,550.586,534.0407,537.9147,214541
2025-02-09,536.0828,538.7205,533.7688,536.4051,398608
2025-02-10,545.938,563.6032,525.5251,543.0985,43729
2025-02-11,543.202,543.6826,542.7256,543.2063,301827
2025-02-12,537.7858,544.4885,530.7332,537.4315,176649
2025-02-13,557.5588,563.9002,553.6234,559.9479,536124
2025-02-14,565.3062,580.2606,552.1737,567.0867,240251
2025-02-15,573.3645,575.1982,571.4242,573.2576,111061
2025-02-16,575.2657,579.4145,571.1293,575.278,471527
2025-02-17,576.791,586.1132,565.4251,574.7138,712685
2025-02-18,567.6579,577.7078,559.0052,569.034,224742
2025-02-19,598.356,599.8096,596.2358,597.6879,484444
2025-02-20,586.3274,586.5531,585.9755,586.2012,680602
2025-02-21,582.6163,597.3239,561.6181,576.1628,599800
2025-02-22,567.1616,575.7393,566.6903,575.2613,250144
2025-02-23,571.7726,577.9928,566.0188,572.2344,87846
2025-02-24,576.5315,587.5907,558.239,569.1566,396034
2025-02-25,574.0215,574.9623,573.1001,574.0409,489144
2025-02-26,586.9431,588.3655,585.481,586.9033,690832
2025-02-27,584.1592,592.2079,584.1478,592.1964,246013
2025-02-28,601.6354,605.0759,598.2399,601.6802,766438
2025-03-01,615.4203,622.7587,606.7713,614.0939,815279
2025-03-02,618.1709,618.8939,617.4065,618.1294,214564
2025-03-03,626.016,631.6364,618.7277,624.333,23320
2025-03-04,631.6629,644.2916,618.4633,631.0804,593673
2025-03-05,634.4244,637.3077,631.2027,634.0844,78846
2025-03-06,629.9368,633.484,626.5214,630.0679,1001653
2025-03-07,625.1025,645.4564,603.6783,623.9961,635508
2025-03-08,615.1321,631.1161,605.475,621.3611,375200
2025-03-09,617.5321,630.6459,603.3604,616.4512,1254333
2025-03-10,613.4883,614.3,612.7605,613.5721,248631
2025-03-11,619.6276,625.661,615.9916,622.011,298540
2025-03-12,616.7109,618.9066,615.6218,617.8155,306712
2025-03-13,614.8996,620.967,610.1204,616.1779,352842
2025-03-14,596.5782,601.1993,594.4037,599.0159,1054653
2025-03-15,590.0072,592.4208,588.5883,590.9995,392775
2025-03-16,578.4172,581.9302,576.3341,579.842,219103
2025-03-17,579.1746,588.9463,574.0948,583.8257,598613
2025-03-18,573.2964,577.4221,568.459,572.5795,240912
2025-03-19,570.9028,579.7937,564.5647,573.4275,933627
2025-03-20,573.5445,573.9701,573.4852,573.9107,1109566
2025-03-21,566.0558,568.7492,562.9873,565.6789,445465
2025-03-22,567.216,574.7592,558.9756,566.5094,77710
2025-03-23,566.5801,568.611,564.9443,566.9741,218493
2025-03-24,565.1247,571.158,559.4719,565.5014,155248
2025-03-25,578.3006,578.6099,577.9622,578.2715,89698
2025-03-26,578.2337,597.4633,565.1305,584.2244,290651
2025-03-27,592.4096,594.0289,588.6392,590.2526,725567
2025-03-28,600.6933,601.1983,599.1364,599.6405,253077
2025-03-29,577.4962,577.8215,576.8552,577.1803,547183
2025-03-30,573.7744,595.2531,547.0826,568.3586,1231140
2025-03-31,569.8006,576.1824,566.5679,572.9319,380580
2025-04-01,562.432,563.9121,560.5825,562.0616,719663
2025-04-02,562.6888,562.8582,562.5885,562.7579,101101
2025-04-03,563.0953,610.1411,508.5916,554.9575,175192
2025-04-04,573.3924,629.0834,501.2947,555.2208,561639
2025-04-05,545.8021,550.2743,543.8164,548.2795,56233
2025-04-06,569.5792,582.4931,554.0445,566.8977,25595
2025-04-07,587.1206,594.1669,575.8974,582.893,394970
2025-04-08,581.263,591.0289,570.9774,580.7344,929423
2025-04-09,576.4777,578.9308,572.2011,574.6464,246954
2025-04-10,580.8129,592.0475,564.5683,575.7041,212578
2025-04-11,573.9662,613.0481,525.352,563.7374,229824
2025-04-12,579.495,582.3794,576.9626,579.8454,101480
2025-04-13,599.9148,607.0184,595.3363,602.4208,1347340
2025-04-14,607.4361,608.98,604.4488,605.989,384020
2025-04-15,585.8244,588.262,582.4769,584.9107,491706
2025-04-16,588.8413,588.9859,586.2711,586.4151,31785
2025-04-17,609.8503,624.2397,592.3856,606.7007,399302
2025-04-18,595.0036,612.2528,579.9988,597.1928,800100
2025-04-19,591.9104,615.8582,568.9317,592.8432,782255
2025-04-20,592.0878,595.1501,587.128,590.1804,810160
2025-04-21,599.3775,600.5655,595.8679,597.0514,317681
2025-04-22,586.1817,589.3811,585.6429,588.8398,437607
2025-04-23,581.1383,581.6833,580.6861,581.231,71644
2025-04-24,579.1087,580.0039,578.5082,579.4031,942505
2025-04-25,578.6932,590.6812,567.3286,579.3045,293184
2025-04-26,567.6071,567.9728,567.379,567.7446,657197
2025-04-27,577.46,606.66,557.5012,586.3925,980300
2025-04-28,573.1926,580.6895,566.4868,573.9745,1133529
2025-04-29,573.0841,582.7949,563.8083,573.5122,892043
2025-04-30,585.1165,587.0701,578.228,580.1651,144330
2025-05-01,571.1225,576.209,565.0188,570.0961,577991
2025-05-02,575.5564,577.8028,574.4594,576.7036,1035300
2025-05-03,570.0897,584.3619,550.5748,564.7124,127905
2025-05-04,576.5337,581.238,571.5347,576.2365,868529
2025-05-05,563.5116,565.185,563.5042,565.1776,714006
2025-05-06,577.9652,590.1532,566.6981,578.8685,957401
2025-05-07,578.6565,581.2722,577.8209,580.434,253311
2025-05-08,592.2931,596.4895,587.041,591.2299,1085346
2025-05-09,586.4376,611.8322,559.3346,584.6519,13920
2025-05-10,598.9835,645.5444,548.0636,594.2571,627531
2025-05-11,590.0737,598.7375,581.2138,589.8747,79801
2025-05-12,578.2165,578.621,578.1655,578.57,148564
2025-05-13,577.3912,593.9962,559.1601,575.717,104349
2025-05-14,575.862,592.3479,561.0909,577.5339,77349
2025-05-15,577.9752,585.3175,572.8266,580.1495,159263
2025-05-16,569.7082,574.0363,565.2942,569.6217,1130011
2025-05-17,575.1135,590.9851,555.8218,571.5963,306079
2025-05-18,590.5632,602.7756,571.4481,583.5147,96377
2025-05-19,603.1174,605.8785,596.3704,599.1132,379939
2025-05-20,601.2947,602.2288,599.9246,600.858,338250
2025-05-21,624.5345,632.1885,617.3754,625.0238,1284323
2025-05-22,616.3778,636.3225,605.0178,624.8071,219791
2025-05-23,613.8666,626.6482,601.7722,614.5404,38604
2025-05-24,620.1064,621.8434,617.8941,619.6298,234640
2025-05-25,626.3388,630.3019,622.8092,626.77,612165
2025-05-26,638.8399,655.9924,614.2262,631.1729,196595
2025-05-27,625.1489,633.5357,617.0176,625.4011,322980
2025-05-28,618.3154,619.9957,616.504,618.184,537945
2025-05-29,624.6677,632.7537,614.7815,622.8439,209889
2025-05-30,611.0765,619.7226,606.5167,615.1325,674399
2025-05-31,611.9292,621.6758,595.4751,605.1131,371067
2025-06-01,590.5981,590.7893,590.3519,590.5431,604713
2025-06-02,573.1093,573.1946,572.9927,573.078,328485
2025-06-03,577.8513,592.5847,561.2125,575.8961,264328
2025-06-04,564.6397,568.8867,560.1967,564.4422,426116
2025-06-05,568.0692,568.275,567.9871,568.1928,30638
2025-06-06,551.9231,569.4725,538.5339,555.9847,502927
2025-06-07,552.1211,552.2047,551.9651,552.0487,1159705
2025-06-08,552.2925,552.485,552.2522,552.4447,448388
2025-06-09,548.9336,549.3313,547.3782,547.7751,222965
2025-06-10,521.0166,531.2311,513.4407,523.6174,1144719
2025-06-11,495.0252,498.1287,494.0778,497.1772,512237
2025-06-12,496.8319,504.1411,489.5542,496.863,527134
2025-06-13,465.4693,471.7375,457.4699,463.7144,488193
2025-06-14,457.9199,464.0358,450.7606,456.8624,435454
2025-06-15,471.1243,485.3173,455.6482,469.8013,604762
2025-06-16,461.8234,464.5306,458.2857,460.988,560088
2025-06-17,456.3936,468.732,442.0923,454.3762,253482
2025-06-18,445.1483,450.9244,439.7707,445.5421,460336
2025-06-19,442.6281,462.696,425.8137,445.7625,1083652
2025-06-20,450.4658,452.38,447.3288,449.2378,1265753
2025-06-21,450.0147,470.9655,426.7093,447.545,1029545
2025-06-22,440.6215,444.5502,436.4521,440.3786,639435
2025-06-23,457.7032,459.9236,457.2663,459.485,602771
2025-06-24,455.4883,493.3088,423.4066,460.8494,1040346
2025-06-25,432.52,432.9206,431.29,431.6898,188054
2025-06-26,436.218,445.4632,429.0159,438.2279,54001
2025-06-27,447.2198,450.6467,443.598,447.0235,74843
2025-06-28,445.8551,451.7134,438.972,444.8167,349692
2025-06-29,450.7466,471.384,428.564,449.1274,1146714
2025-06-30,447.2187,449.2086,444.1546,446.1398,535112
2025-07-01,440.7238,441.3617,440.2096,440.8473,402170
2025-07-02,445.0001,451.4023,438.8909,445.2892,525643
2025-07-03,445.8062,446.3955,445.5611,446.1502,729580
2025-07-04,448.1828,456.9318,438.1638,446.8876,386962
2025-07-05,433.6815,434.1784,432.9984,433.4951,49852
2025-07-06,436.5811,439.2816,433.2647,435.9614,452314
2025-07-07,436.0966,440.4752,429.9947,434.3559,765739
2025-07-08,427.8242,444.4484,407.3094,423.7762,40397
2025-07-09,426.1894,440.9008,410.0589,424.7196,831191
2025-07-10,431.3646,434.9249,425.5396,429.081,975852
2025-07-11,425.0251,437.8055,415.7205,428.4263,1060298
2025-07-12,426.4877,429.0798,424.4238,427.0134,1184966
2025-07-13,416.9954,423.9548,408.9462,415.8871,734622
2025-07-14,410.7636,418.8361,403.5731,411.6304,77358
2025-07-15,410.6755,410.7012,409.3846,409.4103,386288
2025-07-16,405.1535,405.1908,405.0581,405.0954,560011
2025-07-17,402.9086,403.0644,402.6204,402.7761,849483
2025-07-18,397.909,397.9175,397.6222,397.6307,750913
2025-07-19,394.9256,403.3099,385.6235,393.9879,238371
2025-07-20,405.9083,406.8944,404.9934,405.9794,413410
2025-07-21,406.5104,415.0665,396.2465,404.7659,1060938
2025-07-22,391.1482,392.8073,389.0391,390.6963,1294586
2025-07-23,400.5424,402.2495,399.7446,401.45,133754
2025-07-24,388.0168,395.3876,380.4219,387.7883,185934
2025-07-25,399.4172,403.0496,396.2787,399.9073,104896
2025-07-26,401.4381,401.6037,399.4277,399.5926,1156250
2025-07-27,394.6523,394.6885,392.8977,392.9338,187836
2025-07-28,384.4922,392.4127,378.1191,386.0143,815654
2025-07-29,397.2024,397.5171,395.6387,395.9524,1249467
2025-07-30,389.9645,392.4216,387.7026,390.1585,94668
2025-07-31,389.5697,403.6321,372.8564,386.8195,405521
2025-08-01,388.0928,389.2647,386.906,388.0778,469741
2025-08-02,383.7454,384.409,382.9163,383.5797,31571
2025-08-03,377.3656,385.6546,371.9261,380.1746,1017859
2025-08-04,389.3832,389.6132,388.4463,388.6759,241644
2025-08-05,384.5256,384.5409,383.0744,383.0896,408843
2025-08-06,361.0952,388.9381,336.9139,364.527,417065
2025-08-07,361.1732,366.3962,351.8671,357.0302,544507
2025-08-08,362.4557,373.1034,351.1573,361.7854,745850
2025-08-09,382.9437,383.9752,376.9333,377.9514,1088506
2025-08-10,370.1603,380.4801,362.1728,372.4434,371028
2025-08-11,377.732,378.6489,376.7812,377.698,1009903
