date,open,high,low,close,volume
2025-01-20,236.9153,238.6233,234.0254,235.7249,269260
2025-01-21,239.6546,242.1901,236.5424,239.0718,299095
2025-01-22,239.5975,243.3245,237.4722,241.1852,1247413
2025-01-23,237.0008,241.0529,231.3416,235.3657,120576
2025-01-24,233.1779,244.8276,224.4618,236.0059,436251
2025-01-25,234.777,258.6968,210.8952,234.8115,353019
2025-01-26,237.8703,242.0499,235.0519,239.2156,1049843
2025-01-27,241.9743,243.1652,240.5441,241.7338,769561
2025-01-28,233.3154,233.9956,233.0205,233.7002,957175
2025-01-29,238.7554,245.7347,229.3521,236.2585,188009
2025-01-30,230.869,238.2114,223.7743,231.1094,566045
2025-01-31,232.8537,236.8645,228.1588,232.1576,415582
2025-02-01,227.7811,236.9068,218.6962,227.8203,406348
2025-02-02,228.2767,230.6209,225.2953,227.6329,7840
2025-02-03,230.9208,233.5354,229.2513,231.8592,915415
2025-02-04,233.7272,237.253,230.6757,234.1955,679631
2025-02-05,233.0914,236.8437,229.9204,233.665,798454
2025-02-06,231.3944,233.8782,229.2951,231.7755,140513
2025-02-07,230.92,232.7777,228.8518,230.7078,678417
2025-02-08,225.4832,226.0114,225.4043,225.9323,706323
2025-02-09,224.5933,235.8313,211.5352,222.6773,1277126
2025-02-10,220.4523,220.5842,220.2888,220.4207,89218
2025-02-11,218.221,218.8594,217.2868,217.9243,601977
2025-02-12,219.465,221.6351,215.0352,217.1828,102082
2025-02-13,220.3612,221.4318,219.1311,220.2009,1182845
2025-02-14,225.3004,228.3559,222.1346,225.1886,186531
2025-02-15,220.7843,224.7891,216.5205,220.5206,351837
2025-02-16,212.8113,218.883,207.5049,213.558,181281
2025-02-17,218.3862,223.0947,211.5018,216.1623,980811
2025-02-18,207.9175,211.6626,206.2088,209.9374,1061353
2025-02-19,207.2577,207.676,206.8711,207.2892,565264
2025-02-20,214.7197,218.7673,209.3301,213.352,255358
2025-02-21,208.3708,208.9837,207.5773,208.1897,181954
2025-02-22,212.2048,220.565,203.3781,211.7192,932042
2025-02-23,213.3831,215.9286,209.5777,212.1079,612459
2025-02-24,214.4538,218.0094,211.6359,215.1819,1274069
2025-02-25,216.5384,216.8707,216.346,216.6781,1001803
2025-02-26,224.1911,224.6047,223.6232,224.0365,59719
2025-02-27,228.8741,229.359,228.5275,229.0123,245146
2025-02-28,231.7537,232.8696,230.7648,231.8801,946600
2025-03-01,223.8171,225.9679,223.7974,225.948,648423
2025-03-02,217.8178,232.1457,207.0327,221.1934,365956
2025-03-03,217.5356,228.6142,208.1402,219.1491,673925
2025-03-04,210.4295,211.82,209.298,210.6871,577953
2025-03-05,213.9138,221.2599,207.0928,214.4227,240481
2025-03-06,214.066,223.3247,206.6808,215.877,1021272
2025-03-07,212.3011,214.0724,210.6954,212.4654,325727
2025-03-08,207.387,210.7605,203.809,207.1791,27382
2025-03-09,212.6328,217.3138,209.3314,213.9913,520238
2025-03-10,225.8229,232.1525,217.9299,224.2145,524956
2025-03-11,219.5371,230.3316,210.3803,221.1092,522085
2025-03-12,217.0986,224.4763,210.2988,217.659,37061
2025-03-13,218.0311,230.6267,207.0777,219.5947,643433
2025-03-14,217.2199,221.5177,212.2735,216.5582,145330
2025-03-15,215.2718,216.837,213.2378,214.7995,385798
2025-03-16,208.2646,208.6509,207.6278,208.0136,362300
2025-03-17,204.8692,205.6781,202.9235,203.7278,494408
2025-03-18,201.9447,204.661,198.337,201.0412,103340
2025-03-19,203.3771,207.3381,199.1012,203.056,390579
2025-03-20,190.2669,191.3765,189.184,190.2934,362344
2025-03-21,193.3861,193.5084,193.2375,193.3598,220128
2025-03-22,196.0144,200.595,192.3679,196.9315,248748
2025-03-23,205.3525,207.9863,201.1081,203.721,863306
2025-03-24,211.1899,211.3237,211.113,211.2467,1134699
2025-03-25,218.2268,220.6276,214.5435,216.9301,612339
2025-03-26,219.8041,222.6067,217.4187,220.2168,319323
2025-03-27,220.3089,221.5137,219.5691,220.7723,214080
2025-03-28,217.648,225.281,208.0223,215.583,555679
2025-03-29,222.6652,223.3447,222.2528,222.9319,358396
2025-03-30,222.8099,225.2233,219.6965,222.1022,625031
2025-03-31,227.1062,230.3396,225.2617,228.4839,654799
2025-04-01,224.6744,226.6174,224.3738,226.3146,375710
2025-04-02,229.4772,232.1672,225.8862,228.5656,678769
2025-04-03,224.0151,230.2154,217.0083,223.1857,931274
2025-04-04,227.1763,232.59,222.1098,227.516,165475
2025-04-05,213.3512,219.6363,208.711,214.961,275145
2025-04-06,219.4823,220.0603,219.1079,219.6856,1024104
2025-04-07,222.0475,222.8539,221.6525,222.4581,1015971
2025-04-08,226.624,230.9426,220.0083,224.2823,172830
2025-04-09,229.8946,232.5998,227.2833,229.9875,375640
2025-04-10,231.143,234.5171,227.3476,230.7154,397426
2025-04-11,230.8549,236.9779,223.6453,229.7387,306434
2025-04-12,229.3501,233.3593,226.0661,230.0651,808891
2025-04-13,228.2847,234.8367,223.399,229.9161,237567
2025-04-14,237.7168,238.8814,235.8786,237.0399,883761
2025-04-15,237.3622,238.1896,234.5814,235.4019,361917
2025-04-16,239.255,239.8646,237.4356,238.0422,1123041
2025-04-17,235.5936,236.7068,234.5174,235.6304,342444
2025-04-18,229.7899,235.1047,224.5502,229.8633,762744
2025-04-19,233.896,235.6903,233.2564,235.0476,1063091
2025-04-20,227.4414,234.9407,222.7815,230.2238,386983
2025-04-21,236.4683,239.3297,232.2408,235.0856,463701
2025-04-22,229.9138,232.3582,229.5395,231.9806,420753
2025-04-23,236.9204,237.1502,236.8661,237.0959,950922
2025-04-24,232.0157,233.1922,229.8335,231.0048,1300946
2025-04-25,225.2077,226.075,224.5728,225.4395,337689
2025-04-26,221.3534,221.8046,221.1323,221.5832,572817
2025-04-27,218.3016,218.5245,218.0207,218.2435,524819
2025-04-28,214.6464,221.1771,207.0668,213.5646,816854
2025-04-29,216.9896,218.5213,215.3674,216.8984,44720
2025-04-30,217.8483,219.0936,216.9048,218.1487,208676
2025-05-01,222.1575,224.7401,220.3891,222.9653,645146
2025-05-02,226.1025,228.9429,224.2053,227.0377,273047
2025-05-03,220.5596,221.4396,219.7529,220.6326,391902
2025-05-04,225.5391,228.6751,220.3152,223.4218,80270
2025-05-05,226.5453,226.9271,225.8572,226.2384,183714
2025-05-06,226.4314,235.3536,216.7668,225.6586,16045
2025-05-07,235.298,235.4773,234.5235,234.7024,298747
2025-05-08,235.9522,237.8197,235.291,237.1551,940487
2025-05-09,239.0571,255.1772,224.1923,240.2388,259337
2025-05-10,246.6471,251.2735,243.2698,247.8793,238662
2025-05-11,245.0657,253.6169,238.5713,247.0694,332562
2025-05-12,245.9603,251.9391,241.7962,247.7448,627692
2025-05-13,244.8619,248.0123,240.1059,243.2353,1064791
2025-05-14,243.9016,245.77,241.6587,243.5242,111761
2025-05-15,247.1019,247.3809,246.8789,247.1578,608146
2025-05-16,250.2195,253.2248,245.9986,248.9892,630604
2025-05-17,256.7652,258.1583,249.7171,251.0793,34989
2025-05-18,254.6103,256.3513,252.9219,254.6625,603875
2025-05-19,259.3818,265.4242,253.4093,259.4501,534673
2025-05-20,259.9327,272.2792,251.5998,263.8216,396768
2025-05-21,276.376,293.8716,255.7526,273.0368,618616
2025-05-22,271.01,272.3022,270.6677,271.9587,152121
2025-05-23,276.2827,280.6027,270.8746,275.1773,107953
2025-05-24,278.5808,280.4738,275.2324,277.1154,31154
2025-05-25,272.4584,278.4781,268.4812,274.4715,480938
2025-05-26,281.5109,282.6147,280.6931,281.796,54242
2025-05-27,279.4844,285.5721,273.4085,279.496,210422
2025-05-28,283.2326,284.0725,282.7096,283.549,404161
2025-05-29,279.9057,290.0538,272.3238,282.4042,1184948
2025-05-30,291.17,297.2874,281.7784,287.8256,919609
2025-05-31,289.4781,291.6535,286.7242,288.8952,430339
2025-06-01,289.7351,292.1977,287.3777,289.8395,466395
2025-06-02,283.773,285.3707,282.976,284.5714,871781
2025-06-03,280.3328,280.381,280.1471,280.1953,280108
2025-06-04,281.4207,282.4014,280.2038,281.1837,372288
2025-06-05,269.9672,275.8747,265.1564,271.0447,1010706
2025-06-06,272.9922,281.0084,263.2007,271.1631,273241
2025-06-07,262.6627,265.0506,260.585,262.9705,991229
2025-06-08,260.5386,262.6777,259.2067,261.3417,371275
2025-06-09,264.596,273.8463,261.4058,270.5839,323064
2025-06-10,266.01,268.0314,264.9622,266.9798,722917
2025-06-11,268.5129,276.4945,259.3296,267.2744,347475
2025-06-12,265.55,271.9042,258.3245,264.6573,389188
2025-06-13,262.528,264.7273,261.3838,263.5785,574619
2025-06-14,257.4399,258.5981,255.8288,256.985,619810
2025-06-15,254.5373,255.8724,253.238,254.5729,100307
2025-06-16,256.8935,257.3155,256.401,256.8228,367602
2025-06-17,260.3138,270.6541,249.5904,259.9148,240891
2025-06-18,268.2318,281.5673,254.2842,267.5876,593969
2025-06-19,271.0567,271.4863,269.1207,269.5478,212885
2025-06-20,271.4899,271.7846,271.1219,271.4165,432321
2025-06-21,289.5943,310.1512,269.0131,289.5681,476907
2025-06-22,285.6444,302.3536,270.587,287.2134,685215
2025-06-23,277.9449,280.2779,276.8933,279.2215,45334
2025-06-24,284.2949,284.8332,283.5879,284.1258,767620
2025-06-25,280.8326,281.2924,280.5273,280.9869,144233
2025-06-26,272.8789,277.6008,270.0214,274.7239,322972
2025-06-27,280.45,281.6029,278.6274,279.7775,130513
2025-06-28,272.8189,274.9256,272.0677,274.1706,1440887
2025-06-29,276.8651,286.3626,268.4205,277.8869,572059
2025-06-30,278.2387,278.8052,276.1632,276.7266,646410
2025-07-01,276.124,277.4665,273.7813,275.1189,382784
2025-07-02,272.4738,282.1287,261.5427,271.1508,794312
2025-07-03,277.8847,278.7663,277.7522,278.6334,803106
2025-07-04,272.1148,278.1334,268.3928,274.3804,327797
2025-07-05,278.6639,284.9466,272.4535,278.7346,509255
2025-07-06,278.7651,278.906,278.5201,278.6609,491783
2025-07-07,285.0662,300.1934,269.4257,284.5242,370575
2025-07-08,287.5289,290.4601,282.4503,285.3593,52707
2025-07-09,274.876,280.4409,269.4773,275.039,37724
2025-07-10,269.2582,269.3658,269.2239,269.3314,50233
2025-07-11,269.3521,270.7511,268.1971,269.595,1002050
2025-07-12,276.5045,280.1503,272.677,276.3203,308186
2025-07-13,279.3888,291.0526,266.3369,277.9401,506466
2025-07-14,279.8358,288.775,272.2406,281.1443,540209
2025-07-15,300.1821,300.3018,299.1924,299.3117,260273
2025-07-16,294.7471,295.3955,294.0617,294.71,16040
2025-07-17,285.4496,285.5692,285.3036,285.4231,191658
2025-07-18,275.1539,275.5661,275.065,275.4771,378390
2025-07-19,272.5267,272.7472,272.5136,272.7341,18191
2025-07-20,274.0848,276.9983,270.3593,273.264,700735
2025-07-21,270.4265,272.561,268.8265,270.9578,744773
2025-07-22,268.9476,278.9787,260.054,270.0487,91657
2025-07-23,261.881,268.0868,259.339,265.5095,897540
2025-07-24,267.9645,274.5511,259.6894,266.2334,626395
2025-07-25,256.6012,257.2036,254.6701,255.2694,521410
2025-07-26,250.9027,259.7739,244.1647,252.9801,975215
2025-07-27,258.3589,261.8259,254.7711,258.2365,694457
2025-07-28,262.6906,263.3855,261.9549,262.6497,69297
2025-07-29,257.5171,258.7709,255.0583,256.3062,465466
2025-07-30,260.1626,260.1999,260.1385,260.1759,323651
2025-07-31,250.9141,261.0571,242.0462,252.1457,516363
2025-08-01,254.3643,254.4858,253.2718,253.3928,307153
2025-08-02,255.8511,255.8524,255.8303,255.8315,26689
2025-08-03,250.3366,253.9603,247.7989,251.4117,890791
2025-08-04,248.4469,255.4795,239.4797,246.4559,449601
2025-08-05,238.0706,240.6221,236.6419,239.1867,906450
2025-08-06,235.1365,235.5183,235.0839,235.4657,274749
2025-08-07,236.4145,239.8003,233.5224,236.9022,62969
2025-08-08,234.6836,236.4369,231.8781,233.6235,805799
2025-08-09,229.2441,231.4773,226.7977,229.0287,714849
2025-08-10,233.0881,233.5273,232.5787,233.0177,602126
2025-08-11,223.4468,223.5701,223.0346,223.1578,498830
2025-08-12,224.9807,225.7461,224.4224,225.1872,819576
2025-08-13,230.465,232.0723,228.2656,229.8687,654807
2025-08-14,229.2973,236.5231,218.4891,225.5983,268660
2025-08-15,225.6477,225.7351,225.5898,225.6771,394740
2025-08-16,222.4029,229.4134,216.213,223.2014,44256
2025-08-17,232.0439,232.1214,228.7472,228.8236,1032120
2025-08-18,233.3657,235.4939,229.9371,232.0533,457067
2025-08-19,229.4915,231.2967,228.4577,230.2595,180108
2025-08-20,224.1328,230.4932,217.6721,224.0296,797457
2025-08-21,229.4035,229.5355,227.4819,227.6128,595939
2025-08-22,232.4491,236.3122,229.7956,233.645,756022
2025-08-23,231.3507,236.3071,227.6266,232.5635,154056
2025-08-24,235.6288,240.0944,229.0079,233.4319,114887
2025-08-25,229.285,242.232,216.3789,229.3238,391729
2025-08-26,217.0416,217.3489,216.5916,216.8987,419278
2025-08-27,214.6844,215.4318,213.6391,214.3855,631407
2025-08-28,211.8025,216.8637,208.1735,213.2106,749882
2025-08-29,212.3405,214.8096,209.8239,212.2925,176239
2025-08-30,207.3324,207.8635,206.9822,207.5129,331630
2025-08-31,205.7185,208.13,202.4701,204.8717,1047569
2025-09-01,204.2053,205.6244,203.7888,205.2058,880263
2025-09-02,210.8153,211.0833,210.4192,210.6869,372639
2025-09-03,219.2672,223.2613,213.8354,217.8029,674818
2025-09-04,222.7622,227.5576,220.0011,224.7715,548961
2025-09-05,222.5596,223.592,221.1966,222.2274,203602
2025-09-06,220.9328,222.3816,219.8787,221.3256,1212426
2025-09-07,220.3673,224.2622,215.8064,219.6894,1094310
2025-09-08,222.101,223.278,216.8646,218.0199,1265895
2025-09-09,231.659,243.1871,215.4674,226.7513,444952
2025-09-10,232.2279,241.5255,221.6845,230.9301,21145
2025-09-11,229.6011,236.4958,222.1742,229.0524,143287
2025-09-12,222.3768,225.3594,220.0613,223.037,399973
2025-09-13,225.1808,228.4322,223.504,226.7437,296501
2025-09-14,236.0812,252.2626,216.1117,232.0145,497972
2025-09-15,228.0611,230.112,226.9959,229.0422,103111
2025-09-16,225.2621,232.5526,216.0167,223.2418,272217
2025-09-17,222.4894,222.8227,221.9302,222.2632,147098
2025-09-18,227.464,232.1155,224.1149,228.7475,471762
2025-09-19,224.7034,224.9943,224.2633,224.554,245531
2025-09-20,221.2844,221.9501,220.7836,221.4489,411399
2025-09-21,217.281,219.6998,213.7131,216.119,215583
2025-09-22,213.3071,227.2766,201.9568,215.7939,308697
2025-09-23,211.8054,218.8755,207.8613,214.8743,928900
2025-09-24,218.8179,222.877,213.9818,218.0261,258868
2025-09-25,226.4317,234.7072,217.1681,225.4061,305640
2025-09-26,228.1629,235.9557,220.3685,228.1612,1193164
2025-09-27,227.8745,231.4182,224.0768,227.6165,473245
2025-09-28,231.3272,243.3478,221.417,233.351,1128725
2025-09-29,238.0594,250.1459,227.8918,239.8997,645876
2025-09-30,241.4148,242.8657,239.2895,240.7363,509051
