date,open,high,low,close,volume
2025-01-20,317.2328,321.0862,312.9513,316.7995,848406
2025-01-21,310.6364,322.0333,299.2189,310.615,993233
2025-01-22,319.2102,321.2165,316.3281,318.3289,679096
2025-01-23,330.4003,330.561,330.277,330.4377,594874
2025-01-24,322.9058,325.2452,319.7704,322.1041,220196
2025-01-25,320.7977,326.1185,316.6712,321.9768,866096
2025-01-26,318.1264,319.9903,317.0689,318.9302,356560
2025-01-27,321.3343,322.7893,320.4742,321.9275,577518
2025-01-28,315.6305,328.6768,305.5534,318.5078,675662
2025-01-29,313.5667,320.3617,306.9155,313.7075,446262
2025-01-30,318.4329,318.7391,318.1536,318.4598,206645
2025-01-31,322.1564,323.9719,321.6806,323.4942,444820
2025-02-01,319.6422,321.7627,317.4122,319.532,641298
2025-02-02,324.8216,334.6604,318.2065,327.981,98887
2025-02-03,323.6446,329.9945,317.646,323.9895,619720
2025-02-04,315.0378,325.3017,304.2445,314.4905,27686
2025-02-05,306.2131,310.9456,304.3158,309.0309,504632
2025-02-06,307.2312,308.0337,306.9952,307.7973,336643
2025-02-07,305.1087,307.2009,302.8813,304.9725,256443
2025-02-08,302.8365,303.0378,302.7043,302.9056,602037
2025-02-09,307.8993,308.664,307.5871,308.3513,244860
2025-02-10,320.508,328.7826,309.8086,318.0189,759357
2025-02-11,313.5514,314.3923,311.3358,312.173,794069
2025-02-12,312.4908,320.9847,305.2344,313.7002,647987
2025-02-13,300.271,327.3198,277.8338,304.562,140782
2025-02-14,299.6334,304.6028,298.1971,303.1496,1051172
2025-02-15,301.2865,302.325,299.5597,300.5957,841147
2025-02-16,303.4195,305.1897,301.7099,303.4798,476574
2025-02-17,297.6806,300.2725,295.8538,298.441,236168
2025-02-18,294.3147,300.1412,290.2638,296.0662,32427
2025-02-19,299.3728,300.4118,298.6824,299.7206,336414
2025-02-20,289.113,293.4171,286.9258,291.214,853335
2025-02-21,285.1444,287.2081,282.6031,284.6634,274005
2025-02-22,289.0484,290.4827,287.8231,289.2565,95557
2025-02-23,287.7168,289.1988,285.5403,287.0188,656605
2025-02-24,283.3059,284.1548,283.1588,284.0072,459566
2025-02-25,272.6042,273.2766,272.1455,272.8175,207969
