date,open,high,low,close,volume
2025-01-20,142.3424,144.007,141.1953,142.8557,870343
2025-01-21,143.3584,149.6988,134.6526,140.8835,779731
2025-01-22,140.6286,141.5213,139.2954,140.1853,562356
2025-01-23,136.8733,144.1559,129.9566,137.2216,352139
2025-01-24,136.5508,143.547,131.4478,138.3759,1049229
2025-01-25,138.9003,142.3925,135.1492,138.6348,541462
2025-01-26,137.3182,142.1886,132.0557,136.9117,133416
2025-01-27,137.1936,138.1365,136.2261,137.169,718731
2025-01-28,143.4323,143.585,143.2627,143.4153,1012556
2025-01-29,147.7444,148.16,145.6499,146.0607,852406
2025-01-30,146.7561,147.7988,146.4494,147.4905,148589
2025-01-31,145.304,146.2175,144.7745,145.6865,111468
2025-02-01,143.3574,147.1025,140.1317,143.8653,46392
2025-02-02,142.1761,147.3725,138.0648,143.2308,496089
2025-02-03,142.8251,143.9747,141.6625,142.812,493035
2025-02-04,146.0201,147.9011,144.413,146.291,651241
2025-02-05,144.8937,145.082,144.6626,144.8508,441061
2025-02-06,149.4737,153.612,145.097,149.2286,296555
2025-02-07,148.593,149.465,147.4654,148.3358,478787
2025-02-08,150.6388,151.5362,149.7484,150.6458,180090
2025-02-09,161.5973,166.2886,156.747,161.4336,502278
2025-02-10,159.5103,159.5371,159.4466,159.4733,682478
2025-02-11,164.3703,169.843,159.0908,164.5575,441328
2025-02-12,160.7558,161.2488,159.6764,160.1676,114822
2025-02-13,166.6383,166.7004,166.3641,166.4262,923088
2025-02-14,168.5175,170.8922,165.96,168.3321,527662
2025-02-15,173.2128,175.9236,169.9574,172.6595,260666
2025-02-16,174.8806,176.9254,170.8604,172.8818,532668
2025-02-17,174.3559,174.9199,173.1313,173.6931,1057391
2025-02-18,175.2203,176.4107,173.7627,174.9513,452966
2025-02-19,179.1166,179.6148,178.8951,179.3928,422850
2025-02-20,180.3037,182.7594,177.1038,179.5492,1320219
2025-02-21,179.1144,180.656,177.982,179.5211,605640
2025-02-22,182.5335,183.2248,180.7539,181.4411,376125
2025-02-23,182.5261,186.1504,177.4756,181.071,711173
2025-02-24,176.6756,177.04,175.9244,176.2881,213113
2025-02-25,169.8698,170.0497,169.4098,169.5894,188702
2025-02-26,165.9248,167.3876,164.0755,165.5349,348364
2025-02-27,161.2,172.1819,149.2377,160.1479,691330
2025-02-28,157.0094,159.4855,153.9934,156.4608,185631
2025-03-01,156.6406,157.3627,155.9279,156.65,183149
2025-03-02,153.8999,154.1965,153.4772,153.7736,498885
2025-03-03,157.53,160.8314,153.9455,157.2409,315922
2025-03-04,161.7823,161.9614,160.6,160.7779,826635
2025-03-05,162.9934,164.3244,161.9008,163.2302,198840
2025-03-06,165.6544,166.4322,164.0576,164.8315,493231
2025-03-07,163.1643,164.9459,162.2733,164.0501,203355
2025-03-08,166.4495,166.4828,165.7647,165.7979,420607
2025-03-09,162.5874,164.0408,161.6692,163.1197,126405
2025-03-10,163.0916,163.428,162.7059,163.0423,1430123
2025-03-11,165.4552,167.2545,164.0908,165.8865,155694
2025-03-12,163.3238,163.5978,162.925,163.1988,179957
2025-03-13,159.8902,160.1568,159.7226,159.9892,330653
2025-03-14,164.3854,166.1002,160.4809,162.1726,572426
2025-03-15,165.0643,166.3274,163.4984,164.7592,140345
2025-03-16,167.8838,176.6151,157.8043,166.4617,36475
2025-03-17,163.6341,165.3058,161.4386,163.1049,539823
2025-03-18,165.1069,165.6162,165.0882,165.5975,877379
2025-03-19,164.7575,165.3338,164.0813,164.6572,110680
2025-03-20,168.7696,171.2379,165.7391,168.1991,587629
2025-03-21,166.8987,169.0258,165.0816,167.2055,298940
2025-03-22,166.7569,175.5704,158.8976,167.6681,16817
2025-03-23,167.6407,168.846,167.125,168.3282,177389
2025-03-24,166.115,168.1839,165.4772,167.5406,23817
2025-03-25,167.7717,168.8072,166.8713,167.906,441556
2025-03-26,165.9372,166.21,165.6128,165.8856,452331
2025-03-27,165.8445,168.6327,160.4345,163.1779,353249
2025-03-28,164.3612,167.119,161.5871,164.3446,1037217
2025-03-29,154.9383,155.2196,154.89,155.1713,821370
2025-03-30,155.6471,156.0608,155.095,155.5084,632238
2025-03-31,154.7633,155.1314,152.8746,153.2391,96469
2025-04-01,151.5742,153.9682,150.5844,152.9693,52633
2025-04-02,150.8595,152.5162,149.2225,150.879,408754
2025-04-03,156.1679,156.3154,155.9862,156.1337,216098
2025-04-04,156.9144,157.8603,156.0508,156.9963,199732
2025-04-05,152.5248,153.5505,151.5731,152.5984,109828
2025-04-06,150.5911,151.2705,150.5275,151.2066,468781
2025-04-07,149.5236,149.7659,149.4386,149.6808,805756
2025-04-08,149.0114,150.0504,147.7567,148.7941,160408
2025-04-09,150.5468,151.1404,149.9127,150.5062,346615
