date,open,high,low,close,volume
2025-01-20,111.8522,114.6761,107.7089,110.4987,362932
2025-01-21,112.8334,113.5504,112.1597,112.8765,133690
2025-01-22,114.4282,114.9021,113.9126,114.3863,485755
2025-01-23,116.4013,117.3206,114.2299,115.1392,598675
2025-01-24,114.4196,115.7803,112.6117,113.967,29576
2025-01-25,111.6874,114.8022,109.3118,112.4113,18899
2025-01-26,111.2477,112.7972,109.25,110.7931,255125
2025-01-27,112.642,112.8095,112.4197,112.5871,166073
2025-01-28,111.2637,111.8043,110.1866,110.7246,915579
2025-01-29,111.2407,112.4161,109.8453,111.0184,676887
2025-01-30,109.1966,109.4828,108.9553,109.2415,1109681
2025-01-31,111.5935,111.671,111.3963,111.4738,316110
2025-02-01,108.9216,109.3823,108.2666,108.7264,571282
2025-02-02,108.2976,108.4169,108.1842,108.3035,783655
2025-02-03,109.2364,110.5652,108.1056,109.4324,617492
2025-02-04,112.6917,114.2825,110.3804,111.9608,483299
2025-02-05,116.1481,118.4826,112.6517,114.9624,65278
2025-02-06,119.3353,119.7868,118.8065,119.2577,515117
2025-02-07,124.3911,125.1794,122.536,123.3174,59218
2025-02-08,120.8599,121.6705,119.4936,120.3004,301701
2025-02-09,119.021,121.597,116.634,119.2064,844094
2025-02-10,117.3998,118.0029,116.4373,117.0386,873008
2025-02-11,114.9911,115.0688,114.2087,114.2859,108945
2025-02-12,115.1571,117.8754,111.696,114.3963,162768
2025-02-13,114.2085,114.3482,114.109,114.2486,896904
2025-02-14,112.2683,112.4013,112.1554,112.2884,340039
2025-02-15,112.4784,117.3454,107.4461,112.3056,35559
2025-02-16,116.337,117.9874,115.0468,116.6933,612695
2025-02-17,115.734,116.1103,115.1821,115.5578,397641
2025-02-18,114.6353,115.078,114.024,114.466,962481
2025-02-19,115.0051,115.6695,114.1869,114.8504,319230
2025-02-20,115.5022,116.4121,114.5686,115.4783,279297
2025-02-21,116.6341,118.2954,115.2675,116.9253,509023
2025-02-22,117.7423,118.5525,117.1713,117.9804,340747
2025-02-23,116.3479,117.6494,114.5894,115.8858,1308470
2025-02-24,123.3953,125.5208,120.9356,123.0553,300202
2025-02-25,122.6875,124.5158,121.4283,123.2509,491459
2025-02-26,121.5302,122.5688,120.5782,121.6162,196575
2025-02-27,117.2342,117.4378,117.0744,117.2779,71854
