date,open,high,low,close,volume
2025-01-20,347.1259,351.3367,344.1647,348.3649,520503
2025-01-21,350.8062,351.119,350.5813,350.8941,45157
2025-01-22,347.7876,357.5432,341.7088,351.4013,275567
2025-01-23,346.1357,352.1766,337.3447,343.3367,1190850
2025-01-24,334.7938,348.9265,323.4446,337.486,644488
2025-01-25,343.0315,343.7477,341.5598,342.2745,254907
2025-01-26,347.4776,356.5278,335.451,344.4217,268183
2025-01-27,337.2366,340.7602,332.8889,336.4037,196941
2025-01-28,330.0892,332.4438,326.9235,329.2722,843076
2025-01-29,323.9943,324.6755,323.3192,324.0004,913873
2025-01-30,310.5761,311.4387,309.9377,310.7998,658831
2025-01-31,300.2239,307.2913,294.654,301.6942,529956
2025-02-01,302.7683,303.8065,298.4902,299.5173,750839
2025-02-02,293.4072,315.5737,273.8017,295.8077,828270
2025-02-03,305.7964,306.7711,304.6929,305.6671,1237307
2025-02-04,298.3597,302.3552,294.2245,298.2181,60537
2025-02-05,300.9487,303.0871,299.379,301.5144,352995
2025-02-06,300.6799,301.3805,300.4342,301.1344,439485
2025-02-07,297.2156,300.6471,295.4855,298.9071,837304
2025-02-08,307.2522,311.0527,300.6599,304.4255,225620
2025-02-09,318.5657,322.1036,315.8401,319.371,697819
2025-02-10,321.8806,323.4543,320.6475,322.22,109916
2025-02-11,323.7167,324.3174,323.4071,324.0075,294596
2025-02-12,328.2977,328.6743,328.0039,328.3804,277538
2025-02-13,320.2896,325.6658,315.9731,321.3352,516201
2025-02-14,323.2224,330.7844,317.6232,325.1517,288903
2025-02-15,327.8724,328.3496,327.3593,327.8363,892886
2025-02-16,328.9253,352.9668,307.5893,331.466,232709
2025-02-17,340.7124,348.7405,331.1535,339.1447,30777
2025-02-18,329.4077,330.4733,327.3809,328.4434,417825
2025-02-19,323.8669,324.0212,323.6885,323.8428,535551
2025-02-20,316.7055,323.2923,311.1852,317.7537,795753
2025-02-21,311.6257,313.3273,307.391,309.0787,66586
2025-02-22,313.9981,316.6248,309.6037,312.2154,897949
2025-02-23,312.2641,315.0852,309.4133,312.2342,267474
2025-02-24,307.3302,315.468,302.8748,310.96,169985
2025-02-25,311.0215,317.5068,303.6936,310.161,373431
2025-02-26,298.4149,300.082,296.035,297.6981,436718
2025-02-27,300.7082,302.6671,297.6969,299.6489,1004234
2025-02-28,309.0543,310.8855,306.3898,308.216,879409
2025-03-01,314.2859,314.6621,314.067,314.443,1246654
2025-03-02,317.3622,320.2397,312.9058,315.7689,747560
2025-03-03,313.319,317.4588,308.6667,312.7996,692264
2025-03-04,310.7439,311.0219,309.9971,310.2748,163661
2025-03-05,300.5766,305.1648,294.3174,298.8798,1041696
2025-03-06,301.087,307.6412,295.7845,302.317,912026
2025-03-07,310.0444,319.8817,297.0636,306.7979,395373
2025-03-08,303.2422,308.6055,292.5083,297.775,640134
2025-03-09,297.9576,301.4883,291.1137,294.6046,533408
2025-03-10,298.6923,302.6142,296.7872,300.6964,300726
2025-03-11,295.9006,301.7902,287.9293,293.7766,486564
2025-03-12,301.9819,303.4177,299.8931,301.3257,46473
2025-03-13,296.8311,304.4862,292.3495,299.9574,709995
2025-03-14,306.5705,307.2822,305.7834,306.4949,1012108
2025-03-15,304.6563,306.7282,303.0312,305.1007,249641
2025-03-16,301.3842,301.7147,300.98,301.3104,315294
2025-03-17,304.718,306.6726,302.7684,304.723,678334
2025-03-18,321.4509,325.2695,315.7203,319.516,187320
2025-03-19,310.4406,316.0443,302.5498,308.1114,795658
2025-03-20,308.4696,309.1682,307.9106,308.6091,171328
2025-03-21,314.2906,316.0123,312.767,314.4877,716077
2025-03-22,310.0801,319.5496,298.2784,307.6744,425897
2025-03-23,300.4691,312.1829,288.5029,300.2065,711292
2025-03-24,311.0484,312.6097,309.3119,310.8724,440836
2025-03-25,315.6509,320.1705,307.0427,311.5028,38229
2025-03-26,306.2237,306.4096,306.0088,306.1947,288629
2025-03-27,306.4133,313.8049,301.2823,308.6367,217200
2025-03-28,315.7632,318.137,313.7302,316.1018,89408
2025-03-29,311.0999,311.8,309.8274,310.5262,1028268
