date,open,high,low,close,volume
2025-01-20,113.9293,115.0635,111.7429,112.8665,88459
2025-01-21,113.3581,118.558,108.529,113.7138,846842
2025-01-22,109.4719,113.8922,105.1038,109.5222,585216
2025-01-23,113.7482,114.4449,113.0909,113.7875,860869
2025-01-24,115.2428,121.6973,110.2339,116.6282,631977
2025-01-25,116.2161,116.9642,115.4706,116.2187,36389
2025-01-26,112.3651,112.8367,112.2373,112.7085,519652
2025-01-27,111.4713,111.5119,111.4414,111.482,956199
2025-01-28,107.8555,110.1017,106.9113,109.1462,545767
2025-01-29,109.7394,109.8855,109.2295,109.3751,824777
2025-01-30,105.3541,114.5838,96.2694,105.4875,665590
2025-01-31,109.8962,110.2422,109.2265,109.5716,317994
2025-02-01,111.0188,115.0405,107.9398,111.936,802559
2025-02-02,115.4732,115.954,114.7175,115.1971,404137
2025-02-03,114.7214,114.878,114.5524,114.709,603403
2025-02-04,110.8137,113.0811,109.35,111.6069,1237064
2025-02-05,114.1073,114.8739,113.5223,114.2881,322073
2025-02-06,114.429,114.6138,114.267,114.4519,1103631
2025-02-07,113.1849,113.6712,112.8586,113.3444,1095523
2025-02-08,109.7461,111.3663,109.2775,110.8929,987616
2025-02-09,107.9859,108.1181,107.8996,108.0318,167080
2025-02-10,112.0711,113.6541,110.2022,111.7811,190412
2025-02-11,111.1839,118.5475,106.0031,113.2696,696500
2025-02-12,110.7422,111.1804,110.3952,110.8331,457064
2025-02-13,110.7378,112.5045,108.8403,110.605,521892
2025-02-14,108.9468,110.8057,106.8101,108.6642,841058
2025-02-15,104.5787,108.0158,102.1536,105.5678,464115
2025-02-16,105.6478,105.7145,105.5738,105.6405,713554
2025-02-17,98.626,103.5153,95.1825,100.023,259843
2025-02-18,99.7768,99.9367,99.5792,99.739,714239
2025-02-19,97.6477,99.1589,96.4848,97.9918,580913
2025-02-20,99.9783,100.5168,99.0598,99.5962,472384
2025-02-21,100.8111,104.2285,96.6324,100.0231,329467
2025-02-22,96.7341,101.9424,90.6374,95.7952,579189
2025-02-23,97.5948,100.163,94.0402,96.5817,704060
2025-02-24,95.1964,95.211,95.186,95.2007,174770
