date,open,high,low,close,volume
2025-01-20,1.0302,1.0333,1.0274,1.0304,787863
2025-01-21,1.052,1.0601,1.0369,1.0449,511831
2025-01-22,1.0647,1.074,1.0574,1.0667,914713
2025-01-23,1.0294,1.0404,1.0209,1.0319,309709
2025-01-24,1.0216,1.0435,1.0085,1.0303,889349
2025-01-25,1.0271,1.0367,1.0148,1.0244,474448
2025-01-26,1.0141,1.0163,1.0116,1.0138,348163
2025-01-27,1.0093,1.0188,0.9991,1.0085,1174112
2025-01-28,1.0077,1.0193,0.9986,1.0101,392152
2025-01-29,1.0349,1.0584,1.0168,1.0402,596022
2025-01-30,1.0507,1.0747,1.0346,1.0584,908945
2025-01-31,1.0509,1.0723,1.0342,1.0555,404976
2025-02-01,1.0353,1.0441,1.0294,1.0383,625584
2025-02-02,1.0308,1.0312,1.0307,1.0311,113281
2025-02-03,1.0319,1.0368,1.0297,1.0346,658270
2025-02-04,1.0317,1.0414,1.0261,1.0358,194649
2025-02-05,1.0324,1.0353,1.0195,1.0224,259716
2025-02-06,1.0233,1.0276,1.0173,1.0215,1050771
2025-02-07,1.0494,1.0653,1.0378,1.0537,1105951
2025-02-08,1.0359,1.0464,1.0272,1.0376,1055997
2025-02-09,1.0429,1.0808,0.9967,1.0343,171175
2025-02-10,1.0283,1.0355,1.0254,1.0325,1260195
2025-02-11,1.043,1.045,1.0405,1.0425,638684
2025-02-12,1.0336,1.0354,1.0302,1.032,323841
2025-02-13,1.0015,1.0015,1.0014,1.0014,1077971
2025-02-14,1.0395,1.067,1.0063,1.0337,882202
2025-02-15,0.9944,0.9954,0.9914,0.9924,188611
2025-02-16,0.9965,1.0274,0.966,0.9968,929831
2025-02-17,0.9869,0.9875,0.9855,0.986,434529
2025-02-18,1.0175,1.0879,0.9429,1.0129,967922
2025-02-19,1.0393,1.0394,1.038,1.0381,252913
2025-02-20,1.0244,1.0797,0.9859,1.0406,467214
2025-02-21,1.0293,1.0361,1.0263,1.0331,630866
2025-02-22,1.0135,1.0482,0.9928,1.0273,260135
2025-02-23,1.0388,1.0684,1.0154,1.0449,759092
2025-02-24,1.0231,1.0275,1.0173,1.0217,360661
2025-02-25,1.0567,1.0964,1.0135,1.0531,366233
