date,open,high,low,close,volume
2025-01-20,240.9874,244.212,237.1817,240.3983,873957
2025-01-21,249.1356,262.1678,231.2192,243.9819,247760
2025-01-22,244.4403,245.5882,244.0529,245.1996,367557
2025-01-23,238.5465,254.0062,225.0863,240.4392,528918
2025-01-24,240.3555,247.6069,234.2628,241.4855,677384
2025-01-25,237.8604,237.8612,237.4269,237.4278,839915
2025-01-26,244.1028,251.1943,238.3307,245.3917,459194
2025-01-27,237.7667,238.9576,237.308,238.4975,221431
2025-01-28,234.6533,236.0578,234.5705,235.9746,1279847
2025-01-29,244.1488,246.7756,242.366,244.9866,751595
2025-01-30,242.7509,251.928,231.0357,240.1132,559229
2025-01-31,236.6037,243.8723,229.6994,236.9577,746393
2025-02-01,238.7808,250.6442,226.6777,238.5285,98546
2025-02-02,244.7872,244.8514,243.7599,243.8239,377119
2025-02-03,248.8468,249.8496,247.4268,248.4278,808359
2025-02-04,243.9423,246.0427,242.8563,244.9522,170968
2025-02-05,241.0499,242.1551,240.177,241.2814,126568
2025-02-06,235.7504,243.8947,227.1831,235.3123,984536
2025-02-07,233.5083,236.5394,230.6545,233.6834,252112
2025-02-08,238.5755,241.2026,234.868,237.483,814836
2025-02-09,236.6995,238.8925,234.8887,237.0788,18178
2025-02-10,235.3571,236.1593,234.7453,235.547,770251
2025-02-11,237.2345,239.3349,234.727,236.8237,565322
2025-02-12,240.5994,246.1341,233.4203,238.9163,1252752
2025-02-13,234.0702,240.1438,229.7719,235.8135,14526
2025-02-14,233.2214,234.8663,231.9021,233.5452,1179865
2025-02-15,236.7731,240.0567,235.4503,238.723,86061
2025-02-16,236.6033,245.582,228.8945,237.8331,697927
2025-02-17,240.9596,254.5052,226.7124,240.2162,408996
2025-02-18,251.2656,259.0378,241.7963,249.5143,136594
2025-02-19,253.6208,255.1181,251.8364,253.332,153379
2025-02-20,247.0859,247.7633,246.4087,247.0862,200166
2025-02-21,240.5261,241.6933,239.0665,240.2323,699531
2025-02-22,233.528,233.7246,232.5491,232.7451,653105
2025-02-23,233.7738,235.5229,231.0014,232.7428,333637
2025-02-24,227.1373,229.3195,226.1954,228.3724,832088
2025-02-25,228.0155,232.6087,224.4813,229.0584,719931
2025-02-26,222.6675,231.2876,212.254,220.802,483670
2025-02-27,218.6679,218.9009,218.1686,218.4013,467516
2025-02-28,221.426,224.2133,217.9928,220.7719,181221
2025-03-01,220.9124,222.5883,217.6107,219.2742,322164
2025-03-02,207.2434,216.0753,201.4165,210.1662,871917
2025-03-03,208.5355,209.451,207.7514,208.6664,781769
2025-03-04,218.0685,218.8017,214.2696,214.9924,611449
2025-03-05,217.9571,222.5363,214.0224,218.5902,422804
2025-03-06,221.2414,223.7334,218.3027,220.7896,1337761
2025-03-07,222.8067,227.1813,216.6499,220.9889,108384
2025-03-08,216.1552,220.4513,212.738,217.0205,1142233
2025-03-09,215.1514,220.3644,210.7908,215.9869,1332053
2025-03-10,219.3092,221.1732,217.68,219.5422,261181
2025-03-11,216.4706,216.9923,215.7549,216.2761,625369
2025-03-12,211.3012,211.3777,211.0492,211.1257,116347
2025-03-13,205.4288,206.136,204.6818,205.3889,1090621
2025-03-14,206.7393,208.9735,202.1201,204.3283,47697
2025-03-15,212.0963,217.966,205.3939,211.2398,497152
2025-03-16,217.1416,220.8757,212.0793,215.7902,768593
2025-03-17,221.9115,223.7456,215.855,217.6539,96670
2025-03-18,216.9669,217.1051,216.864,217.0022,486764
2025-03-19,214.302,214.7722,213.834,214.3043,299498
2025-03-20,208.6541,213.8765,204.1341,209.3416,183652
2025-03-21,210.6052,212.1028,209.602,211.0973,332588
2025-03-22,212.5114,229.1212,191.6634,207.9138,593076
