date,open,high,low,close,volume
2025-01-20,184.2364,185.3453,183.6958,184.8029,400398
2025-01-21,186.6555,187.4162,186.0819,186.842,755205
2025-01-22,188.5926,188.5937,188.5918,188.5929,92797
2025-01-23,187.5669,187.8721,186.9588,187.2635,164324
2025-01-24,191.4403,195.5245,186.9218,190.9965,546699
2025-01-25,191.781,198.1294,184.8859,191.2156,140747
2025-01-26,187.8571,195.1395,179.5461,186.787,341360
2025-01-27,191.3878,193.1697,189.9722,191.7514,168537
2025-01-28,191.9185,194.7602,190.0609,192.8932,957669
2025-01-29,192.8411,195.1355,189.5378,191.8201,413314
2025-01-30,197.2361,197.4258,197.1061,197.2957,124000
2025-01-31,189.738,196.2175,185.1206,191.5558,565145
2025-02-01,200.4749,202.7309,198.3212,200.5761,564954
2025-02-02,202.7951,206.4709,198.2206,201.8797,902000
2025-02-03,202.3487,202.524,202.2925,202.4678,279553
2025-02-04,200.0749,201.104,199.3508,200.3788,451129
2025-02-05,197.8336,198.0686,197.7936,198.0286,240530
2025-02-06,200.2341,200.3439,200.0783,200.1881,273416
2025-02-07,205.1831,205.1913,203.3851,203.3932,109941
2025-02-08,202.3361,202.4103,202.2003,202.2745,447490
2025-02-09,204.6114,210.644,199.2815,205.2963,357361
2025-02-10,205.15,205.4616,203.536,203.8456,958424
2025-02-11,203.105,203.3109,202.9403,203.1462,65701
2025-02-12,202.1954,203.0456,201.4842,202.3339,483616
2025-02-13,208.6494,213.6597,202.7928,207.7822,612454
2025-02-14,212.325,214.1959,210.3246,212.1944,561747
2025-02-15,221.8621,222.5148,220.7798,221.4313,196844
2025-02-16,224.9502,225.0773,224.8769,225.0041,248936
2025-02-17,224.4323,227.3452,221.1587,224.0668,245550
2025-02-18,222.9755,225.9163,220.5959,223.5308,292243
2025-02-19,220.6183,224.9471,216.5753,220.8989,33887
2025-02-20,222.1809,224.6634,216.895,219.3459,301255
2025-02-21,221.5322,224.3449,218.5675,221.3782,183271
2025-02-22,224.6821,225.0954,224.3502,224.7634,436788
2025-02-23,221.386,222.1473,220.7032,221.4643,627344
2025-02-24,222.9248,227.9961,216.992,222.0432,812024
2025-02-25,226.8813,236.6478,215.9158,225.6284,595358
2025-02-26,223.3205,232.4036,215.163,224.2135,585684
2025-02-27,227.5874,227.9443,226.0537,226.4088,1163095
2025-02-28,223.9114,229.8211,219.0877,224.9745,268715
2025-03-01,226.895,234.0657,221.5546,228.6832,75113
2025-03-02,225.95,228.1445,223.805,225.999,640511
2025-03-03,218.0142,220.2844,216.9601,219.2244,597554
2025-03-04,211.555,232.4338,194.817,215.3921,17839
2025-03-05,212.3217,213.0069,212.0764,212.7611,1103200
2025-03-06,208.7261,208.7939,208.6724,208.7402,952830
2025-03-07,208.6675,211.4135,205.6759,208.4187,331367
2025-03-08,217.0188,218.083,215.752,216.8152,1146972
2025-03-09,218.0587,218.4633,217.0894,217.493,228708
2025-03-10,228.1274,243.3805,212.0822,227.2785,465242
2025-03-11,226.955,227.3536,226.2082,226.6062,291262
2025-03-12,223.2556,226.3283,220.6527,223.72,1130094
2025-03-13,220.0825,227.3823,210.946,218.1829,45248
2025-03-14,228.7244,247.0417,208.157,226.2784,36579
2025-03-15,231.8442,233.1882,231.0599,232.402,235094
2025-03-16,233.7092,234.0189,233.2205,233.53,1002125
2025-03-17,241.2694,245.581,236.1637,240.4609,110551
2025-03-18,240.0294,251.2594,228.8812,240.1075,1080907
2025-03-19,245.1213,249.6048,240.5177,244.999,488989
2025-03-20,251.6793,256.227,246.9516,251.496,926780
2025-03-21,254.4693,254.9798,253.7723,254.2824,1115973
2025-03-22,253.0159,254.0299,251.2876,252.2987,258642
2025-03-23,245.7624,245.9782,245.621,245.8368,1027231
2025-03-24,242.6616,256.9867,227.2151,241.4699,624720
2025-03-25,237.0397,240.5784,232.6189,236.1442,879555
2025-03-26,240.1104,240.5378,236.6603,237.0824,68152
2025-03-27,235.3466,236.2696,233.3106,234.2292,1312109
2025-03-28,234.6119,238.1817,231.3273,234.8931,1105296
2025-03-29,228.9409,229.1984,228.7672,229.0247,607537
2025-03-30,227.6181,231.9199,224.0694,228.3597,99570
2025-03-31,228.8264,229.8576,227.8384,228.8694,787268
2025-04-01,230.2555,239.0134,219.6939,228.3804,189373
2025-04-02,234.7388,237.2361,232.4408,234.9362,114246
2025-04-03,236.1169,236.7824,234.7227,235.3862,440115
2025-04-04,235.2042,238.9855,230.1227,233.8827,1079144
2025-04-05,233.0041,233.3149,232.8823,233.193,1180690
2025-04-06,233.3236,238.6288,225.4681,230.714,543410
2025-04-07,227.9692,234.6863,223.3512,230.0266,742071
2025-04-08,226.8027,228.0709,223.2119,224.4671,1194229
2025-04-09,218.9501,219.024,218.9343,219.0082,469927
2025-04-10,215.2855,216.9425,214.184,215.8382,296934
2025-04-11,211.2511,215.5052,205.4147,209.6364,536013
2025-04-12,214.9636,218.4985,210.5071,214.0266,927776
2025-04-13,207.3887,211.2174,204.2681,208.0863,118204
2025-04-14,206.4312,207.8055,205.3892,206.7619,860720
2025-04-15,204.6812,206.9715,203.3926,205.6766,716877
2025-04-16,206.201,207.1,205.1028,206.001,560353
2025-04-17,196.2461,199.1594,193.9797,196.8856,241349
2025-04-18,194.6441,195.4023,194.2209,194.9784,295955
2025-04-19,188.4751,189.9299,186.1418,187.5898,850262
2025-04-20,190.3291,194.3352,183.8463,187.7992,741692
2025-04-21,197.4013,201.3062,195.3922,199.2781,515498
2025-04-22,189.2674,190.5088,186.8261,188.0596,42077
2025-04-23,187.2602,194.5438,178.095,185.3025,80513
2025-04-24,190.2601,190.9839,189.4879,190.2115,350308
2025-04-25,190.5183,191.1937,190.1587,190.8335,325092
2025-04-26,189.3354,189.4383,188.3081,188.4105,58098
2025-04-27,192.8947,202.3448,186.3604,195.715,988176
2025-04-28,198.2295,200.2341,196.4753,198.4778,695695
2025-04-29,201.1079,201.1134,200.7945,200.8,956272
2025-04-30,212.7616,217.7929,206.0905,211.0821,389106
2025-05-01,214.7528,215.1269,214.4764,214.8503,79061
2025-05-02,211.2315,211.4036,210.3296,210.5011,449019
2025-05-03,207.2134,221.2971,196.8645,210.7705,664374
2025-05-04,215.6217,215.9642,213.2639,213.6032,911337
2025-05-05,211.9546,214.3297,209.8279,212.2005,561628
2025-05-06,215.8539,215.892,215.8359,215.874,1096995
2025-05-07,218.2145,219.389,217.0096,218.1839,471726
2025-05-08,214.5979,214.9464,214.3988,214.7472,482612
2025-05-09,215.9854,218.1698,214.6315,216.8106,253174
2025-05-10,213.1867,219.2103,205.8715,211.8576,852113
2025-05-11,208.4394,211.9645,205.481,208.9981,596358
2025-05-12,200.9898,202.0082,200.1769,201.1945,939258
2025-05-13,205.37,208.2573,202.1496,205.0322,284259
2025-05-14,199.8518,201.6533,197.6539,199.4518,797036
2025-05-15,204.1464,204.4491,203.8612,204.1639,361589
2025-05-16,200.1801,200.3888,199.7172,199.9256,585945
2025-05-17,200.8919,201.1905,200.4597,200.758,273315
2025-05-18,194.4632,198.404,191.0945,195.0256,330457
2025-05-19,205.529,205.6529,205.1985,205.3222,571899
2025-05-20,200.9018,201.671,198.642,199.4055,745242
2025-05-21,192.1295,194.7869,190.8566,193.5049,1034560
2025-05-22,193.8044,195.2896,192.6591,194.1422,544079
2025-05-23,187.2225,188.1857,186.9903,187.9526,379416
2025-05-24,184.269,189.7379,181.1304,186.5603,707564
2025-05-25,187.3663,192.2481,183.5997,188.4595,52669
2025-05-26,188.0975,189.057,187.0155,187.9744,153249
2025-05-27,194.6843,196.8316,192.7833,194.9281,762474
2025-05-28,190.8601,202.7535,177.6056,189.4085,77970
2025-05-29,188.079,188.6957,187.8769,188.4932,105777
2025-05-30,187.8757,190.978,186.0783,189.1682,1244944
2025-05-31,187.5728,193.9155,179.7832,186.0753,921087
2025-06-01,187.6901,188.284,187.0796,187.6735,1294792
2025-06-02,182.0759,182.627,181.4634,182.0143,305564
2025-06-03,177.5721,177.8332,177.3406,177.6017,308976
2025-06-04,178.0816,178.687,177.7225,178.3274,205867
2025-06-05,180.8336,180.8372,180.8328,180.8364,918067
2025-06-06,175.8831,176.0601,175.798,175.9749,1114798
2025-06-07,170.5671,170.6996,170.3608,170.4932,1246440
2025-06-08,172.6713,173.1713,172.3806,172.8803,709360
2025-06-09,171.1038,174.2357,169.6353,172.7531,303200
2025-06-10,174.4074,174.5449,174.262,174.3995,119480
2025-06-11,179.2535,185.8473,172.0113,178.5804,1085525
2025-06-12,180.8019,182.681,178.0405,179.9103,277721
2025-06-13,178.7399,179.0487,176.8172,177.1232,729572
2025-06-14,175.429,175.4459,175.415,175.432,213685
2025-06-15,174.3613,176.3002,173.3788,175.3124,431936
2025-06-16,173.0484,173.8889,172.5238,173.3633,231101
2025-06-17,178.4763,178.712,178.2415,178.4772,844006
2025-06-18,173.7683,176.6182,171.6497,174.4908,334605
