date,open,high,low,close,volume
2025-01-20,0.0081,0.0081,0.008,0.008,610763
2025-01-21,0.008,0.008,0.008,0.008,378786
2025-01-22,0.008,0.0082,0.0079,0.008,41588
2025-01-23,0.008,0.008,0.008,0.008,355912
2025-01-24,0.008,0.0081,0.0079,0.008,195773
2025-01-25,0.008,0.0082,0.0079,0.008,736730
2025-01-26,0.008,0.0083,0.0077,0.008,456793
2025-01-27,0.008,0.0081,0.0079,0.008,468747
2025-01-28,0.008,0.008,0.008,0.008,176201
2025-01-29,0.008,0.0081,0.008,0.008,501372
2025-01-30,0.0081,0.0081,0.008,0.008,70651
2025-01-31,0.008,0.0081,0.008,0.008,898356
2025-02-01,0.008,0.0081,0.008,0.008,271600
2025-02-02,0.008,0.0082,0.0078,0.008,758354
2025-02-03,0.008,0.008,0.008,0.008,58998
2025-02-04,0.008,0.0081,0.0079,0.008,300222
2025-02-05,0.008,0.0081,0.008,0.008,623992
2025-02-06,0.0079,0.0084,0.0075,0.008,724753
2025-02-07,0.0081,0.0081,0.008,0.008,712732
2025-02-08,0.0079,0.0081,0.0079,0.008,292633
2025-02-09,0.008,0.008,0.008,0.008,459404
2025-02-10,0.0081,0.0081,0.008,0.008,707656
2025-02-11,0.008,0.0082,0.0079,0.008,377432
2025-02-12,0.008,0.008,0.008,0.008,63492
2025-02-13,0.0081,0.0084,0.0078,0.008,188155
2025-02-14,0.008,0.0081,0.008,0.008,748363
2025-02-15,0.0081,0.0082,0.0079,0.008,21739
2025-02-16,0.008,0.008,0.008,0.008,687774
2025-02-17,0.008,0.008,0.008,0.008,365594
2025-02-18,0.008,0.008,0.008,0.008,40703
2025-02-19,0.008,0.0083,0.0078,0.008,273661
2025-02-20,0.008,0.008,0.008,0.008,636505
2025-02-21,0.0081,0.0081,0.008,0.008,550620
2025-02-22,0.008,0.0081,0.008,0.008,168757
2025-02-23,0.008,0.0081,0.008,0.008,138559
2025-02-24,0.008,0.0081,0.008,0.008,1270868
2025-02-25,0.008,0.0082,0.0078,0.008,393968
2025-02-26,0.008,0.0081,0.008,0.008,552454
2025-02-27,0.0081,0.0082,0.008,0.008,473396
2025-02-28,0.0081,0.0081,0.008,0.008,201372
2025-03-01,0.008,0.008,0.008,0.008,1102902
2025-03-02,0.008,0.0081,0.0079,0.008,800667
2025-03-03,0.008,0.008,0.008,0.008,398918
2025-03-04,0.008,0.0081,0.008,0.008,1001200
2025-03-05,0.008,0.008,0.008,0.008,184721
2025-03-06,0.008,0.008,0.008,0.008,727260
2025-03-07,0.0081,0.0082,0.0079,0.008,14726
2025-03-08,0.008,0.0081,0.008,0.008,241516
2025-03-09,0.008,0.0081,0.008,0.008,489331
2025-03-10,0.008,0.0081,0.008,0.008,803173
2025-03-11,0.0079,0.0086,0.0074,0.008,523259
2025-03-12,0.0081,0.0082,0.0079,0.008,275398
2025-03-13,0.0081,0.0081,0.008,0.008,279303
2025-03-14,0.008,0.0081,0.008,0.008,608126
2025-03-15,0.008,0.0081,0.008,0.008,616653
2025-03-16,0.008,0.0081,0.0079,0.008,1136196
2025-03-17,0.008,0.008,0.008,0.008,986885
2025-03-18,0.008,0.0084,0.0077,0.008,649569
2025-03-19,0.008,0.008,0.008,0.008,1003597
2025-03-20,0.008,0.0081,0.008,0.008,698723
2025-03-21,0.008,0.0082,0.0079,0.008,465345
2025-03-22,0.0081,0.0082,0.0079,0.008,703712
2025-03-23,0.008,0.0081,0.008,0.008,417182
2025-03-24,0.0081,0.0081,0.008,0.008,603782
2025-03-25,0.008,0.0081,0.008,0.008,47519
2025-03-26,0.008,0.0081,0.0079,0.008,120064
2025-03-27,0.008,0.0081,0.0079,0.008,601367
2025-03-28,0.008,0.0081,0.008,0.008,20136
2025-03-29,0.0081,0.0082,0.0079,0.008,847628
2025-03-30,0.008,0.0081,0.008,0.008,271577
2025-03-31,0.008,0.0083,0.0077,0.008,34648
2025-04-01,0.008,0.0082,0.0078,0.008,226251
2025-04-02,0.008,0.0081,0.008,0.008,579166
2025-04-03,0.008,0.008,0.008,0.008,692683
2025-04-04,0.008,0.0081,0.008,0.008,924234
2025-04-05,0.0081,0.0081,0.008,0.008,747824
2025-04-06,0.0079,0.0081,0.0078,0.008,326960
2025-04-07,0.008,0.0081,0.008,0.008,590844
2025-04-08,0.0079,0.008,0.0079,0.008,439780
2025-04-09,0.008,0.008,0.008,0.008,172083
2025-04-10,0.008,0.0082,0.0079,0.008,173478
2025-04-11,0.008,0.0082,0.0078,0.008,791869
2025-04-12,0.008,0.0081,0.0079,0.008,855750
2025-04-13,0.008,0.0081,0.0079,0.008,619727
2025-04-14,0.008,0.0082,0.0079,0.008,205238
2025-04-15,0.008,0.008,0.008,0.008,298078
2025-04-16,0.008,0.008,0.008,0.008,872378
2025-04-17,0.0081,0.0081,0.008,0.008,680186
2025-04-18,0.008,0.0082,0.0079,0.008,622454
2025-04-19,0.008,0.0081,0.0079,0.008,22116
2025-04-20,0.008,0.008,0.008,0.008,121823
2025-04-21,0.008,0.0081,0.008,0.008,168701
2025-04-22,0.008,0.0081,0.0079,0.008,560835
2025-04-23,0.008,0.0081,0.008,0.008,435537
2025-04-24,0.008,0.0082,0.0078,0.008,452264
2025-04-25,0.0081,0.0082,0.0079,0.008,1000807
2025-04-26,0.008,0.008,0.008,0.008,377855
2025-04-27,0.008,0.0082,0.0078,0.008,1052051
2025-04-28,0.0081,0.0082,0.0079,0.008,66217
2025-04-29,0.0081,0.0084,0.0078,0.008,35295
2025-04-30,0.0081,0.0081,0.008,0.008,533878
2025-05-01,0.008,0.0082,0.0078,0.008,1042161
2025-05-02,0.008,0.008,0.008,0.008,911660
2025-05-03,0.008,0.0082,0.0078,0.008,503816
2025-05-04,0.008,0.008,0.008,0.008,247706
2025-05-05,0.008,0.0083,0.0077,0.008,427391
2025-05-06,0.008,0.0081,0.008,0.008,1004569
2025-05-07,0.008,0.0082,0.0079,0.008,578559
2025-05-08,0.008,0.008,0.008,0.008,120159
2025-05-09,0.008,0.0081,0.008,0.008,858675
2025-05-10,0.008,0.0081,0.008,0.008,297362
2025-05-11,0.008,0.0081,0.0079,0.008,803729
2025-05-12,0.008,0.0081,0.008,0.008,1118731
2025-05-13,0.008,0.0081,0.008,0.008,446950
2025-05-14,0.008,0.0083,0.0077,0.008,156291
2025-05-15,0.008,0.0081,0.008,0.008,665826
2025-05-16,0.0081,0.0083,0.0078,0.008,393672
2025-05-17,0.0079,0.0083,0.0076,0.008,559021
2025-05-18,0.008,0.008,0.008,0.008,648418
