date,open,high,low,close,volume
2025-01-20,49.7457,50.9661,48.6362,49.8542,437310
2025-01-21,49.2412,49.6705,48.7334,49.162,467560
2025-01-22,48.7183,49.1343,48.3089,48.7249,643801
2025-01-23,49.0195,49.336,48.6818,48.9981,1090009
2025-01-24,48.3572,48.5305,48.2436,48.4167,635707
2025-01-25,47.6264,47.8642,47.1633,47.4001,1185829
2025-01-26,46.8341,47.4614,46.3457,46.9716,536476
2025-01-27,46.3176,46.6777,46.071,46.4305,1094867
2025-01-28,44.87,45.1717,44.8363,45.1377,445374
2025-01-29,45.2159,45.6691,44.8649,45.3174,796834
2025-01-30,45.0866,45.0995,45.078,45.0909,323347
2025-01-31,45.5431,45.9304,45.3972,45.7838,377094
2025-02-01,44.8973,44.9179,44.8594,44.88,165393
2025-02-02,44.6899,45.0343,44.4571,44.8009,71888
2025-02-03,45.2558,45.2642,45.2339,45.2423,349750
2025-02-04,45.2983,45.517,45.1498,45.3683,688479
2025-02-05,46.3429,47.9237,44.9303,46.5061,479801
2025-02-06,47.1433,48.2467,45.7708,46.8678,107343
2025-02-07,48.285,49.0023,47.8017,48.5167,264070
2025-02-08,48.9857,49.8278,48.3514,49.1909,908989
2025-02-09,50.6706,50.8533,50.3184,50.5006,340355
2025-02-10,50.3123,50.7448,49.6939,50.1248,629459
2025-02-11,50.3283,51.0439,49.7878,50.5016,285441
2025-02-12,50.4473,51.9004,49.3415,50.7872,122245
2025-02-13,53.4243,53.4432,53.4132,53.4321,42816
2025-02-14,53.7293,53.7562,53.4242,53.451,142221
2025-02-15,53.2807,55.8906,50.8539,53.4559,366841
2025-02-16,54.9949,56.1609,54.0227,55.1853,669376
2025-02-17,53.5659,54.0785,53.1901,53.7018,543632
2025-02-18,55.6239,58.049,53.3246,55.7447,25496
2025-02-19,55.4855,57.7019,53.2279,55.4426,692588
2025-02-20,55.5746,55.6896,55.4956,55.6105,605023
2025-02-21,54.7994,55.8163,54.0423,55.0556,244370
2025-02-22,55.0033,55.1749,54.6274,54.7983,262178
2025-02-23,55.4373,55.9202,55.0612,55.5434,1076917
2025-02-24,58.1027,58.2281,57.9847,58.1101,640776
2025-02-25,57.7759,58.5428,57.1748,57.9399,587324
2025-02-26,58.3701,58.4572,58.1589,58.2458,213873
2025-02-27,56.864,57.5609,56.1943,56.8909,96884
2025-02-28,56.0894,57.8629,54.708,56.4721,64187
2025-03-01,56.7049,56.9869,56.087,56.3674,340008
2025-03-02,55.6052,56.2719,54.6266,55.2895,31512
2025-03-03,56.0806,58.0342,53.7835,55.7247,259902
2025-03-04,57.2051,60.2216,54.1921,57.2085,453730
2025-03-05,57.493,57.5974,57.3416,57.4459,788165
2025-03-06,56.2957,56.9506,56.0202,56.6733,558663
2025-03-07,57.1095,57.3149,56.9312,57.1364,14364
2025-03-08,56.5399,57.2201,56.0951,56.7734,11437
2025-03-09,56.838,57.4904,56.8104,57.4625,369798
2025-03-10,58.3499,60.0566,55.7456,57.4253,493830
2025-03-11,58.5088,58.55,58.4768,58.518,428869
2025-03-12,60.7691,61.4578,59.8328,60.5187,498015
2025-03-13,61.415,64.5106,58.4008,61.4926,1013891
2025-03-14,59.1955,61.3346,57.464,59.5915,1006250
2025-03-15,57.1378,57.9106,56.8232,57.5935,373391
2025-03-16,56.1642,56.4907,55.7055,56.0313,199748
2025-03-17,57.5898,57.819,56.9041,57.1315,562345
2025-03-18,57.5532,59.6557,54.6586,56.7311,168600
2025-03-19,58.1582,58.772,57.376,57.9881,904363
2025-03-20,56.5452,56.6971,56.5208,56.6726,686424
2025-03-21,57.0571,57.2008,56.7927,56.9361,1033671
2025-03-22,58.0946,58.2175,57.5527,57.6747,1110617
2025-03-23,57.8813,58.1699,57.8074,58.0958,638720
2025-03-24,56.9647,57.2946,56.8546,57.1841,222599
2025-03-25,57.5068,57.7979,57.3166,57.6073,357139
2025-03-26,57.2875,57.637,56.5945,56.9419,1216368
2025-03-27,55.3105,56.4602,54.7725,55.9164,34691
2025-03-28,54.7303,54.9396,54.4883,54.6975,115043
2025-03-29,54.8737,54.9822,54.7758,54.8843,112869
2025-03-30,54.5723,57.1153,52.3334,54.8644,814465
2025-03-31,52.0472,54.3852,50.1425,52.4653,673733
2025-04-01,51.2506,51.2596,51.2416,51.2506,370451
2025-04-02,51.6444,51.7351,51.562,51.6527,304340
2025-04-03,48.901,48.9094,48.896,48.9044,620664
2025-04-04,50.0692,50.8379,49.0183,49.7826,1301160
2025-04-05,49.0668,52.4048,45.6935,49.0289,157752
2025-04-06,50.7,50.9429,50.4562,50.6992,348955
2025-04-07,50.1138,50.8866,49.2781,50.05,934662
2025-04-08,51.1269,51.2544,50.9852,51.1126,646867
2025-04-09,53.5842,54.9871,52.061,53.4606,406579
2025-04-10,53.5365,54.7003,52.004,53.1596,337071
2025-04-11,53.8494,53.8693,53.8458,53.8657,419037
2025-04-12,55.0623,55.2213,54.9727,55.1315,1064581
2025-04-13,53.205,53.2915,53.1268,53.2132,813758
2025-04-14,50.3462,50.7389,50.2806,50.673,607342
2025-04-15,50.1572,50.4019,49.9029,50.1475,291008
2025-04-16,49.8537,50.2667,49.5403,49.9527,120206
2025-04-17,48.6133,48.6779,48.5032,48.5677,229053
2025-04-18,48.9601,50.1069,48.4276,49.5677,727153
2025-04-19,51.8992,52.0448,51.8127,51.9582,406013
2025-04-20,51.2103,51.5574,50.6601,51.0058,788445
2025-04-21,50.2647,51.079,50.0689,50.8809,864955
2025-04-22,51.4381,52.0456,50.7116,51.3177,1113713
2025-04-23,53.1358,53.7985,52.4179,53.0799,567285
2025-04-24,54.3387,54.6181,54.1424,54.4215,197030
2025-04-25,54.6552,54.8119,54.5688,54.7254,230803
2025-04-26,55.1472,56.3568,54.4398,55.643,714157
2025-04-27,57.3021,57.7138,57.1567,57.5677,128368
2025-04-28,58.9886,59.32,58.5079,58.8384,161216
2025-04-29,58.8703,59.8841,57.7564,58.7684,248409
2025-04-30,56.7716,56.8042,56.5888,56.6213,419565
2025-05-01,58.2271,58.91,56.893,57.5682,699419
2025-05-02,57.1189,57.1802,56.8133,56.8744,206949
2025-05-03,57.2271,57.2693,57.175,57.2172,822575
2025-05-04,56.4244,56.5992,55.809,55.9825,194811
2025-05-05,55.1093,56.6298,53.3023,54.8148,668705
2025-05-06,54.7471,57.556,51.4392,54.2211,434982
2025-05-07,51.7092,54.7983,49.1371,52.2016,377781
2025-05-08,51.7434,52.0779,51.3032,51.637,146025
2025-05-09,51.9531,52.2572,51.4809,51.784,40041
