date,open,high,low,close,volume
2025-01-20,9.4506,9.6391,9.3202,9.5079,585927
2025-01-21,9.7698,9.8089,9.6387,9.6774,870766
2025-01-22,9.6201,9.7184,9.513,9.6112,931113
2025-01-23,9.5444,9.9346,9.0881,9.4756,27454
2025-01-24,9.2348,9.2793,9.193,9.2376,533108
2025-01-25,9.0824,9.0908,9.0505,9.0588,97147
2025-01-26,9.0592,9.1833,8.9456,9.0697,908520
2025-01-27,8.9283,9.0206,8.8255,8.9176,912113
2025-01-28,8.7831,8.9741,8.6294,8.8197,946666
2025-01-29,8.7421,8.8338,8.6654,8.7569,650729
2025-01-30,8.3902,8.5275,8.2634,8.4005,816090
2025-01-31,8.266,8.2681,8.2583,8.2605,849481
2025-02-01,8.5376,8.6054,8.511,8.5786,100207
2025-02-02,8.4385,8.5307,8.3215,8.4135,739031
2025-02-03,8.443,8.4593,8.4191,8.4353,689859
2025-02-04,8.144,8.3023,8.0698,8.2273,753281
2025-02-05,8.2568,8.3984,8.0819,8.223,6511
2025-02-06,8.3331,8.3381,8.3263,8.3312,787536
2025-02-07,8.2583,8.8918,7.7642,8.3898,524920
2025-02-08,8.4963,8.9231,8.0717,8.4985,61510
2025-02-09,8.7239,8.7361,8.7096,8.7218,619635
2025-02-10,8.834,9.0549,8.5712,8.791,522636
2025-02-11,8.726,8.9372,8.551,8.7615,35932
2025-02-12,8.7275,8.7451,8.7066,8.7242,123778
2025-02-13,8.5911,8.7048,8.5204,8.6338,1137102
2025-02-14,8.3697,8.6469,8.1099,8.3866,284853
2025-02-15,8.1254,8.3554,7.8351,8.0633,876557
2025-02-16,8.066,8.0665,8.0654,8.0659,543660
2025-02-17,7.8155,8.3806,7.3673,7.926,894771
2025-02-18,8.2507,8.4047,8.0613,8.2147,563308
2025-02-19,8.4024,8.4945,8.3387,8.4306,329718
2025-02-20,8.553,8.6015,8.4325,8.4806,212771
2025-02-21,8.3406,8.4815,8.1132,8.2526,118626
2025-02-22,7.997,8.042,7.9242,7.9691,1000417
2025-02-23,7.8583,7.9866,7.665,7.7923,817990
2025-02-24,7.7443,7.7759,7.7264,7.758,56368
2025-02-25,7.885,8.0441,7.7284,7.8874,215331
2025-02-26,7.7914,7.8071,7.7641,7.7798,125169
2025-02-27,8.0487,8.0562,8.0329,8.0404,471094
2025-02-28,8.1017,8.1545,8.0094,8.062,146739
2025-03-01,8.2842,9.288,7.3557,8.3519,654569
2025-03-02,8.2651,8.317,8.2125,8.2644,583946
2025-03-03,8.1015,8.6096,7.6786,8.1825,481191
2025-03-04,8.0684,8.2872,7.8528,8.0715,82959
2025-03-05,8.042,8.0504,8.028,8.0364,313605
2025-03-06,7.9815,8.1214,7.8261,7.9657,1109264
2025-03-07,7.8699,7.9301,7.8224,7.8826,241360
2025-03-08,7.6334,7.7721,7.55,7.688,399097
2025-03-09,7.8171,7.881,7.7201,7.7837,129886
2025-03-10,8.06,8.1888,7.8764,8.0044,129674
2025-03-11,8.2199,8.2231,8.2021,8.2054,188330
2025-03-12,8.1818,8.2149,8.1652,8.1984,499094
2025-03-13,8.4912,8.7571,8.2439,8.5093,462290
2025-03-14,8.7991,9.0762,8.4686,8.7439,42044
2025-03-15,8.4291,8.4424,8.3875,8.4007,832831
2025-03-16,8.3332,8.4355,8.3094,8.4115,1423697
2025-03-17,8.492,8.5256,8.4533,8.4869,297641
2025-03-18,8.5374,8.5464,8.5169,8.5259,584225
2025-03-19,8.4696,8.8349,8.2122,8.5743,600119
2025-03-20,8.8315,8.8372,8.8279,8.8336,637435
2025-03-21,8.9573,8.9945,8.8757,8.9127,793650
2025-03-22,9.3777,9.5731,9.1631,9.3581,634675
2025-03-23,9.2901,9.5209,9.1389,9.3685,805680
2025-03-24,9.417,9.4657,9.3338,9.3823,488784
2025-03-25,9.4911,9.5351,9.4803,9.5243,877689
2025-03-26,9.5769,9.5787,9.5755,9.5773,40110
2025-03-27,9.5869,9.6082,9.5725,9.5938,742694
2025-03-28,9.7107,9.9402,9.4558,9.6847,336317
2025-03-29,9.5048,9.6176,9.3733,9.4858,1180265
2025-03-30,9.4991,9.6971,9.2579,9.4549,291633
2025-03-31,9.1792,9.4961,8.9098,9.2254,715016
2025-04-01,9.4421,9.4659,9.3424,9.366,415439
2025-04-02,9.1807,9.2034,9.1246,9.1472,228094
2025-04-03,9.2261,9.2699,9.1519,9.1956,513389
2025-04-04,9.2718,9.3255,9.2295,9.2831,394854
2025-04-05,9.4098,9.515,9.3564,9.4614,283528
2025-04-06,9.5959,9.9511,9.2782,9.6322,222419
2025-04-07,9.3106,9.4793,9.2097,9.3777,445307
2025-04-08,9.0152,9.2397,8.8465,9.07,1371204
2025-04-09,8.8732,8.9149,8.8246,8.8663,281373
2025-04-10,8.7413,8.7678,8.6978,8.7243,646227
2025-04-11,8.6832,8.8943,8.4382,8.6484,130437
2025-04-12,8.9774,9.0677,8.9345,9.0246,115472
2025-04-13,8.8461,8.8861,8.8013,8.8412,323727
2025-04-14,8.8055,8.8341,8.7833,8.8119,927235
2025-04-15,8.9249,8.9731,8.8461,8.8942,463236
2025-04-16,9.1902,9.2249,9.1736,9.2083,528303
2025-04-17,8.8843,8.8963,8.8711,8.8831,520565
2025-04-18,8.7086,8.7421,8.6937,8.7272,505778
2025-04-19,8.7844,9.2879,8.1796,8.677,589611
2025-04-20,8.8172,8.8321,8.8082,8.8231,222814
2025-04-21,8.8178,9.0286,8.4845,8.6923,1082108
2025-04-22,8.665,8.702,8.6374,8.6743,517145
2025-04-23,8.8607,9.0261,8.7109,8.876,269692
2025-04-24,8.8245,8.8697,8.7792,8.8243,45571
2025-04-25,8.728,8.7308,8.7238,8.7266,252449
2025-04-26,8.799,8.9537,8.6084,8.7625,750526
2025-04-27,8.8322,8.8817,8.7728,8.8222,314506
2025-04-28,9.0514,9.1524,8.9208,9.0214,438509
2025-04-29,9.0866,9.112,9.0088,9.0341,303064
2025-04-30,9.0398,9.2009,8.9149,9.0756,738534
2025-05-01,9.1525,9.1969,9.1053,9.1497,695218
2025-05-02,9.0803,9.0823,9.0782,9.0802,121069
2025-05-03,9.058,9.116,9.0183,9.0762,516212
2025-05-04,9.1644,9.1812,9.1501,9.1669,1386317
2025-05-05,9.2986,9.3105,9.2587,9.2706,296295
2025-05-06,8.9691,9.3634,8.6903,9.0811,619390
2025-05-07,9.3111,9.5072,9.0539,9.2487,1255985
2025-05-08,9.1942,9.2385,9.1764,9.2207,442451
2025-05-09,9.3356,9.4045,9.2726,9.3414,444630
2025-05-10,9.3814,9.384,9.3693,9.3719,227642
2025-05-11,9.2478,9.3026,9.1732,9.2279,364527
2025-05-12,9.1301,9.4721,8.7817,9.1234,594136
2025-05-13,9.1384,9.3928,8.9728,9.2255,953433
2025-05-14,9.4967,9.8403,9.2005,9.5427,67082
2025-05-15,9.9323,9.9775,9.8395,9.8845,629259
2025-05-16,9.754,9.9494,9.6308,9.8254,291897
2025-05-17,9.8314,9.88,9.7571,9.8056,311846
2025-05-18,10.0344,10.4679,9.6416,10.0735,264461
