date,open,high,low,close,volume
2025-01-20,29.2983,29.3185,29.2754,29.2957,195272
2025-01-21,30.6308,30.8553,30.4236,30.648,733804
2025-01-22,30.5203,32.2474,28.9662,30.6849,249806
2025-01-23,31.7035,31.9303,31.5297,31.7563,231040
2025-01-24,31.322,31.5833,31.133,31.3939,150658
2025-01-25,31.9362,31.9561,31.9304,31.9504,872332
2025-01-26,32.0296,32.2048,31.8996,32.0746,1345776
2025-01-27,31.6669,31.8719,31.5209,31.7256,98119
2025-01-28,34.9693,35.0609,34.567,34.6577,1222568
2025-01-29,33.641,33.8724,33.4335,33.6648,414302
2025-01-30,35.6669,36.3185,35.0724,35.7231,189752
2025-01-31,35.116,35.1183,35.1159,35.1181,230368
2025-02-01,35.9575,36.2834,35.6044,35.93,696364
2025-02-02,36.3565,36.6349,36.1597,36.4377,263504
2025-02-03,36.592,37.5592,35.4817,36.4451,964378
2025-02-04,36.5098,36.6909,36.368,36.5491,68696
2025-02-05,37.1387,37.2427,37.0672,37.1712,831436
2025-02-06,37.4913,37.5275,37.4585,37.4948,49111
2025-02-07,36.4078,36.6443,36.2644,36.5006,1003822
2025-02-08,36.729,37.0973,35.9059,36.2696,351239
2025-02-09,35.4217,35.5017,34.8392,34.9181,75826
2025-02-10,35.5124,35.6031,35.4171,35.5079,785727
2025-02-11,33.9223,35.1767,32.9003,34.148,453919
2025-02-12,34.4521,34.4953,34.301,34.3441,244728
2025-02-13,34.134,34.2771,33.9724,34.1154,1205991
2025-02-14,34.2458,34.4778,34.0383,34.2701,685457
2025-02-15,34.2434,34.252,34.2039,34.2124,530025
2025-02-16,34.5749,35.0779,33.9885,34.4903,107249
2025-02-17,34.4187,35.0367,33.2154,33.8228,360334
2025-02-18,31.905,32.4413,31.5342,32.0686,82055
2025-02-19,32.1209,32.414,31.6449,31.9364,708586
2025-02-20,31.8653,32.4808,31.4392,32.0522,517649
2025-02-21,32.0281,32.5406,31.743,32.2535,1136485
2025-02-22,31.7514,31.9398,31.5237,31.7118,250838
2025-02-23,32.0836,32.7378,31.5654,32.2175,72836
2025-02-24,31.9383,32.0562,31.8337,31.9515,238014
2025-02-25,32.1223,32.1676,32.0898,32.135,354512
2025-02-26,32.3087,33.069,31.5823,32.3418,92874
2025-02-27,31.6763,33.602,30.0338,31.9454,1181447
2025-02-28,32.1606,32.3524,32.0119,32.2035,374365
2025-03-01,32.9379,33.0057,32.7908,32.8584,61190
2025-03-02,32.1788,32.5904,31.6996,32.1103,673738
2025-03-03,31.7985,33.1182,30.4895,31.8088,287893
2025-03-04,31.859,31.9281,31.8031,31.8721,290978
2025-03-05,31.7579,33.0188,30.1661,31.4133,485470
2025-03-06,31.2351,31.5907,30.7565,31.1107,548962
2025-03-07,30.6619,31.3851,30.0715,30.7922,171746
2025-03-08,29.2876,29.4737,29.0914,29.2775,456768
2025-03-09,29.2779,30.2118,28.1558,29.0835,100894
2025-03-10,28.1581,28.4398,27.8763,28.1579,204191
2025-03-11,28.4599,28.9267,27.6594,28.1207,613018
2025-03-12,27.1997,28.2825,26.3318,27.408,325661
2025-03-13,26.8111,27.4742,26.1954,26.8574,1160578
2025-03-14,26.7914,27.0492,26.6584,26.9155,31658
2025-03-15,27.1133,27.3745,26.8827,27.1436,213069
2025-03-16,27.0331,27.5461,26.5812,27.0932,576379
2025-03-17,26.9717,27.0445,26.8765,26.9492,925497
2025-03-18,27.9457,28.1584,27.769,27.9815,79313
2025-03-19,27.271,27.3482,27.1888,27.266,890157
2025-03-20,27.5345,29.5341,25.8219,27.8047,458592
2025-03-21,28.7054,29.3427,27.8785,28.5115,370616
2025-03-22,30.0974,30.3152,29.8554,30.0731,198669
2025-03-23,30.9844,31.3058,30.5124,30.8321,174854
2025-03-24,31.8372,31.8834,31.7637,31.8098,727093
2025-03-25,31.6908,32.4362,30.7426,31.4831,484493
2025-03-26,31.2601,31.8015,30.807,31.3472,1078232
2025-03-27,30.1007,30.1026,30.0794,30.0813,283218
2025-03-28,29.8939,29.9162,29.838,29.8602,632268
2025-03-29,29.2721,29.4278,29.0736,29.2291,87372
2025-03-30,29.4044,29.6134,28.8393,29.0457,1044241
2025-03-31,28.7808,29.4786,28.1266,28.8234,234808
2025-04-01,29.1019,29.5627,28.337,28.7928,793808
2025-04-02,29.1618,29.367,28.9279,29.1329,409329
2025-04-03,30.1567,30.7398,29.6911,30.2725,756179
