date,open,high,low,close,volume
2025-01-20,44.8863,45.5307,44.2053,44.8492,48536
2025-01-21,45.1124,45.172,45.0891,45.1488,976620
2025-01-22,46.3186,46.6057,46.1174,46.4042,304454
2025-01-23,47.2318,48.2007,45.776,46.7347,1126645
2025-01-24,46.1387,46.3395,46.0245,46.2251,389800
2025-01-25,44.9328,46.0191,43.8808,44.9664,324132
2025-01-26,45.0219,46.2594,43.4769,44.7056,143458
2025-01-27,45.2353,46.8669,43.7677,45.3942,361056
2025-01-28,43.9841,43.9987,43.9678,43.9824,29456
2025-01-29,42.6041,43.2021,41.9599,42.5572,804152
2025-01-30,42.5473,45.301,40.0821,42.82,731448
2025-01-31,42.8995,44.7643,40.6153,42.4611,258512
2025-02-01,40.9286,41.2665,40.7885,41.1257,213958
2025-02-02,42.0361,42.0744,42.0051,42.0434,1337251
2025-02-03,39.9705,43.3017,37.658,40.9335,185070
2025-02-04,41.0427,42.1302,40.2049,41.2874,15583
2025-02-05,42.0717,42.1341,41.9934,42.0558,110715
2025-02-06,42.4463,42.6778,42.3563,42.5875,257151
2025-02-07,42.3629,42.6054,42.184,42.4263,421079
2025-02-08,42.83,42.9036,42.7702,42.8437,539220
2025-02-09,43.645,43.752,43.5843,43.6912,223516
2025-02-10,41.8571,44.7311,38.5605,41.4034,519593
2025-02-11,40.721,41.7207,39.7323,40.7316,705402
2025-02-12,40.891,40.9032,40.8639,40.8761,206352
2025-02-13,40.4491,40.9,39.8644,40.3138,923223
2025-02-14,39.1248,39.1349,39.0256,39.0356,733018
2025-02-15,38.7669,39.5575,37.3737,38.1518,271996
2025-02-16,37.2565,38.1999,36.3567,37.299,1253841
2025-02-17,37.2691,37.4893,36.9864,37.2062,82943
2025-02-18,37.4337,38.2176,36.8703,37.651,1096958
2025-02-19,38.0867,38.4663,37.6097,37.9883,502685
2025-02-20,37.5271,38.0655,37.1313,37.6681,309850
2025-02-21,37.6142,37.6315,37.591,37.6083,587726
2025-02-22,36.6989,37.1087,36.0822,36.4897,356599
2025-02-23,35.5582,36.2436,34.8313,35.516,338463
2025-02-24,35.7136,35.8035,35.6513,35.7412,372407
2025-02-25,36.466,36.6374,36.2203,36.3914,76151
2025-02-26,36.4982,36.8356,36.3959,36.7326,661291
2025-02-27,39.4494,40.0877,37.9772,38.6018,562071
2025-02-28,38.7317,38.9352,38.3404,38.543,102595
2025-03-01,40.4008,40.511,40.3189,40.4291,22693
2025-03-02,40.5214,40.5827,40.4484,40.5097,42663
2025-03-03,40.5265,40.5266,40.5265,40.5266,373548
2025-03-04,40.8462,41.3829,40.4884,41.0236,567776
2025-03-05,39.8328,40.3642,39.4569,39.9868,518699
2025-03-06,38.7322,40.557,36.972,38.794,960111
2025-03-07,38.9783,39.106,38.963,39.0907,25055
2025-03-08,39.503,41.2494,38.3025,40.0328,653455
2025-03-09,41.8297,41.8363,41.8069,41.8135,69723
2025-03-10,42.2943,42.3757,42.2415,42.3229,288599
2025-03-11,41.3008,41.5608,41.0057,41.2654,137443
2025-03-12,39.998,40.3918,39.4264,39.8185,592501
2025-03-13,38.8859,39.9147,38.4252,39.4474,748114
2025-03-14,40.0844,40.4807,39.6386,40.0345,671703
2025-03-15,40.3231,42.5176,38.4683,40.6478,32221
2025-03-16,39.542,39.7279,39.4506,39.6362,166216
2025-03-17,40.4507,40.5434,40.3535,40.4461,166359
2025-03-18,39.5978,40.1704,38.7269,39.2951,294900
2025-03-19,39.5856,39.8328,39.4261,39.6729,792413
2025-03-20,39.9574,39.9615,39.8225,39.8265,391949
2025-03-21,39.618,40.7059,38.6476,39.7327,1114708
2025-03-22,39.948,39.9723,39.9262,39.9505,360687
2025-03-23,39.789,40.3208,39.191,39.7218,516795
2025-03-24,40.5494,41.3802,40.1106,40.9373,234609
2025-03-25,39.243,39.5068,39.1334,39.3968,642925
2025-03-26,38.5504,38.806,38.3857,38.641,39268
2025-03-27,38.1641,38.3817,37.801,38.0178,1396867
2025-03-28,37.314,37.8628,36.7452,37.2937,198951
2025-03-29,36.7886,36.9481,36.6594,36.8187,187088
2025-03-30,37.198,37.2391,37.1857,37.2268,40092
2025-03-31,37.1247,37.9999,36.4523,37.3239,424072
2025-04-01,38.7846,39.1154,38.1197,38.4476,67628
2025-04-02,39.0191,39.5229,38.3093,38.8104,448465
2025-04-03,40.5329,40.5476,40.5134,40.528,805148
2025-04-04,41.2136,41.4603,41.0305,41.2769,791757
2025-04-05,41.1063,41.1887,40.9913,41.0736,482574
2025-04-06,40.6717,41.0724,40.1167,40.5159,1031562
2025-04-07,40.9798,41.0063,40.951,40.9775,1128660
2025-04-08,41.729,42.5891,40.6777,41.5337,1211559
