date,open,high,low,close,volume
2025-01-20,62.5893,62.6112,62.5696,62.5915,368928
2025-01-21,62.4742,62.8421,62.4246,62.7922,36865
2025-01-22,62.8455,63.3227,62.4123,62.8892,282881
2025-01-23,63.9633,64.3128,63.7544,64.1034,577652
2025-01-24,63.7472,64.6149,62.4563,63.3181,601313
2025-01-25,65.4227,66.5736,64.1848,65.3341,933267
2025-01-26,63.1746,70.1585,57.2276,64.1223,87380
2025-01-27,64.4728,64.6199,64.316,64.4631,398416
2025-01-28,62.2488,62.7804,61.8561,62.3868,270305
2025-01-29,60.3247,62.548,59.2041,61.4073,563585
2025-01-30,62.2506,62.7324,61.8251,62.3065,827543
2025-01-31,64.5106,67.8204,60.3316,63.5943,435288
2025-02-01,61.5391,62.7455,60.7993,62.0001,913132
2025-02-02,60.0751,60.2039,59.9597,60.0885,347853
2025-02-03,60.5731,62.4173,58.2159,60.044,747646
2025-02-04,61.2151,61.4538,60.8442,61.0824,1419150
2025-02-05,61.6029,65.446,58.4027,62.214,1017803
2025-02-06,62.4072,62.6896,62.3552,62.6374,447972
2025-02-07,65.7959,66.703,65.0539,65.9592,817174
2025-02-08,66.6593,69.5698,63.1904,66.0753,327462
2025-02-09,65.8203,66.5801,64.5259,65.2794,430338
2025-02-10,64.212,64.4881,64.1029,64.3787,141200
2025-02-11,64.8264,65.0999,63.5389,63.8081,1100876
2025-02-12,64.6521,65.6669,63.5555,64.569,239177
2025-02-13,64.0805,65.3784,62.7595,64.0569,715705
2025-02-14,62.8007,64.2614,61.5426,62.9994,128471
2025-02-15,63.5031,63.6888,63.1865,63.3718,980782
2025-02-16,64.5595,65.8018,63.5521,64.7908,548191
2025-02-17,64.4081,65.5126,63.6574,64.7579,601853
2025-02-18,62.5156,62.6357,62.4961,62.6162,603104
2025-02-19,62.6045,65.5059,60.1084,62.9943,76099
2025-02-20,62.685,63.6989,62.1037,63.1136,346440
2025-02-21,61.5479,61.9026,60.9187,61.2719,357644
2025-02-22,60.5782,63.9947,57.3318,60.7396,234467
2025-02-23,59.5844,60.0808,59.0279,59.5238,97815
2025-02-24,58.5685,58.7362,58.538,58.7056,539688
2025-02-25,58.0057,58.5609,57.3192,57.8732,144349
2025-02-26,57.4324,59.0603,55.9746,57.5984,188129
2025-02-27,57.2707,60.4347,54.6338,57.7746,197934
2025-02-28,58.4136,58.5558,58.2463,58.3885,913109
2025-03-01,60.976,60.9806,60.9692,60.9738,1109762
2025-03-02,62.9066,64.9327,59.8475,61.8392,87116
2025-03-03,60.1712,60.987,60.09,60.9048,882052
2025-03-04,58.6491,60.5785,56.6558,58.583,782182
2025-03-05,60.4775,60.9115,59.7607,60.1927,393588
2025-03-06,61.0321,62.291,59.8172,61.0752,1101713
2025-03-07,61.3334,61.7648,60.9812,61.4121,663187
2025-03-08,62.5142,63.2731,61.673,62.4309,71784
2025-03-09,61.8608,65.7903,58.5262,62.4253,623817
2025-03-10,63.2658,63.9201,62.8265,63.4793,638756
2025-03-11,64.7479,66.0608,63.3737,64.6854,73829
2025-03-12,65.3191,67.0183,64.4989,66.1872,384165
2025-03-13,65.6803,67.4398,64.4051,66.1554,328094
2025-03-14,64.5781,66.3957,63.5209,65.3262,580440
2025-03-15,65.4198,65.5337,65.0266,65.1401,340908
2025-03-16,63.2502,64.4051,63.058,64.21,769884
2025-03-17,63.6936,65.634,63.0713,64.999,1075345
2025-03-18,64.8651,65.1339,64.5781,64.8468,140472
2025-03-19,64.6907,65.0355,64.3505,64.6952,1068022
2025-03-20,64.1986,64.8612,63.9649,64.626,102515
2025-03-21,65.9256,66.792,65.4713,66.3348,635900
2025-03-22,65.9046,73.1401,58.607,65.8348,412914
2025-03-23,64.6293,64.6425,64.6137,64.6269,616088
2025-03-24,63.1932,63.2214,63.1043,63.1324,1214657
2025-03-25,63.614,65.8667,61.8892,64.1281,624530
2025-03-26,63.3266,63.6163,63.0262,63.3159,270015
2025-03-27,64.036,65.1448,63.1542,64.26,151385
2025-03-28,64.4502,64.9863,63.98,64.5157,261697
2025-03-29,64.8688,65.3487,64.5396,65.0188,194393
2025-03-30,66.1003,66.3961,65.8596,66.1552,530611
2025-03-31,64.8621,68.3489,61.3516,64.8372,62717
2025-04-01,63.3582,63.4105,63.2842,63.3364,344753
2025-04-02,63.5882,64.1736,62.6534,63.2356,486764
2025-04-03,62.6147,62.8263,62.4562,62.6676,107352
2025-04-04,62.7891,62.9746,62.5271,62.7124,31427
2025-04-05,61.8084,62.7667,61.443,62.3978,75193
2025-04-06,59.1172,66.5936,53.3472,60.6718,715812
2025-04-07,60.0185,60.2658,59.715,59.9621,659605
2025-04-08,60.5123,60.8715,60.4079,60.7667,929336
2025-04-09,62.1831,63.5412,60.5017,61.8526,410141
2025-04-10,64.0568,64.9362,63.5264,64.403,1088081
