date,open,high,low,close,volume
2025-01-20,7.3094,7.3706,7.2605,7.3216,1364152
2025-01-21,7.2246,7.4161,7.0509,7.242,551430
2025-01-22,7.5577,7.5696,7.5105,7.5224,780894
2025-01-23,7.3219,7.3678,7.3005,7.3463,170070
2025-01-24,7.4513,7.4556,7.4483,7.4527,705650
2025-01-25,7.3218,7.3226,7.3032,7.304,1104878
2025-01-26,7.1014,7.1204,7.073,7.092,240612
2025-01-27,7.0333,7.0604,7.0054,7.0325,477514
2025-01-28,6.8215,6.9914,6.7674,6.9364,343035
2025-01-29,6.6478,6.6702,6.6295,6.6519,775679
2025-01-30,6.6013,6.6775,6.5457,6.6217,207877
2025-01-31,6.5003,6.8875,6.2307,6.6132,358381
2025-02-01,6.5116,6.6331,6.4618,6.5827,778233
2025-02-02,6.539,6.7226,6.368,6.5513,109209
2025-02-03,6.5608,6.6175,6.5116,6.5683,1145275
2025-02-04,6.6305,6.6697,6.5867,6.6259,383723
2025-02-05,6.6195,6.8573,6.5119,6.7476,282285
2025-02-06,6.896,6.9008,6.886,6.8907,117150
2025-02-07,6.9107,7.049,6.8151,6.9528,83405
2025-02-08,6.7908,6.9267,6.6941,6.8295,785654
2025-02-09,6.8429,7.1466,6.596,6.8977,392935
2025-02-10,6.9562,7.2921,6.6942,7.0274,134554
2025-02-11,7.1185,7.2092,7.0296,7.1202,50078
2025-02-12,7.104,7.2023,7.0409,7.1389,477894
2025-02-13,7.2208,7.2543,7.1706,7.204,1152574
2025-02-14,7.1774,7.1848,7.1741,7.1815,72101
2025-02-15,7.2318,7.2962,7.1439,7.2081,287161
2025-02-16,7.0248,7.1314,6.9614,7.0676,477123
2025-02-17,6.8792,6.8884,6.877,6.8863,459246
2025-02-18,6.6826,6.7032,6.6616,6.6822,390361
2025-02-19,6.8006,6.817,6.7647,6.7811,114886
2025-02-20,7.0345,7.1785,6.907,7.0507,130537
2025-02-21,6.8614,7.2554,6.5228,6.9142,386892
2025-02-22,7.0784,7.0842,7.0616,7.0674,29742
2025-02-23,6.8983,6.9541,6.8779,6.9335,1095113
2025-02-24,7.2155,7.34,7.1392,7.2631,593419
2025-02-25,7.1407,7.1599,7.1347,7.1538,121727
2025-02-26,7.2475,7.3325,7.1533,7.2382,284954
2025-02-27,7.2359,7.2647,7.1204,7.1489,628536
2025-02-28,7.2373,7.2706,7.1825,7.2157,521665
2025-03-01,7.4131,7.7185,7.1559,7.4596,420725
2025-03-02,7.5052,7.9098,7.1205,7.5241,683742
2025-03-03,7.408,7.6622,7.1511,7.4052,418357
2025-03-04,7.2892,7.3549,7.1753,7.2405,10557
2025-03-05,7.2658,7.2687,7.2654,7.2683,562056
2025-03-06,7.3899,7.6372,7.0703,7.315,748682
2025-03-07,7.2481,7.3855,7.0928,7.2298,650914
2025-03-08,7.2771,7.6888,6.8346,7.2445,305427
2025-03-09,7.2381,7.2537,7.213,7.2286,201767
2025-03-10,7.3449,7.3753,7.3424,7.3729,80850
2025-03-11,7.2356,7.782,6.7859,7.3266,430087
2025-03-12,7.3393,7.3565,7.3192,7.3365,581653
2025-03-13,7.3299,7.601,7.0083,7.2775,366592
2025-03-14,7.2931,7.3488,7.2299,7.2856,1257933
2025-03-15,7.1889,7.2069,7.1711,7.1891,130534
2025-03-16,7.3805,7.7535,6.9287,7.2976,152871
2025-03-17,7.1415,7.2366,7.079,7.1738,161397
2025-03-18,7.0411,7.3289,6.8691,7.1541,601740
2025-03-19,7.0547,7.0796,6.9282,6.9528,255929
