date,open,high,low,close,volume
2025-01-20,137.6333,145.564,130.3859,138.2825,58518
2025-01-21,142.7038,146.8092,138.2609,142.3564,949323
2025-01-22,143.0893,143.3736,142.5909,142.8748,536557
2025-01-23,142.4402,143.7452,140.5848,141.8847,478779
2025-01-24,140.953,141.5127,139.753,140.3101,913988
2025-01-25,140.8131,142.807,138.6435,140.635,734479
2025-01-26,143.5722,143.5913,143.4642,143.4832,212935
2025-01-27,146.4788,150.1299,141.5775,145.1966,30597
2025-01-28,142.2824,146.1459,139.9994,143.8379,464809
2025-01-29,147.5552,149.3836,145.6476,147.4751,432119
2025-01-30,150.6736,151.8497,149.1896,150.3634,314990
2025-01-31,151.1687,157.5056,145.3056,151.6248,670776
2025-02-01,146.9799,147.3694,146.5633,146.9528,736884
2025-02-02,146.4356,146.9472,146.1859,146.697,491678
2025-02-03,145.786,148.4127,141.9423,144.5466,888786
2025-02-04,146.911,148.507,144.384,145.9698,334965
2025-02-05,146.9124,148.5474,145.1519,146.7855,1031531
2025-02-06,147.1712,148.3033,146.5042,147.6343,417774
2025-02-07,149.9834,150.2549,149.7086,149.9802,330702
2025-02-08,146.6744,149.0049,143.5629,145.8809,589738
2025-02-09,144.8386,146.2209,143.4743,144.8564,690616
2025-02-10,143.7045,154.8589,134.1412,145.1963,259671
2025-02-11,143.1159,143.1335,143.1015,143.1191,61324
2025-02-12,145.8073,145.8707,145.7635,145.8269,591141
2025-02-13,144.4758,145.3443,143.4865,144.3543,74811
2025-02-14,147.8444,148.3173,146.8196,147.2907,50588
2025-02-15,144.3823,144.5496,144.35,144.5172,261268
2025-02-16,140.9698,141.0251,140.8524,140.9076,1279917
2025-02-17,144.7364,145.5967,144.0133,144.8729,296710
2025-02-18,143.4867,145.9119,141.2837,143.7055,392945
2025-02-19,142.9868,143.4907,141.9974,142.4996,936421
2025-02-20,145.9982,151.5547,137.736,143.1856,216857
2025-02-21,142.1067,145.8175,139.3946,143.0867,427743
2025-02-22,147.609,148.377,146.6199,147.3868,528391
2025-02-23,145.5374,146.5672,145.2056,146.2338,121065
2025-02-24,144.6603,145.8948,143.75,144.9824,591826
2025-02-25,143.3282,143.4806,143.2238,143.3761,566556
2025-02-26,149.9367,150.135,149.6752,149.8735,12657
2025-02-27,151.3294,151.4996,150.2753,150.4444,923312
2025-02-28,149.0235,149.4517,148.5534,148.9814,1129787
2025-03-01,150.4785,152.2551,149.1281,150.9009,1169600
2025-03-02,149.0818,151.8368,144.9914,147.7213,179802
2025-03-03,150.491,151.6146,149.1086,150.2303,105266
2025-03-04,149.2606,149.5252,148.639,148.903,21943
2025-03-05,150.061,152.0055,147.9142,149.8561,724795
2025-03-06,152.9163,163.8251,139.1766,149.8679,564446
2025-03-07,154.3012,155.468,152.8207,153.9852,132555
2025-03-08,159.8231,163.3391,154.6125,158.0904,560868
2025-03-09,156.7162,159.4896,153.8422,156.6139,123958
2025-03-10,166.6883,178.058,157.1122,168.3844,1214393
2025-03-11,165.8,165.9229,165.5767,165.6995,1074873
2025-03-12,163.5952,164.3495,163.5186,164.2725,519794
2025-03-13,164.3826,165.0692,163.053,163.7368,489188
2025-03-14,163.0523,167.7638,157.9885,162.6895,151520
2025-03-15,164.8399,171.1151,157.2632,163.4869,183596
2025-03-16,162.0876,162.4888,160.6425,161.0411,505696
2025-03-17,156.7354,160.622,153.636,157.5073,81735
2025-03-18,164.0213,168.172,159.78,163.9283,500418
2025-03-19,162.4011,167.5332,156.6826,161.7955,256508
2025-03-20,160.3407,162.6996,159.8279,162.1809,217919
2025-03-21,168.3549,169.2213,164.9089,165.7619,689316
2025-03-22,175.241,176.8848,173.3964,175.0383,761989
2025-03-23,170.7336,172.8738,169.7246,171.8581,184023
2025-03-24,174.4765,178.4586,171.5381,175.5029,141141
2025-03-25,174.8238,175.142,174.0335,174.3509,30971
2025-03-26,172.6847,172.8094,171.9824,172.1066,1041310
2025-03-27,169.4519,176.1488,162.3319,169.0114,690426
2025-03-28,172.2946,174.6386,169.2842,171.619,128837
2025-03-29,163.5807,171.0637,156.2079,163.6861,387502
2025-03-30,161.4233,164.0563,159.6391,162.2628,417930
2025-03-31,162.7046,164.3488,161.2085,162.8513,527362
2025-04-01,163.3888,165.8793,161.1074,163.595,276296
2025-04-02,162.6244,165.0125,161.2519,163.6315,195409
2025-04-03,160.9692,161.0934,160.8957,161.0198,758215
2025-04-04,159.2801,163.0026,156.4037,160.1111,273683
2025-04-05,158.5104,158.5205,158.4655,158.4756,659625
2025-04-06,162.7501,163.2382,162.4906,162.9783,421878
2025-04-07,159.5461,172.4552,149.0021,161.7646,458461
2025-04-08,168.5451,168.7194,168.3196,168.4938,557700
2025-04-09,172.1442,173.5926,170.9064,172.3533,327030
2025-04-10,170.8638,171.0267,170.7176,170.8805,707305
2025-04-11,172.5782,174.1664,171.077,172.6645,372018
2025-04-12,176.5591,177.4835,175.62,176.5444,685541
2025-04-13,175.3984,183.7021,165.1166,173.322,397952
2025-04-14,171.5697,172.076,171.1668,171.6729,658438
2025-04-15,173.9558,180.5695,169.9226,176.4777,645086
2025-04-16,178.3656,179.9035,177.8137,179.3486,566853
2025-04-17,175.8277,182.0653,172.1892,178.3741,1167438
