date,open,high,low,close,volume
2025-01-20,103.8895,104.3054,103.5566,103.9723,629493
2025-01-21,103.0361,104.819,101.4242,103.2045,837981
2025-01-22,104.4823,107.31,102.6761,105.4864,682707
2025-01-23,104.9784,105.0588,104.8076,104.8879,1007701
2025-01-24,103.9065,103.9509,103.905,103.9494,494012
2025-01-25,101.823,102.0373,101.0981,101.3113,241454
2025-01-26,103.1496,103.782,102.2462,102.877,273287
2025-01-27,103.2616,105.0364,100.884,102.6482,810510
2025-01-28,107.3904,107.501,106.9818,107.0921,496697
2025-01-29,109.0836,110.5239,107.8811,109.3188,817479
2025-01-30,107.0975,107.4538,106.4789,106.8343,378964
2025-01-31,106.5158,112.3826,100.8677,106.7235,1009455
2025-02-01,108.5258,110.3244,107.2656,109.058,268797
2025-02-02,111.096,111.7503,110.4646,111.1187,308116
2025-02-03,112.2862,112.7083,111.5829,112.0039,516224
2025-02-04,111.5436,114.3255,109.4765,112.2455,520991
2025-02-05,108.5279,109.2566,108.1029,108.8305,215183
2025-02-06,108.4528,111.1731,106.1697,108.881,823505
2025-02-07,111.2599,111.931,110.9641,111.6342,957988
2025-02-08,109.2077,109.6138,108.8236,109.2297,951772
2025-02-09,110.9949,111.0404,110.3431,110.3884,350586
2025-02-10,109.9738,110.3578,109.9559,110.3398,31964
2025-02-11,109.437,109.9685,109.3059,109.837,1204848
2025-02-12,111.7802,111.9298,111.2941,111.4432,152745
2025-02-13,110.0844,113.7536,106.903,110.5585,806153
2025-02-14,112.8569,113.2745,111.1039,111.5166,124681
2025-02-15,109.1791,112.493,106.556,109.8537,24204
2025-02-16,110.2028,110.2763,108.501,108.5735,445139
2025-02-17,109.6169,110.4423,108.6875,109.5121,318131
2025-02-18,110.8811,110.8909,110.8702,110.88,364381
2025-02-19,111.444,111.6744,110.6661,110.8954,581863
2025-02-20,110.527,110.8364,110.3567,110.6659,248106
2025-02-21,109.503,110.1479,108.9149,109.5596,250064
2025-02-22,106.8703,112.8348,101.9389,107.8579,1139092
2025-02-23,109.1655,110.7084,107.003,108.5371,590724
2025-02-24,108.1724,115.5565,99.2848,106.5588,347906
2025-02-25,112.5864,112.6009,110.4894,110.5037,413551
2025-02-26,108.8344,109.2333,107.8594,108.2563,90362
2025-02-27,105.2556,107.2602,103.5788,105.5782,389926
2025-02-28,102.0387,104.0061,100.7031,102.6623,348597
2025-03-01,102.843,103.0047,102.7362,102.8978,336323
2025-03-02,103.0847,107.6557,97.7985,102.3362,738698
2025-03-03,101.4026,102.8108,100.3025,101.7074,78443
2025-03-04,102.5483,103.4175,101.411,102.2778,612635
2025-03-05,99.5928,99.6039,99.584,99.5951,280183
2025-03-06,100.0382,101.3887,98.4552,99.8025,1399501
2025-03-07,101.343,103.0348,98.4154,100.0863,19149
2025-03-08,101.8135,103.9819,99.0198,101.1746,525135
2025-03-09,101.569,103.457,100.1597,102.0412,482521
2025-03-10,107.4563,107.768,107.1281,107.4396,506567
2025-03-11,102.4478,102.5279,102.324,102.404,326447
2025-03-12,102.8107,106.8424,99.8719,103.8732,626424
2025-03-13,104.2953,104.9749,102.9638,103.6391,285607
2025-03-14,101.6988,102.0752,101.4898,101.8658,1127204
2025-03-15,103.1558,103.2646,103.1185,103.2274,437027
