date,open,high,low,close,volume
2025-01-20,210.8423,211.7007,210.0128,210.871,636469
2025-01-21,212.3421,213.0487,211.1437,211.8487,411314
2025-01-22,213.7208,222.624,203.324,212.1623,607179
2025-01-23,221.6207,223.6747,219.1583,221.2084,1116431
2025-01-24,217.3395,217.9403,216.9052,217.5056,1255422
2025-01-25,214.3822,220.8948,210.4294,216.8957,253843
2025-01-26,219.5857,219.9682,219.1142,219.4965,690007
2025-01-27,220.0022,220.9631,219.5521,220.512,363463
2025-01-28,215.2154,216.9954,213.2276,215.0059,383474
2025-01-29,220.3464,223.2217,213.6988,216.5242,899025
2025-01-30,217.5064,217.5326,217.4117,217.4379,603928
2025-01-31,224.5324,228.4724,223.0947,227.0188,296890
2025-02-01,229.4626,232.9676,225.5533,229.0521,131679
2025-02-02,234.8953,246.4153,222.2232,233.6838,901064
2025-02-03,231.8445,232.5501,230.5582,231.262,380117
2025-02-04,231.5561,232.8605,229.8453,231.1475,800633
2025-02-05,233.6951,236.3698,230.075,232.7388,257688
2025-02-06,233.6112,235.1715,231.4261,232.9822,803849
2025-02-07,228.7166,237.0621,223.8579,232.1309,703729
2025-02-08,231.0463,237.9548,228.6677,235.5301,1089524
2025-02-09,240.7988,242.8324,238.4462,240.4771,192999
2025-02-10,245.2546,245.4709,244.794,245.0101,364484
2025-02-11,244.0962,245.7666,240.8379,242.4974,1017373
2025-02-12,241.0779,246.2904,234.3257,239.5041,555424
2025-02-13,239.7825,240.3912,237.8064,238.4116,601506
2025-02-14,236.108,239.4063,233.3119,236.6044,193559
2025-02-15,239.9997,241.0638,237.8419,238.9012,917926
2025-02-16,235.0375,241.0049,230.2851,236.2284,435523
2025-02-17,233.2621,233.8865,231.729,232.351,309584
2025-02-18,235.7024,267.6998,201.4207,233.0593,244064
2025-02-19,235.2025,236.1983,233.2816,234.2734,768000
2025-02-20,236.3865,236.8785,235.5549,236.0462,1044497
2025-02-21,232.3781,254.3179,207.0461,228.6322,457318
2025-02-22,225.1374,236.9895,211.8862,223.6605,306071
2025-02-23,222.709,227.2575,218.6038,223.1443,151752
2025-02-24,215.4894,217.3804,212.3138,214.1934,97322
2025-02-25,227.779,236.2947,220.7403,229.2117,552601
2025-02-26,227.1184,237.5635,218.9207,229.2874,478604
2025-02-27,226.7232,227.6332,225.9483,226.8578,14889
2025-02-28,230.292,234.7066,226.5646,230.9683,566370
2025-03-01,234.7124,238.5723,234.5931,238.4512,253256
2025-03-02,235.0073,235.6402,234.2064,234.8389,59730
2025-03-03,229.9804,239.3808,222.507,231.8467,118875
2025-03-04,230.7662,237.2965,226.2911,232.7823,19321
2025-03-05,229.7346,231.9715,229.3767,231.6106,273229
2025-03-06,228.3808,229.4906,227.0741,228.1829,1252450
2025-03-07,222.1976,224.0916,222.1733,224.0671,391713
2025-03-08,216.6553,217.6633,214.4958,215.4984,103728
2025-03-09,214.21,217.911,211.5718,215.2599,55182
2025-03-10,217.7492,218.0871,216.2606,216.5967,656427
2025-03-11,219.4849,228.6109,211.3802,220.4698,1145552
2025-03-12,212.6627,215.9144,209.1521,212.3997,503794
2025-03-13,211.8645,213.0635,211.185,212.3823,382656
2025-03-14,207.8147,211.9991,205.2276,209.3924,349971
2025-03-15,210.7188,212.1205,209.1307,210.5311,63331
2025-03-16,212.5163,227.0106,198.1999,212.6829,528931
2025-03-17,212.7924,215.9653,211.3368,214.4981,13079
2025-03-18,218.3867,219.4269,217.6593,218.6985,24842
2025-03-19,218.2528,226.7484,210.4289,218.9012,484471
2025-03-20,217.8105,219.6601,217.0406,218.8863,839776
2025-03-21,220.6039,220.7359,220.4878,220.6198,721104
2025-03-22,223.5765,223.8695,223.5444,223.8374,997998
2025-03-23,225.4769,229.6475,222.5132,226.6682,341353
2025-03-24,225.2092,234.5992,215.5515,224.9298,1071858
2025-03-25,220.0436,220.8063,218.9834,219.7451,625859
2025-03-26,219.9873,220.7858,218.5554,219.3515,297283
2025-03-27,219.9759,223.6695,216.7622,220.4488,441663
2025-03-28,219.8,235.6808,206.5017,222.2352,899388
