date,open,high,low,close,volume
2025-01-20,278.9174,296.98,259.3528,277.3113,345097
2025-01-21,273.0855,298.1953,251.8432,276.6738,283508
2025-01-22,285.8069,287.6997,283.958,285.8505,356347
2025-01-23,284.7313,297.1754,275.3396,287.6862,1127416
2025-01-24,279.515,279.9505,278.9611,279.3964,49260
2025-01-25,283.9532,286.5084,281.0976,283.6502,961192
2025-01-26,282.0459,286.9535,275.8337,280.7182,178614
2025-01-27,292.9335,297.4874,289.5971,294.1372,237512
2025-01-28,299.6507,315.9451,283.2981,299.5891,194489
2025-01-29,299.854,304.2777,295.7842,300.2032,459481
2025-01-30,299.6035,307.3521,294.285,301.9912,633010
2025-01-31,292.4061,298.8106,286.0102,292.4145,82028
2025-02-01,286.9785,288.6053,286.4497,288.0744,157182
2025-02-02,292.5271,293.1796,291.553,292.2048,1381760
2025-02-03,294.9866,303.1678,285.6219,293.7693,775331
2025-02-04,283.9854,293.2247,275.319,284.5413,416610
2025-02-05,276.9949,278.8684,276.3224,278.1929,914657
2025-02-06,272.0482,276.4788,269.0243,273.4394,286164
2025-02-07,282.1217,288.3067,276.9103,283.0776,196773
2025-02-08,294.2633,303.7296,287.4487,296.8549,80382
2025-02-09,287.4428,287.7728,287.3309,287.6608,20999
2025-02-10,289.8403,297.7005,280.502,288.3211,1030836
2025-02-11,293.3994,295.5643,290.7095,292.8705,1075077
2025-02-12,293.1827,305.0121,284.4774,296.2167,13121
2025-02-13,297.8195,297.9592,297.444,297.5836,946039
2025-02-14,293.005,293.1195,292.9346,293.0491,603570
2025-02-15,298.5945,299.5176,296.8593,297.7798,454686
2025-02-16,295.5375,298.4753,293.1173,296.0509,914890
2025-02-17,297.0048,301.9037,293.66,298.5416,1114011
2025-02-18,300.1928,304.4277,296.0293,300.2633,415714
2025-02-19,296.6687,299.8416,293.4203,296.5924,103330
2025-02-20,287.2759,288.7506,285.2999,286.772,551284
2025-02-21,291.1534,291.1751,291.115,291.1367,393228
2025-02-22,292.9645,293.2802,292.1004,292.4155,547812
2025-02-23,289.8847,305.6058,280.3824,295.9062,156395
2025-02-24,291.5715,296.0122,287.6991,292.1323,19349
2025-02-25,295.0556,295.7829,293.9495,294.6758,414993
2025-02-26,296.2514,299.4647,291.7375,294.9365,431195
2025-02-27,291.3263,292.047,291.2681,291.9887,349236
2025-02-28,289.3935,294.927,282.949,288.4647,132019
2025-03-01,290.3291,296.115,283.4591,289.2229,460282
