date,open,high,low,close,volume
2025-01-20,2625.2296,2638.2985,2613.424,2626.4873,708248
2025-01-21,2559.0255,2613.4682,2524.8067,2578.9825,409084
2025-01-22,2546.2895,2549.9527,2529.0782,2532.7219,472917
2025-01-23,2608.345,2649.5645,2599.7623,2640.8748,1054162
2025-01-24,2667.8474,2704.589,2627.0992,2663.7847,392193
2025-01-25,2623.9194,2686.8363,2526.923,2589.0027,474276
2025-01-26,2576.4232,2591.7238,2561.8202,2577.1169,594060
2025-01-27,2625.0444,2646.8741,2581.4962,2603.1438,502359
2025-01-28,2525.4678,2626.5193,2439.3568,2539.9157,379776
2025-01-29,2634.7851,2679.3525,2541.1041,2584.8264,79303
2025-01-30,2631.277,2653.7825,2623.3166,2645.7783,993195
2025-01-31,2692.2805,2761.5854,2603.7531,2672.5501,151178
2025-02-01,2679.8888,2773.5536,2562.1531,2654.9461,355419
2025-02-02,2624.9393,2648.9394,2597.6626,2621.6325,691094
2025-02-03,2542.5508,2607.278,2488.3007,2552.8091,599430
2025-02-04,2604.3084,2605.1247,2598.9822,2599.7971,1177069
2025-02-05,2596.6458,2662.6611,2488.3872,2553.3006,993742
2025-02-06,2548.6566,2597.6801,2502.9671,2551.9319,367082
2025-02-07,2468.7499,2491.3364,2438.3785,2460.8931,386844
2025-02-08,2514.9398,2515.0463,2514.7329,2514.8393,738730
2025-02-09,2460.984,2478.6986,2448.4237,2466.112,259375
2025-02-10,2456.1014,2511.3731,2408.8988,2464.0183,533050
2025-02-11,2446.9978,2462.5789,2431.2226,2446.8024,340433
2025-02-12,2528.4354,2541.8037,2516.3007,2529.6632,188006
2025-02-13,2481.0995,2575.828,2390.5463,2485.1278,560577
2025-02-14,2534.323,2610.2107,2448.341,2523.9171,1412724
2025-02-15,2452.0946,2516.9439,2380.8262,2445.5011,530092
2025-02-16,2489.2446,2543.4475,2428.1797,2482.2298,54956
2025-02-17,2519.3926,2555.538,2464.9538,2500.8329,379142
2025-02-18,2456.9271,2462.8393,2453.0713,2458.9804,1428419
2025-02-19,2421.1571,2603.9181,2276.6826,2457.2876,412051
2025-02-20,2514.9621,2544.5621,2487.5544,2517.1307,914430
2025-02-21,2482.6521,2501.6606,2463.9537,2482.9599,373868
2025-02-22,2551.2116,2605.9758,2485.1974,2539.7148,288598
2025-02-23,2607.4115,2620.6024,2597.7478,2610.9257,539961
2025-02-24,2617.7441,2626.2488,2606.5863,2615.0825,966923
2025-02-25,2564.423,2635.3264,2485.8905,2556.5769,166221
2025-02-26,2592.8451,2607.4136,2567.3359,2581.8425,266028
2025-02-27,2473.335,2614.866,2362.9962,2503.1951,16822
2025-02-28,2438.1708,2464.4307,2421.3012,2447.4965,1026458
2025-03-01,2491.8898,2574.999,2393.337,2475.9133,344081
2025-03-02,2454.8313,2492.5424,2410.3275,2447.9326,55162
2025-03-03,2427.9487,2433.2584,2426.7568,2432.0644,588931
2025-03-04,2381.045,2391.115,2372.758,2382.8218,143510
2025-03-05,2344.9473,2402.7717,2284.0569,2341.8038,753649
2025-03-06,2306.247,2339.0791,2269.4755,2302.2507,174279
2025-03-07,2359.8415,2396.0327,2331.3463,2367.4457,814000
2025-03-08,2361.284,2398.8152,2330.9619,2368.4017,785405
2025-03-09,2448.9743,2462.4593,2428.3565,2441.802,346328
2025-03-10,2448.548,2492.7442,2393.6341,2437.6333,18273
2025-03-11,2487.475,2527.7162,2441.3338,2481.4779,750898
2025-03-12,2401.7083,2497.3166,2334.4457,2429.2818,500543
2025-03-13,2425.6216,2461.0549,2393.4161,2428.8071,250464
2025-03-14,2496.0706,2501.7892,2492.5858,2498.3014,41765
2025-03-15,2422.402,2431.5714,2416.4187,2425.5804,465592
2025-03-16,2435.3055,2455.0267,2410.3717,2430.0504,268316
2025-03-17,2489.9958,2502.4347,2471.7789,2484.1887,180825
2025-03-18,2443.1504,2480.0204,2428.5921,2465.3299,856542
2025-03-19,2437.2401,2437.9541,2425.0475,2425.7581,437048
2025-03-20,2301.3323,2301.5633,2301.158,2301.389,270455
2025-03-21,2249.6923,2252.4883,2245.6035,2248.3979,1231566
2025-03-22,2248.1414,2258.1716,2237.9332,2247.9626,725265
2025-03-23,2277.3399,2326.4922,2241.2164,2290.1654,1275692
2025-03-24,2213.8067,2239.563,2206.7925,2232.4896,129227
2025-03-25,2218.7705,2263.68,2168.8451,2213.651,381496
2025-03-26,2230.5111,2250.706,2214.3895,2234.5552,719030
2025-03-27,2195.5716,2223.3325,2170.9669,2198.6929,1025530
2025-03-28,2198.9807,2208.6368,2196.1449,2205.7922,319304
2025-03-29,2193.1676,2206.1881,2164.207,2177.1323,723780
2025-03-30,2247.2925,2253.75,2230.0399,2236.4664,1016211
2025-03-31,2261.5214,2287.1058,2238.3193,2263.8796,355619
2025-04-01,2290.0964,2296.8538,2287.9523,2294.7053,351906
2025-04-02,2336.1349,2346.608,2323.7078,2334.1721,937908
2025-04-03,2370.6064,2521.036,2241.055,2390.4027,681196
2025-04-04,2322.4925,2433.8251,2239.1325,2349.4958,226305
2025-04-05,2266.0534,2270.8541,2263.3658,2268.1639,778834
2025-04-06,2412.417,2488.8886,2347.5436,2423.7115,933818
2025-04-07,2362.0448,2375.7139,2357.6946,2371.3465,230672
2025-04-08,2422.5455,2530.3041,2315.5676,2423.2932,575943
2025-04-09,2439.281,2450.7618,2436.3753,2447.8459,307247
2025-04-10,2467.1022,2480.3861,2448.9144,2462.1718,898572
2025-04-11,2499.6485,2534.6481,2449.7123,2484.4999,433394
2025-04-12,2443.3369,2445.3217,2441.6559,2443.6405,387050
2025-04-13,2416.0492,2425.2428,2409.9315,2419.1173,29946
2025-04-14,2414.0358,2437.5063,2384.7792,2408.193,423785
2025-04-15,2402.0174,2727.57,2117.9557,2439.1206,125499
2025-04-16,2516.0558,2590.3918,2435.2653,2509.4048,924287
2025-04-17,2509.1543,2535.5323,2480.0631,2506.4123,949670
2025-04-18,2434.4973,2493.4758,2371.0867,2429.9551,142778
2025-04-19,2512.6083,2619.4115,2384.3267,2490.1764,854606
2025-04-20,2556.1002,2566.0588,2536.4732,2546.394,501529
2025-04-21,2533.284,2618.8774,2456.3102,2541.6494,597241
2025-04-22,2447.4758,2499.0554,2398.0181,2449.5556,926636
2025-04-23,2460.9832,2464.9498,2457.8138,2461.7793,568872
2025-04-24,2488.297,2489.5409,2484.7676,2486.0103,194076
2025-04-25,2465.227,2498.7537,2402.4279,2435.551,680185
2025-04-26,2375.6824,2377.3724,2374.1195,2375.8094,515222
2025-04-27,2392.5282,2423.7087,2368.9058,2400.0124,1307395
2025-04-28,2489.1588,2506.598,2482.9367,2500.3479,99657
2025-04-29,2543.2282,2549.152,2523.8349,2529.7273,905110
2025-04-30,2543.0511,2544.1252,2542.566,2543.64,381323
2025-05-01,2630.5125,2708.0549,2548.2744,2625.6742,222101
2025-05-02,2697.3923,2708.8001,2684.8788,2696.2819,258018
2025-05-03,2711.3913,2835.1883,2632.8564,2755.3793,224140
2025-05-04,2734.1028,2816.9549,2649.4701,2732.2665,210502
2025-05-05,2733.5761,2745.1678,2730.3193,2741.9011,328004
2025-05-06,2790.4902,2802.4472,2755.8041,2767.6633,334513
2025-05-07,2795.4439,2849.8998,2753.5568,2807.8271,552677
2025-05-08,2800.9875,2860.7263,2746.8156,2806.4489,831831
2025-05-09,2844.3253,2854.8133,2825.4959,2835.953,107479
2025-05-10,2850.6416,2944.2386,2766.1241,2859.4597,594759
2025-05-11,2944.1209,2954.729,2922.351,2932.9188,406183
2025-05-12,2860.1945,2862.1046,2855.9069,2857.8154,125401
2025-05-13,2782.711,2839.9431,2767.1496,2824.1499,383398
2025-05-14,2782.0948,2809.4156,2756.6688,2783.9724,209566
2025-05-15,2801.755,2902.9653,2702.2537,2803.4053,223481
2025-05-16,2852.5316,2878.2796,2821.4071,2847.1061,568580
2025-05-17,2739.4605,2784.4225,2684.4493,2729.2436,373998
2025-05-18,2766.9853,2775.8992,2760.8228,2769.7306,799356
2025-05-19,2795.2782,2796.1034,2794.7362,2795.5613,538347
2025-05-20,2769.9965,2831.943,2746.9145,2808.5398,374982
2025-05-21,2825.7143,2846.592,2778.5135,2799.1953,609600
2025-05-22,2802.4506,2807.0602,2796.1287,2800.7355,144671
2025-05-23,2701.416,2766.1297,2631.5161,2696.1026,1129126
2025-05-24,2706.5037,2721.776,2694.6499,2709.9072,405734
2025-05-25,2665.9263,2668.9118,2663.8867,2666.8715,46774
2025-05-26,2775.3333,2777.5556,2772.0661,2774.2875,793395
2025-05-27,2687.569,2707.6079,2665.1947,2685.216,86803
2025-05-28,2678.9255,2681.4302,2676.4239,2678.9286,311342
2025-05-29,2730.6801,2764.8104,2678.3491,2712.2491,533769
2025-05-30,2737.905,2745.7496,2726.2994,2734.1331,410203
2025-05-31,2780.9428,2797.2304,2761.1148,2777.3815,499431
2025-06-01,2815.9793,2843.0042,2789.2651,2816.2871,489671
2025-06-02,2779.6153,2836.7958,2730.9777,2788.0114,895738
2025-06-03,2767.1637,2966.3459,2544.0473,2741.3731,686944
2025-06-04,2729.3522,2770.968,2675.4533,2716.8789,772420
2025-06-05,2640.9103,2715.5458,2602.6325,2676.7486,409842
2025-06-06,2685.7439,2692.2041,2679.0399,2685.4995,714005
2025-06-07,2662.6319,2769.8387,2554.1091,2661.2606,872703
2025-06-08,2640.3895,2640.5263,2636.6959,2636.8325,188898
2025-06-09,2619.2718,2625.4157,2614.8912,2621.0322,641369
2025-06-10,2617.7806,2641.5747,2598.521,2622.282,59923
2025-06-11,2691.5376,2695.8722,2687.3161,2691.6505,122563
2025-06-12,2651.3616,2803.5217,2522.2053,2673.2969,213934
2025-06-13,2701.7791,2753.7141,2667.6317,2719.3446,465048
2025-06-14,2751.0898,2796.9231,2674.735,2720.0511,748047
2025-06-15,2665.6174,2672.9035,2652.7996,2660.0705,304778
2025-06-16,2616.8104,2712.6218,2552.5419,2647.5972,471106
2025-06-17,2710.557,2748.5614,2673.2248,2711.22,471972
2025-06-18,2741.0899,2792.0189,2665.8003,2716.2681,721780
2025-06-19,2739.3224,2759.4215,2717.8711,2737.9602,36912
