date,open,high,low,close,volume
2025-01-20,207.7346,207.9676,207.5225,207.7555,503402
2025-01-21,206.0299,206.4619,205.9138,206.3456,54712
2025-01-22,198.0341,198.5143,197.7748,198.2547,378208
2025-01-23,198.6134,199.0201,197.9996,198.4059,1266587
2025-01-24,196.1062,203.1568,189.1647,196.2116,1137213
2025-01-25,203.131,204.2404,202.5264,203.6343,208550
2025-01-26,198.4674,205.0686,191.5122,198.1012,1075242
2025-01-27,198.3479,198.8974,197.4185,197.967,682481
2025-01-28,193.5828,194.6603,193.0306,194.1066,1020845
2025-01-29,191.4176,208.234,177.2025,193.8391,80699
2025-01-30,196.0001,196.3359,195.6297,195.9654,312667
2025-01-31,193.8917,195.7305,190.3992,192.2222,226243
2025-02-01,191.3344,194.3256,189.1354,192.1177,475511
2025-02-02,186.94,189.1249,185.1732,187.3542,496871
2025-02-03,188.5164,191.8503,185.3082,188.64,209953
2025-02-04,185.0726,187.4676,183.6284,186.0161,374576
2025-02-05,183.1548,191.0447,173.235,181.0334,144307
2025-02-06,185.3222,193.6396,175.579,183.8294,126299
2025-02-07,185.4762,187.2271,182.5253,184.2648,838883
2025-02-08,180.6022,189.273,172.2985,180.9531,936560
2025-02-09,181.3031,182.3561,180.4321,181.4842,791336
2025-02-10,182.2225,184.3026,181.0769,183.1511,398325
2025-02-11,176.6964,182.8599,169.6238,175.7545,522740
2025-02-12,177.3258,177.969,176.5941,177.237,550271
2025-02-13,179.2534,182.6257,175.4286,178.7923,806599
2025-02-14,177.6796,182.2771,172.566,177.1498,568296
2025-02-15,176.8194,178.1594,175.2982,176.6368,488594
2025-02-16,173.3455,177.5536,170.4316,174.6183,478886
2025-02-17,174.1937,177.9901,170.8819,174.6692,62175
2025-02-18,174.6661,175.1346,174.3578,174.8261,559188
2025-02-19,170.7713,171.0004,170.6502,170.8793,601242
2025-02-20,176.4495,177.2679,175.4384,176.2559,330230
2025-02-21,179.3768,193.4937,167.1852,181.1795,317993
2025-02-22,186.6983,190.241,183.1036,186.6453,543311
2025-02-23,189.311,192.8658,184.9214,188.4602,926094
2025-02-24,181.1847,181.4353,180.9614,181.212,677945
2025-02-25,179.1245,186.7017,169.9067,177.4114,480223
2025-02-26,180.3594,181.6435,179.8914,181.1734,279828
2025-02-27,177.927,178.1687,177.7935,178.0351,420430
2025-02-28,177.6535,178.0048,177.424,177.7752,111190
2025-03-01,174.3861,174.5122,172.8815,173.0065,659388
2025-03-02,168.6825,171.9071,165.9733,169.1898,546230
2025-03-03,170.9708,173.5289,168.2528,170.8085,608225
2025-03-04,181.677,182.0744,181.4709,181.8682,108561
2025-03-05,177.7496,180.2371,176.4666,178.9455,265616
2025-03-06,177.0773,177.6149,176.6311,177.1684,1153351
2025-03-07,177.4856,179.7109,174.5003,176.7159,684521
2025-03-08,176.5199,179.0407,175.2169,177.7287,25901
2025-03-09,184.656,185.2233,184.1748,184.7419,388090
2025-03-10,184.159,187.6897,180.7517,184.2802,549727
2025-03-11,181.5522,181.5922,181.4681,181.508,220579
2025-03-12,180.4453,186.6916,176.2316,182.4315,225381
2025-03-13,177.4192,178.2414,175.5104,176.3275,203508
2025-03-14,181.7135,185.3694,177.3258,180.9667,408973
2025-03-15,180.6736,181.2508,179.6348,180.2104,833373
2025-03-16,174.1812,181.7228,166.8859,174.4177,617103
2025-03-17,176.0604,179.9486,170.6899,174.5446,27410
2025-03-18,169.3951,171.448,167.8234,169.872,203588
2025-03-19,172.5166,186.506,157.1047,170.9686,256284
2025-03-20,169.6723,175.3587,163.8153,169.4959,293968
2025-03-21,168.9734,170.7347,167.1301,168.8905,529397
2025-03-22,175.3919,177.2936,172.674,174.5667,605601
2025-03-23,168.3244,168.3779,168.2371,168.2906,506759
2025-03-24,171.5207,172.5011,170.5567,171.537,268479
2025-03-25,167.1916,167.4332,166.9476,167.1891,375195
2025-03-26,169.1064,171.4691,167.3176,169.6743,85433
2025-03-27,168.083,172.6436,164.2051,168.7502,278911
2025-03-28,167.374,168.1679,165.1263,165.9133,365367
2025-03-29,161.5127,163.8634,159.793,162.1371,787136
2025-03-30,149.1551,152.2043,148.2155,151.2515,308797
2025-03-31,156.8831,157.0865,156.739,156.9423,207368
2025-04-01,149.4634,156.7755,143.8887,151.1382,721832
2025-04-02,149.1163,151.2795,146.4329,148.5884,384613
2025-04-03,150.5353,150.8535,149.3736,149.6901,595287
2025-04-04,146.6164,146.6716,146.5621,146.6173,175190
2025-04-05,145.3626,146.2679,143.3934,144.292,507889
2025-04-06,146.144,146.5958,145.5157,145.9669,1079927
2025-04-07,154.4688,157.4538,150.2502,153.2109,206985
2025-04-08,152.9886,154.8376,149.9346,151.7688,120505
2025-04-09,151.4578,156.3235,145.9527,150.7972,348265
2025-04-10,145.4626,149.8689,142.515,146.8923,475675
2025-04-11,149.5823,149.6316,149.5428,149.5921,1067016
2025-04-12,148.9543,149.8781,146.6426,147.5577,661846
2025-04-13,151.7829,153.2334,149.5151,150.9578,435316
2025-04-14,152.3533,153.014,151.4914,152.1512,39356
2025-04-15,154.1779,157.5668,150.767,154.1554,276124
2025-04-16,150.8684,153.1197,149.4207,151.6644,207693
2025-04-17,153.6215,158.0879,148.708,153.1611,167979
2025-04-18,152.2609,158.6625,148.0437,154.3864,457522
2025-04-19,153.4578,154.1669,152.4158,153.1234,1049575
2025-04-20,157.7492,163.206,151.5567,156.9871,858675
2025-04-21,159.4404,163.0382,155.0618,158.6416,1080321
2025-04-22,161.0035,161.9215,160.1395,161.0571,227855
2025-04-23,155.6717,172.9709,142.3775,159.3615,90516
2025-04-24,160.7565,162.4561,158.3025,159.994,515019
2025-04-25,164.5809,166.4302,162.0765,163.9184,1095437
2025-04-26,163.597,165.8682,161.9347,164.1998,129560
2025-04-27,166.3961,166.5712,166.0949,166.2699,228609
2025-04-28,166.8365,171.2887,163.0512,167.4886,95577
2025-04-29,167.2628,170.8518,163.2561,166.836,42860
2025-04-30,167.3836,168.1355,166.3141,167.0646,468393
2025-05-01,168.281,170.7653,166.6294,169.1057,359305
2025-05-02,167.7427,169.4687,166.5993,168.3214,106552
2025-05-03,172.7634,173.8406,171.7153,172.7923,547657
2025-05-04,167.9721,169.9225,165.2302,167.1713,966572
2025-05-05,159.2681,160.6244,158.32,159.6739,306739
2025-05-06,161.2919,165.7282,155.4403,159.8365,1229699
2025-05-07,162.2566,166.2499,156.6587,160.6116,826667
2025-05-08,156.5949,159.1459,155.9196,158.4626,1140018
2025-05-09,154.3625,160.0881,151.0156,156.6907,1021254
2025-05-10,157.1435,158.3585,155.2652,156.475,45639
2025-05-11,153.537,154.6622,152.1151,153.2381,328727
2025-05-12,155.3957,155.62,155.1368,155.361,221372
2025-05-13,156.4526,156.6284,156.0067,156.1822,196102
2025-05-14,154.1294,155.4856,151.7965,153.144,687355
2025-05-15,152.2511,153.2275,150.9482,151.9225,218080
2025-05-16,154.8709,157.2489,153.2488,155.6189,251912
2025-05-17,159.1101,160.8172,156.9682,158.6705,361495
2025-05-18,162.9122,163.5968,162.0637,162.7476,114982
2025-05-19,154.1004,156.929,151.491,154.316,414069
2025-05-20,150.962,156.8061,146.8744,152.6723,40598
2025-05-21,148.9948,149.2893,148.5248,148.8189,343468
2025-05-22,146.6239,148.2846,143.9892,145.6388,462092
2025-05-23,143.4012,146.911,139.3166,142.812,304713
2025-05-24,139.9903,140.7836,138.727,139.5177,339045
2025-05-25,134.9046,135.0979,134.7532,134.9465,819475
2025-05-26,135.9293,136.1033,135.756,135.93,860979
2025-05-27,132.7474,133.2875,131.0774,131.6129,9033
2025-05-28,124.836,125.757,124.0051,124.9255,40244
2025-05-29,131.54,133.5301,129.047,131.0294,14892
2025-05-30,130.5694,132.1399,128.7853,130.3532,516808
2025-05-31,131.2156,135.1311,127.1298,131.0401,264299
2025-06-01,128.6376,128.6523,128.6149,128.6295,256423
