date,open,high,low,close,volume
2025-01-20,1341.9085,1352.3676,1330.2199,1340.6693,288018
2025-01-21,1365.6888,1400.1014,1335.9115,1370.2252,1121022
2025-01-22,1401.097,1419.3131,1382.1335,1400.3398,1062445
2025-01-23,1408.5781,1410.9539,1405.2187,1407.5928,1291424
2025-01-24,1455.1391,1464.091,1440.391,1449.3071,732648
2025-01-25,1414.1565,1417.869,1407.8383,1411.5439,605094
2025-01-26,1430.9937,1435.0085,1421.3402,1425.3391,38979
2025-01-27,1470.9093,1485.7367,1452.4487,1467.239,133678
2025-01-28,1517.7052,1532.9194,1510.6614,1525.8379,1145357
2025-01-29,1526.3868,1530.7326,1524.5772,1528.92,903276
2025-01-30,1504.7326,1515.5078,1491.5554,1502.3133,194418
2025-01-31,1495.4341,1517.4967,1474.1614,1496.213,378612
2025-02-01,1488.58,1508.4888,1465.4217,1485.2865,1102372
2025-02-02,1495.6164,1589.7167,1404.1557,1498.1039,446568
2025-02-03,1495.9621,1497.2227,1492.7783,1494.0372,733379
2025-02-04,1512.765,1519.6218,1508.3324,1515.1821,185396
2025-02-05,1548.0389,1550.7207,1545.5952,1548.2766,35015
2025-02-06,1541.839,1545.8428,1539.5731,1543.5744,417802
2025-02-07,1547.3208,1551.5873,1543.3504,1547.6161,770164
2025-02-08,1539.5965,1555.5237,1532.4755,1548.3621,970293
2025-02-09,1526.1575,1550.25,1501.1895,1525.268,64706
2025-02-10,1548.0089,1579.9487,1507.7341,1539.4982,1024762
2025-02-11,1498.0084,1510.4166,1481.756,1494.1321,848305
2025-02-12,1488.5561,1522.6652,1450.2047,1484.2143,63992
2025-02-13,1466.924,1467.4118,1466.8841,1467.3719,176894
2025-02-14,1481.3937,1521.1534,1435.7768,1475.375,66555
2025-02-15,1471.7226,1478.0435,1470.2929,1476.6091,583760
2025-02-16,1503.7121,1504.2321,1502.743,1503.2629,222713
2025-02-17,1523.7358,1532.7166,1518.5175,1527.4855,590511
2025-02-18,1563.9757,1570.0552,1558.5128,1564.5902,380371
2025-02-19,1564.2212,1579.3875,1562.8786,1578.033,504545
2025-02-20,1533.5884,1551.7096,1513.8172,1531.9186,339602
2025-02-21,1539.7934,1542.2175,1536.4529,1538.8756,803579
2025-02-22,1519.8911,1545.8359,1492.1012,1518.0139,332924
2025-02-23,1550.9144,1635.1778,1470.2156,1554.3026,655417
2025-02-24,1541.6887,1542.5631,1540.7359,1541.6102,751744
2025-02-25,1526.342,1526.5575,1526.2443,1526.4598,1287069
2025-02-26,1538.2299,1590.6771,1485.7936,1538.2404,891881
2025-02-27,1520.3329,1529.9784,1509.8517,1519.4918,817492
2025-02-28,1486.6017,1516.4728,1456.3737,1486.2375,425852
2025-03-01,1484.5521,1557.1717,1411.5524,1484.1524,426365
2025-03-02,1456.086,1462.8484,1446.4447,1453.1936,13272
2025-03-03,1460.4018,1470.662,1458.2769,1468.5252,454717
2025-03-04,1469.8278,1478.7834,1458.7439,1467.6865,791583
2025-03-05,1483.086,1498.3566,1471.7767,1487.0173,626914
2025-03-06,1441.3128,1441.4211,1441.3084,1441.4168,100504
2025-03-07,1463.1493,1498.5708,1425.5529,1460.9205,552389
2025-03-08,1474.5564,1479.1507,1464.9681,1469.5467,800230
2025-03-09,1532.7496,1534.7177,1528.0784,1530.043,97430
2025-03-10,1473.1949,1485.093,1464.037,1475.9181,25816
2025-03-11,1459.9666,1469.3095,1453.4239,1462.7543,601753
2025-03-12,1412.3365,1422.6343,1410.903,1421.1918,999088
2025-03-13,1467.9338,1563.6755,1367.0655,1462.4496,312325
2025-03-14,1450.7558,1451.428,1450.2543,1450.9264,574149
2025-03-15,1439.8116,1454.4966,1433.4371,1448.0854,32773
2025-03-16,1411.0981,1423.9207,1395.4005,1408.1967,1064963
2025-03-17,1479.2337,1483.388,1458.0481,1462.1544,1290839
