date,open,high,low,close,volume
2025-01-20,52.2344,54.7954,49.3886,51.9349,317866
2025-01-21,51.4323,51.5656,51.1427,51.2757,499863
2025-01-22,51.6625,51.7764,51.5662,51.6801,132732
2025-01-23,50.524,51.93,49.4658,50.8647,655372
2025-01-24,53.0036,54.4719,51.1888,52.6472,558355
2025-01-25,53.8351,54.6265,52.4972,53.2806,684266
2025-01-26,52.8339,53.5787,51.2847,52.0179,284769
2025-01-27,51.7208,52.3709,51.5259,52.1742,217066
2025-01-28,53.1776,53.2973,53.0983,53.218,397785
2025-01-29,51.2487,52.8819,50.5033,52.1238,432021
2025-01-30,54.0283,54.6646,53.4487,54.0844,223630
2025-01-31,58.5515,58.6014,58.1222,58.1718,152141
2025-02-01,58.6254,58.9546,58.4316,58.7603,430018
2025-02-02,58.0309,59.6115,57.1141,58.6844,416652
2025-02-03,58.1246,59.564,56.8883,58.3235,578095
2025-02-04,57.5115,57.6968,57.1759,57.3607,172085
2025-02-05,58.7048,59.1278,58.4469,58.8692,53259
2025-02-06,58.7124,60.4756,55.9245,57.656,1063404
2025-02-07,58.4414,60.6021,55.9048,58.051,530778
2025-02-08,58.3979,59.4103,57.5864,58.5962,308489
2025-02-09,58.8241,59.0841,58.5667,58.8267,397450
2025-02-10,57.3902,58.5514,56.4753,57.6327,558513
2025-02-11,58.46,58.549,58.2111,58.2998,424968
2025-02-12,59.9133,63.974,55.0848,59.0897,411298
2025-02-13,60.39,61.0605,59.7927,60.4624,61284
2025-02-14,59.935,59.9498,59.8769,59.8917,871923
2025-02-15,60.2614,60.3112,60.2225,60.2723,758545
2025-02-16,58.224,58.2619,58.1942,58.2321,807989
2025-02-17,56.6621,58.1473,55.5798,57.0574,283995
2025-02-18,58.0029,58.7039,56.9702,57.6671,930607
2025-02-19,58.0606,58.6384,57.3753,57.952,739234
2025-02-20,59.0281,59.2445,58.3847,58.5996,575821
2025-02-21,58.8673,59.1992,58.5943,58.9259,594796
2025-02-22,59.3107,59.6335,59.0394,59.362,842926
2025-02-23,58.5112,58.6917,58.0076,58.187,1138449
2025-02-24,57.7271,61.5393,54.6353,58.4108,810880
2025-02-25,58.0648,59.432,56.1392,57.493,1271828
2025-02-26,56.8887,59.1436,55.0508,57.2927,221234
2025-02-27,58.6638,59.2615,58.4775,59.0739,1406511
2025-02-28,57.1206,57.2945,56.9242,57.098,527337
2025-03-01,55.5629,56.3984,54.8846,55.7182,335854
2025-03-02,54.8662,55.799,54.1268,55.057,286291
2025-03-03,54.7098,55.5553,54.1904,55.0329,1156957
2025-03-04,55.1026,55.3404,54.7086,54.9458,929435
2025-03-05,55.5707,56.793,54.4711,55.6911,337047
2025-03-06,55.5251,55.5916,55.4843,55.5508,626555
2025-03-07,55.8198,56.4322,54.6691,55.2756,730290
2025-03-08,57.5084,57.838,57.2959,57.6251,978656
2025-03-09,56.2883,57.2342,55.9862,56.9287,91149
2025-03-10,55.8481,56.0939,55.5487,55.7942,233267
2025-03-11,55.7261,55.9665,55.4809,55.7212,455078
2025-03-12,57.5417,57.6884,57.4794,57.626,1186309
2025-03-13,57.2829,57.7275,56.8468,57.2913,1114289
2025-03-14,56.4079,57.5351,54.4318,55.5416,397801
2025-03-15,54.888,55.0689,54.7009,54.8818,577869
2025-03-16,57.147,57.2783,56.8157,56.9465,773580
2025-03-17,55.5146,56.5937,54.242,55.3172,25728
2025-03-18,56.6388,57.1716,55.5082,56.0353,45685
2025-03-19,55.7663,56.9383,54.5503,55.7213,775554
2025-03-20,57.9998,58.1196,57.4601,57.579,170408
2025-03-21,56.6235,57.4261,56.2647,57.0645,75131
2025-03-22,58.1195,58.2746,57.6584,57.8127,385171
2025-03-23,57.3105,59.4891,54.7775,56.9421,524378
2025-03-24,55.463,58.6698,52.7789,55.9615,289018
2025-03-25,55.9985,56.4386,55.7615,56.2008,321876
2025-03-26,56.6465,57.351,56.2341,56.9365,111400
2025-03-27,55.4089,55.4863,55.2152,55.2925,259349
2025-03-28,55.1516,56.0568,54.5631,55.465,1069864
2025-03-29,54.2556,54.5555,54.0613,54.3608,645034
2025-03-30,54.4782,55.2786,53.6724,54.4727,764569
2025-03-31,54.5543,58.3983,51.2384,55.0522,39487
2025-04-01,55.737,56.3514,54.9403,55.5527,634478
2025-04-02,55.9266,57.3305,54.5972,55.9994,84935
2025-04-03,55.641,56.3521,54.9964,55.7068,826062
2025-04-04,55.8056,56.0234,54.5748,54.7887,374131
2025-04-05,53.6338,57.0671,50.9442,54.342,26414
2025-04-06,53.9509,54.2736,53.5819,53.9042,1389439
2025-04-07,52.855,55.9975,49.4548,52.581,424291
