date,open,high,low,close,volume
2025-01-20,92.465,92.4938,92.4344,92.4632,1290673
2025-01-21,93.2906,93.4294,93.2728,93.4115,58985
2025-01-22,92.735,93.0457,92.53,92.8404,310514
2025-01-23,91.1985,92.5255,89.6502,90.9739,738324
2025-01-24,92.6154,93.0281,91.9668,92.3784,546048
2025-01-25,90.9527,93.3143,88.0218,90.3683,666856
2025-01-26,90.222,92.3851,87.9243,90.084,1361162
2025-01-27,89.6735,91.7331,87.7486,89.8054,684903
2025-01-28,91.0288,91.0422,91.0215,91.0349,572113
2025-01-29,93.6631,94.111,92.8816,93.3279,378445
2025-01-30,94.4994,95.4013,93.2601,94.1587,466717
2025-01-31,92.7499,96.6041,89.9308,93.7545,449883
2025-02-01,94.6824,95.1261,93.9455,94.3877,1208465
2025-02-02,95.5663,96.8803,94.6783,95.9883,970667
2025-02-03,94.9155,95.1249,94.758,94.9673,23327
2025-02-04,97.8597,98.2916,97.6318,98.0632,153667
2025-02-05,96.2945,97.8845,94.5096,96.0964,1022425
2025-02-06,98.8852,99.6138,98.2035,98.9318,365784
2025-02-07,97.0116,99.1729,95.3867,97.5392,255405
2025-02-08,99.064,101.6882,95.8876,98.4967,293376
2025-02-09,99.6862,106.7687,93.6364,100.6599,437074
2025-02-10,99.8092,100.8091,98.3695,99.365,1257864
2025-02-11,101.8471,105.7261,97.3987,101.2551,282201
2025-02-12,102.0676,102.5287,101.5427,102.0036,616807
2025-02-13,101.4312,102.0701,100.6403,101.2782,137326
2025-02-14,101.2134,101.5926,100.6498,101.0282,543192
2025-02-15,102.1031,104.1915,100.7242,102.8031,412299
2025-02-16,102.9397,106.3486,99.9027,103.3009,459379
2025-02-17,99.4384,100.1067,98.4295,99.0955,995870
2025-02-18,100.0303,105.6762,94.3054,99.9466,1221825
2025-02-19,100.2013,101.8824,98.1097,99.7838,828349
2025-02-20,101.1132,102.7396,99.1762,100.7975,306977
2025-02-21,103.2992,104.791,102.5819,104.0684,130612
2025-02-22,107.8848,114.6809,100.1801,106.9151,591621
2025-02-23,105.0566,105.3921,104.5375,104.8725,862450
2025-02-24,104.4703,105.8221,103.4036,104.7526,103381
2025-02-25,102.2244,103.8715,102.0567,103.7014,204345
2025-02-26,102.9743,104.2639,101.962,103.2489,34218
2025-02-27,102.3073,105.7249,99.9384,103.3323,1022627
2025-02-28,102.2138,105.0643,99.7369,102.5785,659310
2025-03-01,102.2014,102.3416,102.196,102.3362,439151
2025-03-02,102.0026,102.1713,101.7017,101.8701,514877
2025-03-03,102.9329,108.9749,96.1239,102.1181,462651
2025-03-04,101.5969,102.0819,101.2484,101.7329,326413
2025-03-05,104.4701,112.7999,94.8336,103.0501,592783
2025-03-06,102.387,103.3934,101.8755,102.8794,61804
2025-03-07,100.7535,101.8603,99.492,100.5971,167211
2025-03-08,102.3648,102.8618,101.2653,101.7593,1214093
2025-03-09,100.7152,100.8108,100.6866,100.7821,912686
2025-03-10,100.8305,102.0304,98.6995,99.8882,722037
2025-03-11,98.1712,101.4327,95.9715,99.2097,346894
2025-03-12,99.2205,100.1357,98.4484,99.3625,972304
2025-03-13,101.7436,104.4076,99.8792,102.5289,212877
2025-03-14,103.0857,106.4592,99.0447,102.3956,517041
2025-03-15,105.6052,105.7121,105.4874,105.5943,928431
2025-03-16,106.7986,106.8116,106.5807,106.5937,45161
2025-03-17,105.8948,110.358,101.8568,106.3044,264531
2025-03-18,107.7974,108.4457,107.3794,108.0268,1019457
2025-03-19,109.7993,110.3659,109.5646,110.1305,510139
2025-03-20,113.0139,113.4611,112.5931,113.0402,956080
2025-03-21,112.7621,116.7915,107.8998,111.8983,209886
2025-03-22,113.5998,114.0358,113.0528,113.4884,156864
2025-03-23,117.8551,119.1868,116.7241,118.0538,750224
2025-03-24,122.5328,125.5992,118.6741,121.7202,852925
2025-03-25,118.9882,119.1115,118.9006,119.0239,363982
2025-03-26,119.1741,119.8294,118.5897,119.2446,693739
2025-03-27,119.6996,119.9286,119.6769,119.9059,467247
2025-03-28,120.9942,121.9469,119.1622,120.1079,227548
2025-03-29,117.9452,118.446,117.539,118.0395,570131
2025-03-30,117.658,119.9491,115.3475,117.6382,98884
2025-03-31,115.987,116.2854,115.7383,116.0366,383613
2025-04-01,116.6059,116.8014,116.5273,116.7227,597155
2025-04-02,122.2658,122.9882,121.5848,122.3069,849016
2025-04-03,120.8708,121.8335,120.1005,121.062,1356240
2025-04-04,118.845,119.1126,118.09,118.3565,607484
2025-04-05,119.3283,119.5657,119.02,119.2572,103612
2025-04-06,115.6607,117.8167,114.0447,116.1933,579137
2025-04-07,113.8911,114.6231,113.0577,113.7891,431513
2025-04-08,115.1113,115.1856,114.8918,114.966,806430
2025-04-09,119.4649,121.0358,116.8986,118.4562,676404
2025-04-10,121.2794,122.0627,120.6501,121.4327,45809
2025-04-11,123.5711,124.9135,122.0851,123.426,827200
2025-04-12,126.9627,127.269,126.8033,127.1095,572302
2025-04-13,127.7842,127.8348,127.2136,127.264,271948
2025-04-14,126.7926,128.2066,125.616,127.0278,565918
2025-04-15,129.4481,133.4065,124.2503,128.1697,942731
2025-04-16,127.7506,127.9644,127.4078,127.6214,403089
2025-04-17,128.1697,128.651,127.8252,128.3061,784364
2025-04-18,124.6466,127.7704,122.2353,125.3456,435149
2025-04-19,129.6088,131.828,127.7427,129.9569,625522
2025-04-20,126.1996,126.5381,125.7986,126.1369,337898
2025-04-21,131.4568,140.3816,123.5044,132.3738,1101121
2025-04-22,130.9615,132.4991,129.9218,131.4555,107703
2025-04-23,130.5726,131.2415,129.4628,130.1295,1072037
2025-04-24,135.4969,139.4264,130.4077,134.3026,353497
2025-04-25,132.869,132.9293,132.8324,132.8927,62624
2025-04-26,128.6964,130.6306,127.469,129.3966,427872
2025-04-27,129.8386,130.4708,128.9737,129.6047,280410
2025-04-28,133.2609,136.7159,130.1557,133.6027,367821
2025-04-29,130.9711,133.7161,129.8607,132.592,1052249
2025-04-30,131.1532,133.9624,127.873,130.6719,370966
2025-05-01,130.2361,131.5895,128.2969,129.6442,256661
2025-05-02,126.9448,127.0613,126.0595,126.1752,631746
2025-05-03,127.3412,127.571,127.2156,127.4453,1054470
2025-05-04,127.9517,130.6563,125.3067,128.01,490596
2025-05-05,119.4387,120.1272,118.6913,119.3795,513261
2025-05-06,120.5169,120.8881,120.0939,120.4649,156567
2025-05-07,118.8692,118.9012,118.8407,118.8727,131157
2025-05-08,121.2572,122.4501,119.595,120.7832,596138
2025-05-09,120.4172,122.3562,119.0727,121.0051,705987
2025-05-10,127.0891,131.3975,123.5743,127.8613,516837
2025-05-11,129.0743,129.2216,129.0616,129.2088,663402
2025-05-12,129.4213,129.8627,129.3159,129.757,694265
2025-05-13,128.8204,138.7097,117.9262,127.7319,557845
2025-05-14,128.4443,129.881,126.6739,128.1068,339412
2025-05-15,126.859,127.1515,126.2381,126.5298,431170
2025-05-16,126.143,126.361,125.6678,125.8854,1299036
2025-05-17,126.3699,129.5949,122.3263,125.5299,55736
2025-05-18,121.4672,122.7777,120.1122,121.4222,189774
2025-05-19,118.4349,120.0747,117.7322,119.3664,502561
2025-05-20,122.5687,123.9008,121.7001,123.029,596372
2025-05-21,118.269,119.305,117.7168,118.7506,1093569
2025-05-22,114.9046,117.199,113.4173,115.7014,996630
2025-05-23,109.6207,112.2653,107.8468,110.4775,142340
2025-05-24,108.6534,108.8915,108.5075,108.7454,633300
2025-05-25,109.9679,111.1043,108.3602,109.4917,598625
2025-05-26,106.5719,107.7696,105.7291,106.924,785385
2025-05-27,106.8921,107.9163,105.3728,106.3922,106811
2025-05-28,107.0338,107.8435,105.5343,106.3387,855722
2025-05-29,103.3099,103.7111,102.9053,103.3066,925272
2025-05-30,101.9096,102.7707,100.018,100.8703,487158
2025-05-31,103.7088,103.9637,103.3904,103.6452,551757
2025-06-01,101.6533,102.289,101.4198,102.0546,977091
2025-06-02,101.7729,103.1679,99.7521,101.1383,1108360
2025-06-03,99.6581,100.0454,99.3667,99.7538,1227271
2025-06-04,101.5489,102.4492,99.9342,100.8281,1076977
2025-06-05,101.6593,101.9986,101.4527,101.7917,35607
2025-06-06,100.8778,101.8336,100.1588,101.1129,518382
2025-06-07,101.9482,103.2383,100.9023,102.1899,1338935
2025-06-08,99.3929,101.3547,97.7796,99.7357,279271
2025-06-09,100.0002,102.5395,98.1353,100.6622,591266
2025-06-10,96.6819,98.1866,95.4939,96.9948,195582
2025-06-11,98.4774,100.2585,95.9953,97.7634,779988
2025-06-12,98.3118,98.9958,97.7546,98.4379,352026
2025-06-13,96.5522,96.691,96.5236,96.6624,284507
2025-06-14,96.6854,96.8212,96.5657,96.7015,1290627
2025-06-15,94.4321,94.5296,94.3619,94.4594,103574
2025-06-16,94.0246,94.0525,94.0179,94.0458,151399
2025-06-17,96.0426,97.2461,95.0625,96.2637,1080707
2025-06-18,96.2206,96.3593,96.0493,96.1879,495987
2025-06-19,97.6876,97.8426,96.9144,97.0684,161521
2025-06-20,97.3824,97.5917,97.0263,97.2352,88224
2025-06-21,97.79,97.878,97.4656,97.5533,183649
2025-06-22,97.3866,98.67,95.9087,97.1895,516338
2025-06-23,97.8415,98.2201,97.3941,97.7724,623286
2025-06-24,95.2479,96.2951,94.5403,95.5851,145222
2025-06-25,95.9764,96.3197,95.5691,95.9122,305441
2025-06-26,96.6387,96.9167,96.2474,96.5251,346704
2025-06-27,99.8716,102.4411,98.3575,100.9112,870700
2025-06-28,99.0605,100.0365,98.3321,99.3063,489625
2025-06-29,102.7517,103.7939,101.8301,102.8712,739510
2025-06-30,101.6299,102.4209,101.4971,102.2873,662818
2025-07-01,104.77,104.9562,104.3648,104.5507,412896
2025-07-02,103.5885,104.3229,103.1232,103.8563,329642
2025-07-03,102.7176,104.8413,101.2857,103.3999,301487
2025-07-04,100.5506,101.1526,99.6677,100.2681,564728
2025-07-05,102.1079,102.2841,101.0112,101.1858,601749
2025-07-06,102.2079,103.6851,100.258,101.7282,709783
2025-07-07,102.913,104.6832,100.9732,102.7404,558380
2025-07-08,101.43,101.5705,101.2634,101.4038,295714
2025-07-09,99.655,101.3511,98.1396,99.8329,1155958
2025-07-10,100.167,100.9283,99.4794,100.2402,278959
2025-07-11,101.624,105.2303,98.2053,101.8055,50263
2025-07-12,99.1617,109.8297,89.5838,100.1558,403638
2025-07-13,99.8319,100.2127,99.549,99.9296,391105
2025-07-14,100.0682,100.3648,99.8161,100.1126,9058
2025-07-15,100.7938,100.8208,100.776,100.803,319364
2025-07-16,100.387,103.2538,98.2432,101.095,510831
2025-07-17,98.0744,98.6595,97.8247,98.4089,56048
2025-07-18,99.3989,101.7747,97.4259,99.7939,18716
2025-07-19,97.2225,98.018,96.5093,97.3042,953902
2025-07-20,96.4698,96.9231,96.198,96.6508,1113944
2025-07-21,95.6909,96.7352,94.8559,95.8984,664349
2025-07-22,95.2721,95.5363,94.6903,94.9537,143273
2025-07-23,93.9772,94.0561,93.6354,93.7141,547813
2025-07-24,92.1627,92.7709,91.6821,92.2896,500679
2025-07-25,93.0755,93.213,93.0064,93.1439,238302
2025-07-26,93.96,96.9822,90.6428,93.6551,825523
2025-07-27,97.5111,97.9417,97.3449,97.7751,147812
2025-07-28,101.8893,104.0755,98.5912,100.7531,505425
2025-07-29,102.5344,103.3714,102.2112,103.0466,33247
2025-07-30,102.2643,102.4759,102.0009,102.2124,57170
