date,open,high,low,close,volume
2025-01-20,216.857,220.787,212.8323,216.7605,511750
2025-01-21,217.3218,217.5163,217.1876,217.3821,139627
2025-01-22,222.4388,223.481,219.9673,221.0027,1316534
2025-01-23,227.6182,230.8814,224.1031,227.3627,491439
2025-01-24,240.6805,245.1732,233.8984,238.3476,444572
2025-01-25,229.8071,230.7275,228.9005,229.8209,854453
2025-01-26,230.1548,234.1304,225.4831,229.4465,366462
2025-01-27,224.9804,224.9877,224.8242,224.8315,257330
2025-01-28,226.9128,228.7131,223.1434,224.9279,103075
2025-01-29,228.9948,236.0723,222.623,229.6814,264906
2025-01-30,225.2061,225.3378,224.5782,224.7096,664014
2025-01-31,231.3216,234.5537,229.7945,233.0155,667346
2025-02-01,234.6793,236.8964,232.644,234.8596,384348
2025-02-02,234.9869,236.3,233.1792,234.4895,124561
2025-02-03,236.5776,239.9199,232.6185,235.9521,718823
2025-02-04,236.2658,239.2125,234.5968,237.5345,368574
2025-02-05,245.264,247.9965,243.5348,246.2603,38596
2025-02-06,239.2774,243.3108,236.3048,240.3252,1103294
2025-02-07,247.0262,260.6626,231.6568,245.1919,578041
2025-02-08,237.0592,245.662,228.9033,237.4913,1077801
2025-02-09,242.5309,243.4761,241.5221,242.467,1107535
2025-02-10,242.9155,244.2126,239.8469,241.1345,195094
2025-02-11,241.6099,241.9791,241.3284,241.6974,73787
2025-02-12,240.61,241.3547,238.6832,239.4242,508232
2025-02-13,234.0293,235.4744,233.2453,234.6882,243449
2025-02-14,235.6359,241.4454,231.9238,237.7008,866272
2025-02-15,247.2093,248.2141,245.3189,246.3201,513078
2025-02-16,237.6457,248.2646,226.521,237.1162,908540
2025-02-17,241.8906,243.1491,239.0209,240.271,96600
2025-02-18,238.5775,239.248,237.7074,238.3773,95184
2025-02-19,241.1288,243.5829,237.5746,240.0174,717223
2025-02-20,240.1619,242.0988,239.0478,240.981,208840
2025-02-21,232.5558,237.9029,227.5644,232.904,497357
2025-02-22,229.2346,238.2845,217.7199,226.6686,787514
2025-02-23,227.9391,233.8479,223.8452,229.722,295144
2025-02-24,233.1877,237.4002,228.2656,232.465,1078362
2025-02-25,229.1819,237.7168,221.509,230.016,11831
2025-02-26,227.2373,229.7793,226.2436,228.7788,540293
2025-02-27,225.1825,226.104,224.1473,225.0684,1369283
2025-02-28,231.8745,231.8853,231.8738,231.8845,727064
2025-03-01,231.4723,231.4729,231.4706,231.4712,237541
2025-03-02,223.924,229.5059,219.7669,225.3228,44162
2025-03-03,224.9714,225.1126,224.8519,224.9931,804532
2025-03-04,222.6852,222.8629,221.3203,221.4971,266774
2025-03-05,226.2514,228.9973,223.7466,226.4898,86644
2025-03-06,230.5268,237.2647,223.5618,230.2928,312466
2025-03-07,229.8754,231.4085,228.9397,230.4704,483471
2025-03-08,231.086,234.1486,225.4085,228.4359,243774
2025-03-09,231.3628,232.754,227.2414,228.6161,561601
2025-03-10,231.3231,231.3507,231.2823,231.3099,70279
2025-03-11,233.6111,235.4786,231.0489,232.9108,1355327
2025-03-12,238.8925,239.9845,236.4377,237.5234,377961
2025-03-13,237.4795,241.3184,235.3307,239.1545,303674
2025-03-14,240.5539,243.693,238.1876,241.3192,1044355
2025-03-15,241.9081,249.7414,235.829,243.6193,560873
2025-03-16,239.1844,240.2027,237.9173,238.9345,234349
2025-03-17,246.3638,248.5384,244.1259,246.2999,518777
2025-03-18,264.2153,265.6194,259.7725,261.1604,237414
2025-03-19,248.4346,255.1079,243.1177,249.7626,266242
2025-03-20,247.2688,248.5495,246.9503,248.2297,694114
2025-03-21,245.1907,249.4081,240.2139,244.4179,98099
2025-03-22,248.0679,257.0453,238.048,246.9863,909619
2025-03-23,256.5163,256.871,256.1686,256.5233,1056675
2025-03-24,258.947,265.5763,252.8111,259.429,120894
2025-03-25,261.6315,263.919,258.4388,260.7183,1290621
2025-03-26,263.956,264.5926,262.9984,263.6343,360961
2025-03-27,265.0334,266.6004,262.5731,264.1348,187644
2025-03-28,258.6271,259.4169,257.7611,258.5506,799471
2025-03-29,259.1018,262.904,255.8562,259.6516,238833
2025-03-30,260.7998,262.8553,257.181,259.2241,284058
2025-03-31,263.1927,263.2974,262.9911,263.0958,473988
2025-04-01,266.874,266.998,266.7674,266.8914,844049
2025-04-02,257.3177,259.7374,255.7697,258.1843,1016026
2025-04-03,257.4962,259.6668,254.6282,256.7928,69534
2025-04-04,257.7514,258.2013,257.1978,257.6476,642322
2025-04-05,251.7509,253.6141,249.7081,251.57,1070542
2025-04-06,254.3846,256.2234,252.4141,254.2519,994349
2025-04-07,255.5775,268.4581,244.814,257.609,517696
2025-04-08,256.7867,258.8694,255.0007,257.0813,676147
2025-04-09,260.5604,271.2343,249.7542,260.4225,268785
2025-04-10,254.9536,269.8543,241.5666,256.3918,501716
2025-04-11,258.1104,258.5303,257.973,258.3927,484431
2025-04-12,258.5822,258.9831,258.4799,258.8806,654127
2025-04-13,257.3349,264.8681,248.8855,256.391,665890
2025-04-14,256.3792,267.1279,247.728,258.4082,1063915
2025-04-15,255.5657,268.2162,238.5457,250.9686,734295
2025-04-16,251.2017,257.8262,243.1767,249.7633,691931
2025-04-17,245.8719,246.5921,245.1109,245.831,328295
2025-04-18,241.6922,242.4442,240.4226,241.173,264796
2025-04-19,234.1907,236.2149,233.3304,235.3503,202515
2025-04-20,230.1139,232.8116,228.7899,231.4798,544655
2025-04-21,226.4489,226.9675,225.6155,226.1333,1108320
2025-04-22,230.646,232.802,228.8317,230.985,1069447
2025-04-23,233.3513,234.1545,230.6193,231.4159,274800
2025-04-24,232.2467,232.3809,232.1416,232.2759,244027
2025-04-25,226.5119,227.773,225.7552,227.0146,359442
2025-04-26,232.6907,233.3626,231.7614,232.4327,765821
2025-04-27,227.8544,228.9072,224.051,225.091,347393
2025-04-28,217.5149,222.0601,213.6425,218.1759,1024340
2025-04-29,214.9513,219.0804,210.5276,214.6509,449625
2025-04-30,216.5143,217.2758,215.1666,215.9261,422360
2025-05-01,216.498,221.1908,212.0505,216.7384,455068
2025-05-02,222.3565,227.6244,218.1071,223.3559,548958
2025-05-03,225.6418,228.8314,223.2819,226.4629,240168
2025-05-04,228.7276,241.6917,217.969,230.834,1240089
2025-05-05,231.0414,231.0896,231.0114,231.0596,380176
2025-05-06,227.2254,231.7341,221.1523,225.6293,1040082
2025-05-07,219.7371,222.9112,217.6734,220.8372,807563
2025-05-08,217.3053,218.1179,216.934,217.7458,32857
2025-05-09,217.0753,217.2394,216.6226,216.7865,322769
2025-05-10,216.8419,219.474,214.2431,216.8747,779681
