date,open,high,low,close,volume
2025-01-20,288.4712,288.5445,288.3739,288.4472,754098
2025-01-21,282.6641,301.2649,266.3885,284.8627,457565
2025-01-22,287.5193,288.7545,286.0704,287.3046,1046852
2025-01-23,279.6399,288.8652,268.8343,278.0056,12809
2025-01-24,276.4351,280.5773,273.7134,277.8418,30261
2025-01-25,284.938,285.6864,284.564,285.3119,207594
2025-01-26,286.0441,291.9962,281.4731,287.4034,208252
2025-01-27,283.0386,285.9307,281.0761,283.9618,503728
2025-01-28,280.1571,280.5356,279.9229,280.3012,910518
2025-01-29,272.4129,273.8011,270.677,272.0634,406838
2025-01-30,279.2403,283.4222,275.7324,279.906,261729
2025-01-31,278.7018,286.2216,268.1803,275.6169,582883
2025-02-01,276.27,283.142,270.449,277.2993,124926
2025-02-02,271.4404,271.7448,271.2772,271.5814,436084
2025-02-03,270.6517,272.9161,268.9474,271.2082,250510
2025-02-04,270.4358,271.8816,269.0286,270.4742,378974
2025-02-05,260.1383,261.9572,256.9187,258.7277,567779
2025-02-06,269.37,270.0391,267.4355,268.1015,795439
2025-02-07,268.8408,274.2203,266.8336,272.1881,199869
2025-02-08,268.9864,272.1815,266.9078,270.0943,669770
2025-02-09,276.7432,281.6437,273.4415,278.3231,407025
2025-02-10,274.8774,276.0092,273.1095,274.2386,455868
2025-02-11,264.9849,268.5044,262.429,265.9394,829657
2025-02-12,262.9096,263.5628,262.1919,262.845,750218
2025-02-13,257.6111,264.2685,252.4577,259.0856,127923
2025-02-14,257.7223,260.4841,254.9578,257.7195,588547
2025-02-15,260.1267,275.7916,246.8672,262.4154,389104
2025-02-16,271.9458,274.4968,270.242,272.7877,1184696
2025-02-17,276.6348,279.9232,271.707,274.9757,618516
2025-02-18,277.657,290.8508,265.1799,278.3429,23814
2025-02-19,276.3892,276.9065,275.2952,275.8115,747376
2025-02-20,274.3408,274.7386,274.1017,274.4994,513516
2025-02-21,278.3121,280.3435,275.7792,277.8069,794809
2025-02-22,277.7503,278.4538,274.8257,275.5236,866116
2025-02-23,274.8012,284.5689,267.6036,277.3058,530705
2025-02-24,268.9666,271.3206,266.9658,269.3173,679005
2025-02-25,265.6934,267.9446,264.2421,266.4889,658950
2025-02-26,261.5272,262.1174,259.9608,260.5488,479064
2025-02-27,254.3989,254.6715,254.1903,254.4628,961891
2025-02-28,249.9817,254.326,248.1416,252.4676,405056
2025-03-01,250.5622,256.2707,242.8917,248.5545,425058
2025-03-02,247.5933,250.6375,244.0925,247.131,399220
2025-03-03,243.9867,250.0008,235.9378,241.9005,830232
2025-03-04,235.263,239.1106,232.6122,236.4465,975497
2025-03-05,228.3091,234.1975,223.9981,229.8573,1060175
2025-03-06,227.5234,228.5697,226.8922,227.9374,131047
2025-03-07,217.794,232.6515,203.3975,218.2265,811895
2025-03-08,219.5744,222.4267,216.8502,219.7009,899969
2025-03-09,215.1563,215.9489,214.3479,215.1405,175436
2025-03-10,214.4264,214.5297,214.0884,214.1915,814198
2025-03-11,215.7488,216.8307,213.6166,214.6932,24935
2025-03-12,219.008,220.0379,217.3573,218.3842,26275
2025-03-13,214.7604,217.7293,211.9401,214.907,997968
2025-03-14,219.4119,220.0787,218.94,219.6063,580902
2025-03-15,218.2346,221.8323,214.0165,217.6038,380437
2025-03-16,216.0155,219.6964,212.5412,216.2188,597638
2025-03-17,223.8086,228.736,216.7703,221.6502,562128
2025-03-18,232.5699,233.0989,230.3554,230.8807,364647
2025-03-19,236.1222,243.1221,231.4233,238.3783,443780
2025-03-20,240.5927,242.3253,238.6224,240.3532,690324
2025-03-21,234.7163,235.5125,234.0963,234.8921,754948
2025-03-22,236.8945,237.8604,236.812,237.7776,613341
2025-03-23,243.3147,243.4526,243.1809,243.3188,462370
2025-03-24,245.509,253.9355,234.4706,242.8042,797166
2025-03-25,248.4512,249.1404,247.3395,248.0275,710759
