date,open,high,low,close,volume
2025-01-20,13.7235,14.1882,13.4475,13.9084,198838
2025-01-21,13.8316,13.9929,13.6315,13.7924,900040
2025-01-22,13.1967,13.5724,12.7977,13.1727,765601
2025-01-23,13.1653,13.5883,12.906,13.3258,169696
2025-01-24,13.0105,13.4166,12.5277,12.9313,317921
2025-01-25,12.8769,13.2614,12.4505,12.8337,530579
2025-01-26,13.0582,13.0844,12.9834,13.0096,115005
2025-01-27,12.8838,12.9874,12.8294,12.9328,773360
2025-01-28,13.044,13.1248,12.9274,13.008,277824
2025-01-29,13.4463,13.6851,13.2537,13.4919,198290
2025-01-30,13.4921,14.2341,12.6778,13.4156,408168
2025-01-31,13.7186,13.7336,13.7106,13.7256,656407
2025-02-01,14.6966,14.7862,14.5699,14.6593,1054307
2025-02-02,14.6192,14.9131,14.1965,14.4878,118581
2025-02-03,14.5929,14.6282,14.5442,14.5794,246498
2025-02-04,14.396,14.8928,14.0226,14.5162,185032
2025-02-05,14.7959,14.8827,14.6964,14.7831,455988
2025-02-06,15.026,15.0875,15.0185,15.08,767611
2025-02-07,14.7821,14.87,14.7108,14.7986,194994
2025-02-08,14.5859,14.6144,14.5494,14.5779,771062
2025-02-09,14.6669,15.005,14.4637,14.8,479719
2025-02-10,14.2308,14.3122,14.1634,14.2448,746694
2025-02-11,14.356,14.6315,14.261,14.5353,185388
2025-02-12,14.5044,14.7221,14.3889,14.6059,409632
2025-02-13,14.4401,14.5609,14.2898,14.4103,852749
2025-02-14,14.4725,14.8467,13.9658,14.3364,11009
2025-02-15,14.7685,14.8083,14.7179,14.7577,342018
2025-02-16,15.5099,16.0479,14.9971,15.5343,679568
2025-02-17,15.53,16.1,15.0321,15.6,777047
2025-02-18,15.6162,16.3187,15.0968,15.7935,529126
2025-02-19,15.3906,15.8191,15.0275,15.4545,966053
2025-02-20,15.351,15.4368,15.2778,15.3636,573338
2025-02-21,15.4254,15.7466,15.1314,15.4522,314387
2025-02-22,15.3056,15.3145,15.2987,15.3076,413436
2025-02-23,15.299,15.3805,15.1164,15.1974,929983
2025-02-24,15.4366,15.438,15.4341,15.4355,44888
2025-02-25,14.9398,15.0428,14.7798,14.8824,216649
2025-02-26,14.901,15.9753,13.8744,14.9456,1255347
2025-02-27,15.0319,15.1798,14.9015,15.0493,360653
2025-02-28,15.6236,16.1621,14.9664,15.5007,618508
2025-03-01,16.0103,16.0554,15.9994,16.0444,228052
2025-03-02,16.1287,17.6542,14.4798,15.9924,542248
2025-03-03,15.4292,15.6449,15.1493,15.3641,1046915
2025-03-04,15.9344,16.6193,15.11,15.7887,192546
2025-03-05,16.4857,16.6831,16.1226,16.318,232846
2025-03-06,16.94,17.0613,16.7876,16.9087,399514
2025-03-07,16.7164,17.1802,16.1511,16.6121,717353
2025-03-08,17.3395,17.3526,17.2568,17.2699,503691
2025-03-09,17.2525,17.4378,17.2029,17.3878,265985
2025-03-10,16.136,16.4891,15.8585,16.2103,243692
2025-03-11,15.6408,16.3776,14.9186,15.6548,116477
2025-03-12,16.1846,16.3122,16.0019,16.1291,622250
2025-03-13,16.2668,16.3114,16.1747,16.2192,272543
2025-03-14,16.4566,16.7684,16.1646,16.4759,455638
2025-03-15,16.258,16.3644,16.161,16.2673,1056519
2025-03-16,15.972,16.0729,15.8841,15.9849,400995
2025-03-17,15.5212,16.0521,15.0487,15.5778,268294
2025-03-18,15.3457,15.5798,15.1872,15.4205,159104
2025-03-19,15.5825,15.6699,15.4531,15.5402,703810
2025-03-20,15.3713,15.5731,15.0545,15.2547,322277
2025-03-21,15.281,15.3815,15.2283,15.3286,141573
2025-03-22,15.4342,15.6341,15.1567,15.3555,804333
2025-03-23,14.514,14.915,14.0289,14.4275,66255
2025-03-24,13.9436,13.9465,13.9429,13.9458,758468
2025-03-25,13.4991,13.5126,13.4887,13.5021,523436
2025-03-26,13.5989,13.6337,13.5607,13.5954,1334259
2025-03-27,13.5247,14.143,13.0198,13.6341,1127921
2025-03-28,13.3245,13.3996,13.2799,13.355,701007
2025-03-29,13.6196,13.9037,13.3426,13.6265,84519
2025-03-30,13.8471,13.9331,13.8317,13.9176,790922
2025-03-31,13.9391,14.0379,13.8725,13.9711,502113
2025-04-01,14.1263,14.8407,13.4456,14.1585,134553
2025-04-02,14.4151,14.6582,13.9889,14.2288,1293502
2025-04-03,14.3581,14.3587,14.3546,14.3552,328555
2025-04-04,14.2958,15.045,13.6968,14.44,497880
2025-04-05,14.3318,14.405,14.2407,14.3138,62912
2025-04-06,14.2959,14.661,13.9878,14.3517,1175411
2025-04-07,14.6376,14.7141,14.4884,14.5646,1007510
2025-04-08,14.4043,14.7164,14.0647,14.3761,724877
2025-04-09,13.9804,14.0581,13.9432,14.0207,37470
2025-04-10,13.8887,14.1131,13.7108,13.9346,546404
2025-04-11,13.5057,13.5112,13.4991,13.5046,899130
2025-04-12,14.1225,14.9237,13.2149,14.0097,21775
2025-04-13,13.9195,14.0433,13.7166,13.8397,659627
2025-04-14,14.279,14.3822,14.1884,14.2915,286621
2025-04-15,14.4472,15.5838,13.2994,14.4351,513528
2025-04-16,14.6744,15.0148,14.352,14.692,745398
2025-04-17,14.7322,15.1999,14.2455,14.7126,407850
2025-04-18,14.8093,14.8948,14.6286,14.7135,884756
2025-04-19,14.9945,15.0837,14.821,14.9097,549531
2025-04-20,14.6617,14.6986,14.6171,14.654,409842
2025-04-21,14.1964,14.3881,13.9592,14.1503,790398
2025-04-22,13.9419,14.453,13.2728,13.7779,1164472
