date,open,high,low,close,volume
2025-01-20,21.3419,22.0714,20.8927,21.6164,320597
2025-01-21,21.4512,21.4565,21.448,21.4533,253512
2025-01-22,21.3811,21.4565,21.3025,21.3778,1041506
2025-01-23,21.7003,21.9889,21.1548,21.44,759122
2025-01-24,21.1807,21.3129,21.0388,21.1709,335643
2025-01-25,21.0132,21.1457,20.8871,21.0196,311545
2025-01-26,20.4666,20.5606,20.3301,20.4239,752930
2025-01-27,20.5174,20.9727,19.9988,20.4527,55792
2025-01-28,20.5323,21.2868,19.7925,20.5464,652650
2025-01-29,20.1853,21.5932,19.0462,20.4397,255380
2025-01-30,21.0787,21.1096,20.9169,20.9477,908737
2025-01-31,20.6721,21.1874,20.2202,20.7341,171167
2025-02-01,20.3259,20.4571,20.2431,20.3742,502256
2025-02-02,20.1464,20.3955,19.985,20.2335,218928
2025-02-03,20.6904,21.3604,20.0535,20.7225,572999
2025-02-04,21.1379,21.1638,21.058,21.0839,526310
2025-02-05,21.3736,21.708,21.0683,21.4023,488830
2025-02-06,21.6249,22.0097,21.5734,21.9575,722272
2025-02-07,22.1372,22.249,21.9418,22.0532,420942
2025-02-08,21.7646,22.067,21.5071,21.809,566250
2025-02-09,21.906,22.1502,21.5841,21.8274,929961
2025-02-10,21.8834,21.9427,21.8342,21.8935,692143
2025-02-11,21.3657,22.0163,20.9203,21.5667,424157
2025-02-12,20.7222,21.4079,20.2304,20.9115,674927
2025-02-13,21.3716,21.571,21.0417,21.2399,139488
2025-02-14,21.94,21.9723,21.9169,21.9492,460832
2025-02-15,21.9091,21.9107,21.7918,21.7934,564494
2025-02-16,21.8956,22.0567,21.6938,21.8547,40362
2025-02-17,21.965,21.9881,21.9228,21.9459,268258
2025-02-18,21.8497,21.9239,21.7085,21.7825,181674
2025-02-19,22.4694,22.6428,22.3111,22.4844,198497
2025-02-20,21.8287,21.8446,21.8179,21.8338,339667
2025-02-21,21.9157,22.0812,21.6623,21.8272,467912
2025-02-22,22.5417,22.8681,22.1141,22.439,822976
2025-02-23,22.365,22.7617,21.931,22.327,32328
2025-02-24,22.4896,22.4919,22.4879,22.4902,757952
2025-02-25,22.5112,22.9961,22.3055,22.7879,308953
2025-02-26,24.0468,24.1641,23.9644,24.0815,76812
2025-02-27,23.2727,23.2922,23.2535,23.273,1024473
2025-02-28,23.2167,23.4357,22.808,23.0252,105882
2025-03-01,22.2012,22.2357,22.1796,22.2141,1043991
2025-03-02,22.7662,22.9406,22.2728,22.4446,1289985
2025-03-03,23.1937,23.2642,23.1233,23.1939,80163
2025-03-04,22.8526,25.0124,21.0799,23.2118,428845
2025-03-05,22.6419,22.6653,22.6232,22.6465,155449
2025-03-06,22.8479,23.3419,22.687,23.1786,645033
2025-03-07,23.1226,23.217,22.9602,23.0544,579985
2025-03-08,22.4559,22.5192,22.4278,22.4911,45829
2025-03-09,21.7795,22.2881,21.4351,21.9412,443714
2025-03-10,22.2871,22.7087,21.8181,22.2387,821328
2025-03-11,22.0826,22.4267,21.7409,22.085,223326
2025-03-12,22.2575,22.2717,22.2529,22.2671,616764
2025-03-13,21.8983,22.1184,21.765,21.9846,81499
2025-03-14,22.6133,22.6896,22.5807,22.6569,124933
2025-03-15,22.8083,22.8376,22.8058,22.8351,299060
2025-03-16,22.8853,23.0895,22.7386,22.9423,604280
2025-03-17,22.9613,23.4799,22.6491,23.1649,201077
2025-03-18,24.1429,24.2557,24.027,24.1396,624643
2025-03-19,23.2935,23.6402,23.0622,23.4077,340270
2025-03-20,23.2059,23.5655,22.9212,23.2799,48040
2025-03-21,23.1283,23.3734,22.7546,22.9983,483300
2025-03-22,23.4148,23.5482,23.2837,23.4171,48308
2025-03-23,23.6664,23.9833,23.2936,23.6097,427587
2025-03-24,22.8355,23.0049,22.6678,22.8372,818272
2025-03-25,22.478,22.7191,22.3735,22.614,1221108
2025-03-26,22.8059,22.967,22.6591,22.8201,271221
2025-03-27,22.3534,23.0629,21.6827,22.3911,217091
2025-03-28,22.086,22.1032,22.0826,22.0998,263748
2025-03-29,22.7592,23.0994,22.4458,22.7857,247229
2025-03-30,23.1363,23.2072,23.0784,23.1492,570428
2025-03-31,22.9346,23.1611,22.8267,23.0527,329794
2025-04-01,23.3894,23.4281,23.3742,23.4129,652491
2025-04-02,23.7332,23.9251,23.5569,23.7487,1067796
2025-04-03,23.8301,24.1685,23.5973,23.9347,125544
2025-04-04,23.5283,25.422,21.4115,23.2857,897881
2025-04-05,23.2426,23.5606,22.9307,23.2485,726539
2025-04-06,22.5721,23.062,22.1137,22.6031,539506
2025-04-07,22.2971,22.3257,22.2807,22.3092,371023
2025-04-08,21.4532,21.5189,21.2071,21.2723,497566
2025-04-09,20.6862,20.8226,20.3983,20.5337,515753
2025-04-10,19.9752,20.0186,19.8773,19.9206,87141
2025-04-11,19.7296,19.7493,19.7146,19.7342,562230
2025-04-12,19.7469,20.3256,19.1445,19.7226,519259
2025-04-13,19.2313,19.6109,18.9646,19.3427,316167
2025-04-14,20.3805,21.1148,19.8736,20.6024,567025
2025-04-15,20.1317,20.2374,19.9598,20.065,1359894
2025-04-16,20.0952,20.3289,19.7629,19.9954,210969
2025-04-17,20.4543,20.6733,20.0636,20.2808,68414
2025-04-18,20.3685,20.523,20.285,20.4392,665443
2025-04-19,20.262,20.2748,20.2446,20.2575,539915
2025-04-20,20.5725,20.7292,20.33,20.486,487688
2025-04-21,21.2436,21.4935,21.0065,21.2562,527745
2025-04-22,21.4947,21.9101,20.8547,21.2657,215030
2025-04-23,21.7242,21.741,21.7079,21.7247,737796
2025-04-24,21.2143,21.7919,20.6683,21.2451,901178
2025-04-25,20.9342,21.1161,20.886,21.0676,334064
2025-04-26,21.4816,21.58,21.3489,21.4472,222163
2025-04-27,22.0141,23.1809,20.5278,21.6767,962119
2025-04-28,21.1084,21.3669,20.7699,21.0274,976526
2025-04-29,21.856,21.9866,21.7577,21.8882,515765
2025-04-30,21.2754,21.3438,21.2015,21.2699,760372
2025-05-01,21.2026,21.2044,21.2019,21.2037,412763
2025-05-02,21.0017,22.0742,20.1903,21.2531,342060
2025-05-03,20.5341,20.718,20.3652,20.5489,229775
2025-05-04,20.363,20.4521,20.2763,20.3654,47032
2025-05-05,20.313,20.3708,20.254,20.3118,124236
2025-05-06,20.3447,21.1477,19.8132,20.6092,159933
2025-05-07,21.0162,21.3099,20.7451,21.0385,1169500
2025-05-08,21.5161,21.73,21.0611,21.2725,363955
2025-05-09,21.1046,21.1859,20.9964,21.0776,34329
2025-05-10,21.4425,21.4482,21.4423,21.448,1042574
2025-05-11,21.2785,21.4031,21.2748,21.3994,229716
2025-05-12,22.406,22.5255,22.3175,22.4368,655292
2025-05-13,22.55,22.606,22.4174,22.4732,1143772
2025-05-14,22.4902,22.9859,21.9992,22.4948,589665
2025-05-15,22.7876,22.9914,22.5588,22.7623,150909
2025-05-16,22.2656,22.4631,22.0679,22.2653,729584
2025-05-17,21.6721,21.7532,21.4909,21.5715,285076
2025-05-18,22.3718,23.5364,21.0672,22.2241,412426
2025-05-19,22.1029,22.3173,21.9487,22.1626,15176
2025-05-20,22.1174,22.5075,21.7806,22.1699,813875
2025-05-21,22.4305,22.8798,22.005,22.4538,130637
2025-05-22,21.9477,22.1783,21.711,21.9416,532552
