date,open,high,low,close,volume
2025-01-20,145.8948,146.1328,145.5753,145.8132,477118
2025-01-21,144.5069,146.9996,142.8348,145.318,345721
2025-01-22,141.5897,143.6536,139.7623,141.8232,456652
2025-01-23,135.8051,137.1114,135.5033,136.8074,141954
2025-01-24,136.2995,136.3244,136.2789,136.3039,1333878
2025-01-25,135.5608,138.2638,133.3677,136.0625,537352
2025-01-26,137.4674,139.8686,134.4179,136.8076,538550
2025-01-27,135.92,135.9517,135.8904,135.9221,233748
2025-01-28,136.5068,137.8696,135.4781,136.8385,1194090
2025-01-29,135.096,142.8557,129.5733,137.2451,1352731
2025-01-30,138.7106,139.1076,138.2536,138.6505,478643
2025-01-31,137.9751,139.8192,136.269,138.1114,505948
2025-02-01,134.5021,135.4243,133.6451,134.5669,581955
2025-02-02,134.9079,138.3,132.9088,136.2805,114423
2025-02-03,142.8213,145.5858,139.0118,141.7556,219948
2025-02-04,144.836,151.876,134.8977,141.7896,240860
2025-02-05,140.5265,143.304,139.1054,141.8693,602625
2025-02-06,141.2656,142.5309,140.4376,141.7003,907282
2025-02-07,139.5276,139.5589,139.1252,139.1564,748946
2025-02-08,140.3858,140.6807,140.097,140.392,651302
2025-02-09,142.1622,142.6274,141.2706,141.7344,236365
2025-02-10,141.8757,142.1808,141.7036,142.0086,328136
2025-02-11,141.8083,148.9525,135.5739,142.6798,18219
2025-02-12,137.2394,139.0008,134.9818,136.7368,905849
2025-02-13,132.9527,134.6813,131.0738,132.8004,906826
2025-02-14,135.625,138.7294,134.62,137.7089,872106
2025-02-15,138.0821,145.0997,132.4597,139.4227,569585
2025-02-16,142.3878,145.1531,141.2699,144.0224,466021
2025-02-17,142.0032,142.1158,141.9236,142.0362,680755
2025-02-18,141.6809,141.7142,141.55,141.5833,846924
2025-02-19,142.2384,143.838,141.2289,142.8243,278907
2025-02-20,145.5629,153.6955,134.4268,142.3817,166750
2025-02-21,142.6078,144.5126,139.4248,141.3123,524378
