date,open,high,low,close,volume
2025-01-20,167.1149,167.6394,166.8895,167.4137,455210
2025-01-21,166.9471,167.802,166.1709,167.0256,970918
2025-01-22,168.3502,169.6158,166.4653,167.7262,829630
2025-01-23,168.2321,168.5823,167.6181,167.9678,779262
2025-01-24,167.1339,167.4723,165.8368,166.1733,659449
2025-01-25,168.2082,169.0769,167.6407,168.5084,346925
2025-01-26,164.4558,165.1617,163.8883,164.5938,100679
2025-01-27,165.3628,166.0001,164.651,165.288,688433
2025-01-28,165.5479,167.8039,163.5033,165.7567,373266
2025-01-29,166.8809,167.1449,166.6936,166.9575,68715
2025-01-30,164.9664,165.9606,162.9883,163.9765,986378
2025-01-31,161.6447,162.1369,160.9864,161.478,201190
2025-02-01,164.1098,164.1525,163.9737,164.0164,96028
2025-02-02,161.5189,162.3078,160.0494,160.8349,374812
2025-02-03,160.4581,161.578,159.9737,161.0917,17268
2025-02-04,162.8167,168.7664,156.743,162.688,39446
2025-02-05,162.4123,162.9425,162.2158,162.7456,482146
2025-02-06,160.3699,163.6345,158.6795,161.9277,366735
2025-02-07,163.3339,170.9507,153.2951,160.7935,603793
2025-02-08,164.9046,170.5886,160.5608,166.2104,258579
2025-02-09,165.9011,165.9965,165.7745,165.8698,581385
2025-02-10,161.8047,162.5372,161.6436,162.3755,507514
2025-02-11,163.4572,163.7079,163.4349,163.6855,621945
2025-02-12,168.5879,171.174,165.757,168.3393,827515
2025-02-13,167.4764,171.3749,164.5325,168.4145,1053403
2025-02-14,169.679,179.4124,162.3413,171.9755,791877
2025-02-15,167.6087,167.9481,167.3405,167.6798,496810
2025-02-16,165.5403,165.7229,164.1769,164.3582,124291
2025-02-17,165.7722,165.8245,165.2722,165.3244,70615
2025-02-18,162.9408,165.5455,159.4784,162.0692,76303
2025-02-19,161.4287,161.5841,161.3304,161.4857,548599
2025-02-20,161.0725,162.1617,159.9935,161.0827,725758
2025-02-21,158.0208,159.2987,156.7735,158.0512,476764
2025-02-22,156.4436,159.4052,154.407,157.3568,285986
2025-02-23,154.0605,154.1161,153.913,153.9685,743707
2025-02-24,155.5479,160.8172,149.2035,154.4351,520924
2025-02-25,156.4967,157.752,155.1998,156.4547,599337
2025-02-26,155.8261,159.3091,153.3493,156.8165,617841
2025-02-27,151.7796,156.0133,147.8961,152.1211,68018
2025-02-28,148.1944,151.3269,144.5208,147.6416,629455
2025-03-01,144.3266,145.6198,143.1019,144.3946,563309
2025-03-02,142.7789,153.5147,133.9463,144.5712,177177
2025-03-03,143.3606,143.6644,143.1318,143.4355,24850
2025-03-04,143.716,143.9227,143.4512,143.6578,441251
2025-03-05,142.8971,147.0686,139.9893,144.1356,227368
2025-03-06,139.6788,142.3563,137.9068,140.5729,257026
2025-03-07,132.1573,135.9024,129.4219,133.1465,484176
2025-03-08,137.2605,138.7869,136.3577,137.88,414407
2025-03-09,136.7932,138.9626,134.6788,136.8474,315480
2025-03-10,139.0642,141.2174,134.5431,136.659,477219
2025-03-11,138.9131,143.5177,134.0848,138.6817,74182
2025-03-12,142.8987,155.2533,132.4107,144.6376,445609
2025-03-13,144.229,145.0522,142.3879,143.2053,42989
2025-03-14,147.5779,149.3552,145.8653,147.642,311432
2025-03-15,145.8656,160.0925,134.8398,148.8417,55633
2025-03-16,148.0689,149.0436,147.0773,148.052,452733
2025-03-17,149.6113,149.9496,149.3108,149.6491,766943
2025-03-18,146.9977,149.1483,145.2735,147.4192,274402
2025-03-19,148.9715,149.6556,147.5954,148.2762,489686
2025-03-20,146.122,149.3252,144.7603,147.9465,11985
2025-03-21,145.4364,151.2722,139.7875,145.6163,122400
