date,open,high,low,close,volume
2025-01-20,271.9785,282.7836,261.4216,272.2175,17553
2025-01-21,268.8038,270.8879,268.6613,270.7443,50147
2025-01-22,274.1236,279.8297,269.9021,275.5857,368978
2025-01-23,271.3785,271.458,271.3324,271.4119,299285
2025-01-24,272.0893,288.0466,259.2718,275.0878,553956
2025-01-25,270.0956,271.016,269.4611,270.3809,1147122
2025-01-26,279.9008,283.6323,276.6709,280.3966,169313
2025-01-27,278.9864,281.4151,277.8485,280.2719,547266
2025-01-28,277.2699,280.586,276.1643,279.4716,344618
2025-01-29,276.323,276.7642,276.0027,276.4437,526980
2025-01-30,275.9351,277.8894,274.6047,276.5561,205622
2025-01-31,278.2647,278.8484,275.8988,276.4788,580954
2025-02-01,278.145,280.102,276.4608,278.4161,134412
2025-02-02,280.125,280.2256,279.9538,280.0543,961108
2025-02-03,269.5356,275.6527,265.3074,271.3952,620616
2025-02-04,277.9537,279.3829,276.3984,277.827,112453
2025-02-05,281.8325,290.0772,273.0431,281.2714,826943
2025-02-06,290.7858,291.4714,289.5686,290.2529,501590
2025-02-07,291.7452,293.4431,287.9248,289.6104,130332
2025-02-08,290.7857,291.1428,289.5637,289.9197,303422
2025-02-09,300.2077,306.9504,291.8973,298.604,454687
2025-02-10,299.9541,301.5373,298.4871,300.0698,911560
2025-02-11,297.3712,300.5405,296.6733,299.8368,1068332
2025-02-12,302.5865,310.8681,295.7528,304.0025,552775
2025-02-13,297.3527,299.4906,294.4616,296.594,1179730
2025-02-14,291.3469,299.6211,281.1738,289.3925,91459
2025-02-15,286.7849,286.8366,282.7318,282.7828,655312
2025-02-16,283.2048,283.5396,282.4914,282.8258,627109
2025-02-17,277.0899,280.9337,274.9961,278.8267,481635
2025-02-18,285.1527,285.2432,284.832,284.9224,606250
2025-02-19,288.4748,288.9549,287.549,288.0284,879043
2025-02-20,275.3153,278.6964,272.2601,275.6377,460721
2025-02-21,271.3595,272.8212,270.3661,271.8262,321800
2025-02-22,267.957,270.8825,265.127,268.0515,139441
2025-02-23,275.9544,275.9725,275.6041,275.6222,1134869
2025-02-24,268.835,275.593,260.9561,267.6852,483962
2025-02-25,285.8886,292.2874,280.1874,286.5725,92424
2025-02-26,279.2366,281.1944,278.5164,280.471,689687
2025-02-27,276.1336,281.8334,270.4929,276.1916,496880
2025-02-28,274.5706,278.7569,274.1326,278.313,709712
2025-03-01,273.9891,274.6194,273.3478,273.978,1012752
2025-03-02,277.3787,279.2614,275.7658,277.647,486846
2025-03-03,277.7136,279.193,275.756,277.2328,386515
2025-03-04,285.283,286.3222,282.6459,283.6793,86674
2025-03-05,291.895,292.6624,291.1544,291.9218,244935
2025-03-06,298.251,298.326,298.1751,298.2501,561443
2025-03-07,299.2648,303.6035,295.3323,299.6657,1125689
2025-03-08,297.6384,299.8772,295.9538,298.1895,966825
2025-03-09,292.4572,294.1475,290.27,291.9574,641523
2025-03-10,297.4382,300.8029,293.6641,297.0241,770757
2025-03-11,293.9258,295.4772,292.2798,293.8307,157400
2025-03-12,296.184,315.2337,274.9394,293.8382,280060
