date,open,high,low,close,volume
2025-01-20,396.9376,399.0017,396.4266,398.4887,300533
2025-01-21,396.8381,409.6784,382.6499,395.4452,588194
2025-01-22,394.3088,404.2981,383.415,393.3807,600140
2025-01-23,398.5826,402.34,394.7406,398.4971,429927
2025-01-24,391.2731,394.9695,388.2645,391.9556,971828
2025-01-25,395.654,418.0806,379.1592,401.3485,629708
2025-01-26,399.3651,406.845,389.6492,397.0864,471735
2025-01-27,402.8826,414.9754,389.865,401.9292,16027
2025-01-28,393.8364,409.4847,384.1347,399.64,869146
2025-01-29,406.2119,412.3517,399.5905,405.7229,229689
2025-01-30,407.1153,409.6241,400.7343,403.2191,506393
2025-01-31,412.6874,413.9689,411.6994,412.9802,312452
2025-02-01,402.5536,414.2788,391.9512,403.6476,470267
2025-02-02,403.6569,409.2612,399.4026,404.9927,392872
2025-02-03,403.4773,477.7555,342.4344,414.9734,649361
2025-02-04,430.1976,433.7166,428.0555,431.5677,366156
2025-02-05,427.9184,428.1242,427.7294,427.9352,429588
2025-02-06,423.8586,424.1846,423.7467,424.0727,538498
2025-02-07,411.7874,412.003,411.6018,411.8174,1166040
2025-02-08,416.4048,419.1362,413.2568,415.9855,142717
2025-02-09,410.7638,422.9168,397.514,409.6336,240649
2025-02-10,397.273,397.7342,396.5518,397.0128,107942
2025-02-11,410.6446,416.2788,406.1989,411.8203,1026176
2025-02-12,430.1565,433.7375,427.3283,430.9044,132126
2025-02-13,441.4592,441.6516,434.9538,435.1434,759082
2025-02-14,430.9825,436.1916,423.0678,428.2438,640424
2025-02-15,426.096,428.3583,419.771,422.0115,1193824
2025-02-16,426.8386,441.5789,417.2496,431.8767,942414
2025-02-17,413.2652,415.5702,410.6777,412.9812,235658
2025-02-18,415.1696,423.9312,402.195,410.8658,643343
2025-02-19,397.9545,401.6926,393.1657,396.8939,957513
2025-02-20,401.3226,403.9612,397.0747,399.7026,19073
2025-02-21,401.2024,411.7,387.9606,398.3844,217815
2025-02-22,398.6815,399.0257,398.3304,398.6746,141202
2025-02-23,385.4457,400.3038,373.5129,388.2831,1006020
2025-02-24,393.0325,395.5618,391.4799,394.0053,70300
2025-02-25,376.8553,379.5942,374.8687,377.6037,267371
2025-02-26,372.6486,373.8976,370.7144,371.9612,329494
2025-02-27,378.1723,379.7479,375.422,376.9926,466233
2025-02-28,363.5201,369.9103,356.8142,363.1988,54345
2025-03-01,366.155,368.7683,362.1046,364.7075,1196840
2025-03-02,367.1678,367.2468,367.1288,367.2078,324071
2025-03-03,372.5773,377.584,367.8506,372.8537,679058
2025-03-04,373.1342,373.2667,372.9729,373.1054,260790
2025-03-05,370.2151,371.2227,369.5753,370.5823,1132194
2025-03-06,368.6171,381.0691,358.6423,371.0291,230306
2025-03-07,371.2134,386.026,359.9499,374.658,755238
2025-03-08,374.3123,386.481,359.2599,371.3316,858827
2025-03-09,370.3415,379.9945,359.9073,369.5394,74589
2025-03-10,386.4094,395.569,373.9231,383.0019,19008
2025-03-11,366.5751,369.1119,365.9362,368.4697,786796
2025-03-12,366.0692,384.5297,351.0245,369.3502,926370
2025-03-13,378.6126,386.0461,371.0847,378.5163,511142
2025-03-14,372.2104,380.862,362.5174,371.1443,483485
2025-03-15,366.6944,374.0164,359.4043,366.7257,488170
2025-03-16,378.0373,379.5751,370.7086,372.2227,641217
2025-03-17,365.0694,366.7618,363.3857,365.0781,550012
2025-03-18,375.1135,377.8127,372.7597,375.4567,7952
2025-03-19,373.7621,374.5968,372.3683,373.2017,731306
2025-03-20,371.6481,393.1712,352.1905,373.6109,816081
2025-03-21,370.4017,378.1034,360.6406,368.2987,225990
2025-03-22,363.8726,375.8644,352.0554,364.0417,36549
2025-03-23,361.2631,372.9254,349.2202,360.8697,428015
2025-03-24,359.9867,369.3179,352.6631,361.9543,252298
2025-03-25,362.26,363.8873,360.3057,361.9315,877989
2025-03-26,367.4771,377.9914,356.8789,367.3907,289132
2025-03-27,374.9507,378.7216,374.0759,377.84,353818
2025-03-28,361.003,377.0903,346.5813,362.6046,555723
2025-03-29,352.299,353.0519,347.2058,347.9494,866968
2025-03-30,354.4528,356.7916,351.759,354.0954,278748
2025-03-31,354.9648,360.0596,346.8102,351.8605,100736
2025-04-01,342.7674,342.9925,342.5446,342.7697,9485
2025-04-02,337.9054,343.4249,333.899,339.4007,77221
2025-04-03,337.9605,341.8325,333.5341,337.3997,131288
2025-04-04,341.0823,346.0034,337.1378,342.0477,961367
2025-04-05,342.8699,343.3195,342.3177,342.7671,184283
2025-04-06,334.1396,334.3889,333.8111,334.0603,123557
2025-04-07,329.7798,332.4202,328.277,330.9122,477766
2025-04-08,323.9718,326.2298,321.9204,324.1771,248321
2025-04-09,324.5065,327.2209,319.3724,322.0664,791171
2025-04-10,329.955,338.0572,319.6415,327.6881,176737
2025-04-11,334.7923,341.5467,327.8964,334.6479,343704
2025-04-12,320.2958,337.0315,300.6801,317.2571,291229
2025-04-13,316.5211,318.4614,314.1826,316.1205,669031
2025-04-14,314.8383,318.1616,311.4271,314.7494,1037904
2025-04-15,304.5083,305.5515,302.6578,303.6982,199665
2025-04-16,317.8748,318.5398,317.5685,318.2332,514675
2025-04-17,315.0457,316.0243,314.3504,315.3284,627639
2025-04-18,317.0338,317.881,315.4637,316.309,597742
2025-04-19,310.6724,319.4448,298.2961,306.9638,666356
2025-04-20,308.5423,309.5713,305.5337,306.5561,911698
2025-04-21,310.2448,313.4282,302.9215,306.0619,51844
2025-04-22,308.2966,308.3297,308.2554,308.2885,806949
2025-04-23,312.5201,319.1898,305.2081,311.8639,1002133
2025-04-24,312.774,316.2809,309.7382,313.2405,850291
2025-04-25,323.6717,324.0931,322.8004,323.2212,398495
2025-04-26,321.4472,325.3118,317.9981,321.8583,454916
2025-04-27,325.1067,329.5993,317.5957,322.046,127400
2025-04-28,327.8743,336.984,322.4368,331.4865,210819
2025-04-29,328.5221,341.4613,318.8937,331.7386,434454
2025-04-30,332.2843,334.7596,329.7889,332.2641,395127
2025-05-01,332.3162,350.2162,319.7704,337.4756,73221
2025-05-02,339.5153,345.5445,336.0175,342.0209,510852
2025-05-03,341.9931,351.4643,333.0438,342.5017,760231
2025-05-04,353.1965,363.647,339.8625,350.225,938336
2025-05-05,346.8456,349.8879,340.8789,343.8953,132285
2025-05-06,342.0538,343.0,340.8228,341.7682,508051
2025-05-07,340.9854,342.3827,338.4728,339.8655,375323
2025-05-08,343.924,344.9761,340.5685,341.6136,511324
2025-05-09,342.0387,348.3896,330.9153,337.1759,244261
2025-05-10,341.324,347.8021,332.2515,338.6795,447344
2025-05-11,342.1052,353.3932,332.7516,343.9881,214280
2025-05-12,347.3488,348.2182,345.2188,346.085,260161
2025-05-13,348.5804,358.5386,335.1896,345.0468,84608
2025-05-14,354.0219,356.2229,352.4976,354.6957,726927
2025-05-15,346.2768,348.0065,344.5479,346.2777,40609
2025-05-16,341.1228,342.3529,340.611,341.8401,85308
2025-05-17,347.5021,348.8848,344.2497,345.625,118858
2025-05-18,340.166,347.9589,333.5965,341.3662,629181
2025-05-19,348.0234,367.2474,331.5859,350.6842,934831
2025-05-20,354.5616,361.3672,343.5798,350.3038,124040
2025-05-21,347.7663,368.0424,328.6062,348.824,518268
2025-05-22,341.2419,341.7512,340.6435,341.1527,203705
2025-05-23,338.1787,342.5126,334.6666,338.9921,260072
2025-05-24,330.1785,330.4826,329.9977,330.3018,854898
2025-05-25,327.948,332.7695,320.7805,325.5669,711384
2025-05-26,319.6425,321.6107,317.11,319.0747,524572
2025-05-27,320.7224,320.8577,320.6349,320.7702,271834
2025-05-28,328.698,331.7346,325.8956,328.9302,412454
2025-05-29,333.0138,356.7306,306.0577,329.526,894044
2025-05-30,328.1279,330.9918,325.7095,328.5702,311477
2025-05-31,335.8738,338.2364,333.6803,336.0419,631639
2025-06-01,329.2537,331.7063,325.6153,328.059,419678
2025-06-02,330.734,332.0292,329.4569,330.752,463352
2025-06-03,339.1324,339.6828,337.5097,338.0584,298086
2025-06-04,336.1728,340.2175,331.3149,335.3497,456983
2025-06-05,333.7102,338.9591,329.9059,335.1385,474421
2025-06-06,330.1112,349.1447,311.4327,330.4471,693476
2025-06-07,338.075,341.1867,333.0227,336.1164,731473
2025-06-08,331.624,340.8933,321.8235,331.0775,495012
2025-06-09,333.8627,338.7787,325.8939,330.7642,377111
2025-06-10,333.4606,334.6421,332.3211,333.5025,1216843
2025-06-11,329.0259,330.599,327.7811,329.3531,167845
2025-06-12,334.4421,336.7875,331.2333,333.5726,167538
2025-06-13,326.8308,336.5612,320.2268,329.8953,365248
2025-06-14,324.1347,337.8029,312.5498,326.146,455806
2025-06-15,329.4477,332.014,324.114,326.6585,901500
2025-06-16,323.0976,324.342,321.6272,322.8707,168885
2025-06-17,323.4056,324.1316,322.8813,323.6069,64114
2025-06-18,334.6812,338.3441,330.8043,334.4649,271610
2025-06-19,337.7111,340.3297,334.3967,337.0099,1272452
2025-06-20,344.5703,355.5724,330.9021,341.8163,584339
2025-06-21,340.7077,351.0465,332.2491,342.5424,614530
2025-06-22,340.4349,359.6776,326.9284,345.9521,843731
2025-06-23,336.9939,337.9557,335.5459,336.5063,147634
2025-06-24,324.81,325.9865,323.6053,324.7818,67731
2025-06-25,334.0489,357.1292,306.3962,329.1371,340987
2025-06-26,318.1173,322.5616,314.6549,319.0886,27220
2025-06-27,324.531,325.1317,323.942,324.5427,331896
2025-06-28,316.9385,323.7744,315.5482,322.3603,285540
2025-06-29,310.188,310.913,309.1872,309.9116,362315
2025-06-30,315.2964,321.5091,310.7671,316.9561,429185
2025-07-01,317.9771,320.7204,315.253,317.9962,745411
2025-07-02,303.9554,313.349,295.0962,304.4747,162743
2025-07-03,308.2626,308.817,307.7232,308.2776,365571
2025-07-04,301.8717,303.2684,300.2853,301.681,169904
2025-07-05,308.6377,313.6022,305.9308,310.8757,400758
2025-07-06,311.7055,314.9278,309.4548,312.6702,513629
2025-07-07,316.3767,319.137,315.6341,318.3896,25065
2025-07-08,317.8269,323.2438,312.3494,317.7653,538308
2025-07-09,312.2929,313.3157,311.4898,312.512,206045
2025-07-10,313.4095,316.1334,310.7478,313.4711,95201
2025-07-11,312.9782,315.8201,306.2076,309.0135,914635
