date,open,high,low,close,volume
2025-01-20,0.004,0.004,0.004,0.004,1204027
2025-01-21,0.004,0.004,0.004,0.004,69886
2025-01-22,0.004,0.004,0.0039,0.004,879448
2025-01-23,0.004,0.004,0.0039,0.004,1000981
2025-01-24,0.004,0.004,0.0039,0.004,861494
2025-01-25,0.004,0.004,0.004,0.004,818025
2025-01-26,0.0039,0.0041,0.0038,0.004,286232
2025-01-27,0.004,0.004,0.0039,0.004,424472
2025-01-28,0.004,0.004,0.004,0.004,174446
2025-01-29,0.004,0.004,0.0039,0.004,511563
2025-01-30,0.004,0.0041,0.0038,0.004,262541
2025-01-31,0.004,0.0041,0.0039,0.004,795692
2025-02-01,0.004,0.004,0.004,0.004,851336
2025-02-02,0.004,0.004,0.0039,0.004,1051642
2025-02-03,0.004,0.004,0.0039,0.004,497351
2025-02-04,0.004,0.004,0.004,0.004,140333
2025-02-05,0.004,0.004,0.004,0.004,289316
2025-02-06,0.004,0.0041,0.0039,0.004,938929
2025-02-07,0.004,0.004,0.004,0.004,378095
2025-02-08,0.004,0.004,0.0039,0.004,409246
2025-02-09,0.004,0.004,0.004,0.004,347213
2025-02-10,0.004,0.0042,0.0037,0.004,247285
2025-02-11,0.004,0.004,0.004,0.004,421289
2025-02-12,0.004,0.004,0.004,0.004,632472
2025-02-13,0.004,0.004,0.004,0.004,1227520
2025-02-14,0.004,0.004,0.004,0.004,352863
2025-02-15,0.004,0.0041,0.0038,0.004,636738
2025-02-16,0.004,0.004,0.004,0.004,193246
2025-02-17,0.0039,0.0041,0.0038,0.004,312610
2025-02-18,0.004,0.0041,0.0039,0.004,235492
2025-02-19,0.004,0.004,0.004,0.004,765992
2025-02-20,0.004,0.004,0.0039,0.004,673071
2025-02-21,0.004,0.004,0.0039,0.004,1296226
2025-02-22,0.004,0.004,0.0039,0.004,854960
2025-02-23,0.004,0.004,0.004,0.004,731410
2025-02-24,0.004,0.004,0.004,0.004,54557
2025-02-25,0.0039,0.004,0.0039,0.004,149917
2025-02-26,0.004,0.004,0.004,0.004,243829
2025-02-27,0.004,0.004,0.004,0.004,280972
2025-02-28,0.004,0.004,0.004,0.004,387123
2025-03-01,0.0039,0.004,0.0039,0.004,182403
2025-03-02,0.004,0.004,0.0039,0.004,522913
2025-03-03,0.0039,0.0042,0.0037,0.004,345911
2025-03-04,0.004,0.004,0.004,0.004,468393
2025-03-05,0.004,0.004,0.0039,0.004,716382
2025-03-06,0.004,0.0041,0.0039,0.004,257987
2025-03-07,0.004,0.004,0.004,0.004,319355
