date,open,high,low,close,volume
2025-01-20,3.884,3.9309,3.7841,3.8303,731464
2025-01-21,3.8031,3.824,3.7924,3.8133,458280
2025-01-22,3.8348,3.8505,3.822,3.8377,1048432
2025-01-23,3.7843,4.106,3.5576,3.874,876377
2025-01-24,4.0096,4.1014,3.8877,3.9788,844231
2025-01-25,3.944,3.9479,3.938,3.942,764839
2025-01-26,3.8982,3.9534,3.7716,3.8258,991687
2025-01-27,3.7657,3.767,3.7642,3.7655,239664
2025-01-28,3.8074,3.8337,3.7708,3.7971,150372
2025-01-29,3.7315,3.7579,3.7119,3.7383,1136564
2025-01-30,3.7243,3.8055,3.611,3.6915,1100576
2025-01-31,3.5747,3.6445,3.5037,3.5735,444044
2025-02-01,3.7222,3.7539,3.6622,3.6937,750264
2025-02-02,3.7517,3.785,3.7293,3.7625,93788
2025-02-03,3.6095,3.6256,3.6058,3.6219,966162
2025-02-04,3.625,3.6272,3.6177,3.6199,445265
2025-02-05,3.5895,3.6194,3.5704,3.6003,913131
2025-02-06,3.5973,3.6226,3.5706,3.5959,774842
2025-02-07,3.6439,3.6467,3.6367,3.6394,437779
2025-02-08,3.5913,3.6089,3.5732,3.5907,814325
2025-02-09,3.505,3.6194,3.4106,3.5244,1391820
2025-02-10,3.5094,3.5197,3.4989,3.5092,59283
2025-02-11,3.4568,3.5048,3.424,3.4718,425383
2025-02-12,3.4079,3.5913,3.2737,3.4552,1009185
2025-02-13,3.4789,3.4944,3.4682,3.4837,1097241
2025-02-14,3.4635,3.4744,3.4552,3.4661,1176609
2025-02-15,3.4358,3.6326,3.2701,3.4655,33387
2025-02-16,3.6151,3.6768,3.5391,3.6006,848245
2025-02-17,3.674,3.7162,3.62,3.662,414809
2025-02-18,3.6778,3.6955,3.6544,3.6721,879755
2025-02-19,3.6935,3.7416,3.6463,3.6944,572280
2025-02-20,3.6208,3.6321,3.6052,3.6165,475260
2025-02-21,3.6858,3.7378,3.622,3.6738,154889
2025-02-22,3.5843,3.9396,3.3094,3.659,640136
2025-02-23,3.7788,3.8178,3.736,3.775,612748
2025-02-24,3.7248,3.7685,3.6549,3.6984,286892
2025-02-25,3.7663,3.7964,3.7575,3.7876,660889
2025-02-26,3.7791,3.8773,3.7381,3.8357,49536
2025-02-27,3.9769,3.9966,3.9558,3.9755,160490
2025-02-28,4.0112,4.0261,3.9943,4.0092,1175423
2025-03-01,4.056,4.124,4.0179,4.0856,1067909
2025-03-02,4.2673,4.2726,4.2597,4.265,333176
2025-03-03,4.1956,4.1998,4.191,4.1952,472137
2025-03-04,4.1309,4.135,4.1272,4.1313,429870
2025-03-05,4.1787,4.1896,4.1747,4.1856,204281
2025-03-06,4.0586,4.063,4.0481,4.0525,934372
2025-03-07,4.1996,4.2251,4.1489,4.1743,1082437
2025-03-08,4.309,4.3523,4.2541,4.2972,410111
2025-03-09,4.1429,4.1641,4.1277,4.1489,499723
2025-03-10,4.2441,4.3127,4.2022,4.2706,547082
2025-03-11,4.3387,4.4107,4.2321,4.3034,29239
2025-03-12,4.3078,4.4024,4.2415,4.3357,173788
2025-03-13,4.133,4.1757,4.1122,4.1548,101415
2025-03-14,4.0841,4.1226,4.0419,4.0803,82338
2025-03-15,4.0275,4.0601,3.9802,4.0126,853256
2025-03-16,3.943,4.0415,3.8932,3.9911,810016
2025-03-17,3.9384,4.0387,3.8878,3.9874,567757
2025-03-18,4.0353,4.0376,4.0317,4.034,351460
2025-03-19,4.0126,4.0311,3.9916,4.0101,678023
2025-03-20,3.9575,3.965,3.9478,3.9554,332179
2025-03-21,4.0114,4.0236,3.9842,3.9963,414946
2025-03-22,3.9356,4.0807,3.8071,3.9517,912925
2025-03-23,3.8812,3.8869,3.8641,3.8698,577841
2025-03-24,3.9219,4.0084,3.8016,3.8874,673193
2025-03-25,3.9642,4.048,3.8612,3.9446,214012
2025-03-26,3.9268,4.0417,3.8656,3.9796,852299
2025-03-27,4.0454,4.0502,4.035,4.0398,119987
2025-03-28,4.1057,4.1238,4.0779,4.0961,307096
2025-03-29,4.0681,4.112,4.0268,4.0707,201171
2025-03-30,4.0636,4.0756,4.0501,4.0621,386183
2025-03-31,4.146,4.1554,4.1439,4.1534,762763
2025-04-01,4.1137,4.1303,4.0962,4.1128,77679
2025-04-02,4.1939,4.2471,4.1579,4.211,519023
2025-04-03,4.1815,4.1896,4.1701,4.1783,837865
2025-04-04,4.1335,4.1438,4.1185,4.1287,174091
2025-04-05,4.1398,4.1448,4.1391,4.1442,662397
2025-04-06,4.13,4.2328,4.025,4.1277,135041
2025-04-07,4.0218,4.0381,4.0085,4.0248,632724
2025-04-08,3.8642,3.8791,3.8451,3.86,106492
2025-04-09,3.8947,3.9464,3.8825,3.9341,545414
2025-04-10,3.936,3.9872,3.8834,3.9346,48120
2025-04-11,4.0845,4.095,4.0695,4.08,478855
2025-04-12,4.1373,4.1497,4.1309,4.1433,444218
2025-04-13,3.9439,3.9522,3.9394,3.9478,41710
2025-04-14,3.8991,3.9485,3.8359,3.8851,860575
2025-04-15,3.9263,4.037,3.8336,3.9438,750488
2025-04-16,4.0706,4.1788,3.9923,4.1,1047227
