date,open,high,low,close,volume
2025-01-20,0.0149,0.0151,0.0146,0.0149,1185647
2025-01-21,0.015,0.0153,0.0147,0.015,32532
2025-01-22,0.015,0.0162,0.0142,0.0153,978487
2025-01-23,0.0159,0.0166,0.0152,0.0159,270042
2025-01-24,0.0162,0.0167,0.0156,0.0161,375675
2025-01-25,0.0162,0.0164,0.016,0.0162,658061
2025-01-26,0.0163,0.0166,0.0162,0.0165,318959
2025-01-27,0.0163,0.0163,0.0163,0.0163,942631
2025-01-28,0.0158,0.016,0.0158,0.016,555039
2025-01-29,0.0169,0.0172,0.0165,0.0169,69816
2025-01-30,0.0171,0.0175,0.0164,0.0169,997455
2025-01-31,0.0177,0.0177,0.0177,0.0177,526327
2025-02-01,0.0179,0.0179,0.0178,0.0178,935009
2025-02-02,0.0178,0.0179,0.0178,0.0178,726773
2025-02-03,0.0183,0.0189,0.0178,0.0183,459001
2025-02-04,0.0181,0.0181,0.0181,0.0181,410197
2025-02-05,0.0184,0.0186,0.0182,0.0184,58003
2025-02-06,0.0187,0.019,0.0184,0.0187,487505
2025-02-07,0.0185,0.0188,0.0183,0.0185,91872
2025-02-08,0.0185,0.0187,0.0183,0.0185,777430
2025-02-09,0.0183,0.0187,0.018,0.0183,154330
2025-02-10,0.0186,0.0193,0.0178,0.0184,677380
2025-02-11,0.0181,0.0181,0.018,0.0181,650371
2025-02-12,0.0179,0.0182,0.0177,0.018,479814
2025-02-13,0.0178,0.0191,0.0165,0.0178,814713
2025-02-14,0.0172,0.0179,0.0167,0.0174,672117
2025-02-15,0.0177,0.0184,0.017,0.0177,709041
2025-02-16,0.0178,0.0185,0.0173,0.0179,312820
2025-02-17,0.0181,0.0182,0.018,0.0181,604103
2025-02-18,0.0176,0.0176,0.0175,0.0176,544725
2025-02-19,0.0174,0.0175,0.0174,0.0175,421300
2025-02-20,0.0177,0.0183,0.017,0.0177,130766
2025-02-21,0.0179,0.0179,0.0179,0.0179,336776
2025-02-22,0.0182,0.0183,0.018,0.0181,566366
2025-02-23,0.0186,0.0189,0.0184,0.0186,549375
2025-02-24,0.0179,0.0184,0.0176,0.018,184249
2025-02-25,0.0183,0.0183,0.0182,0.0183,651591
2025-02-26,0.018,0.0181,0.0179,0.018,688948
2025-02-27,0.018,0.0182,0.018,0.0181,942409
2025-02-28,0.0184,0.0184,0.0183,0.0183,939538
2025-03-01,0.0188,0.0194,0.0181,0.0186,167388
2025-03-02,0.0185,0.0185,0.0184,0.0185,211167
2025-03-03,0.0189,0.0194,0.0183,0.0188,701842
2025-03-04,0.0188,0.0192,0.0184,0.0187,169081
2025-03-05,0.0192,0.0204,0.0179,0.0191,312370
2025-03-06,0.0193,0.0195,0.0191,0.0193,715127
2025-03-07,0.019,0.0191,0.019,0.0191,68309
2025-03-08,0.0193,0.0199,0.0187,0.0193,575553
2025-03-09,0.0195,0.0195,0.0194,0.0194,177677
2025-03-10,0.0193,0.0194,0.0192,0.0193,376530
2025-03-11,0.0195,0.0208,0.0186,0.0198,255383
2025-03-12,0.0195,0.0197,0.0195,0.0197,157722
2025-03-13,0.0196,0.0201,0.0194,0.0198,632444
2025-03-14,0.0198,0.022,0.0179,0.0201,634541
2025-03-15,0.0203,0.0209,0.0197,0.0203,319333
2025-03-16,0.0199,0.0201,0.0197,0.0198,628036
2025-03-17,0.0198,0.0199,0.0197,0.0198,301035
2025-03-18,0.0206,0.0206,0.0203,0.0203,1035206
2025-03-19,0.0206,0.0208,0.0204,0.0205,49023
2025-03-20,0.0212,0.0216,0.0209,0.0213,737637
2025-03-21,0.0219,0.022,0.0218,0.0219,965728
2025-03-22,0.022,0.0221,0.0219,0.022,228469
2025-03-23,0.0219,0.0223,0.0215,0.0219,327930
2025-03-24,0.0228,0.0229,0.0228,0.0229,548165
2025-03-25,0.0238,0.0239,0.0237,0.0237,89262
2025-03-26,0.0238,0.0238,0.0236,0.0237,258533
2025-03-27,0.0236,0.0238,0.0234,0.0236,647905
2025-03-28,0.0239,0.0247,0.023,0.0238,31537
2025-03-29,0.0238,0.0248,0.0231,0.0242,859827
2025-03-30,0.0239,0.024,0.0238,0.024,754636
2025-03-31,0.0252,0.0254,0.0249,0.0251,417466
2025-04-01,0.0252,0.026,0.0245,0.0253,460578
2025-04-02,0.0254,0.0259,0.0248,0.0253,305195
2025-04-03,0.0257,0.0262,0.0247,0.0252,186640
2025-04-04,0.025,0.0257,0.0243,0.025,82695
2025-04-05,0.0237,0.0237,0.0237,0.0237,218906
2025-04-06,0.0241,0.0241,0.024,0.024,814141
2025-04-07,0.0242,0.0242,0.0241,0.0242,132433
2025-04-08,0.0241,0.0243,0.0239,0.0241,410641
2025-04-09,0.024,0.0242,0.0239,0.024,74576
2025-04-10,0.0235,0.0236,0.0234,0.0235,772651
2025-04-11,0.0231,0.0233,0.023,0.0231,420963
2025-04-12,0.0237,0.0255,0.0219,0.0237,969417
2025-04-13,0.0249,0.025,0.0249,0.0249,550177
2025-04-14,0.0238,0.0246,0.0232,0.024,748955
2025-04-15,0.0234,0.0242,0.0228,0.0236,626541
2025-04-16,0.0235,0.0236,0.0235,0.0235,464614
2025-04-17,0.0237,0.0238,0.0236,0.0237,487363
2025-04-18,0.0241,0.0241,0.0241,0.0241,503088
2025-04-19,0.0249,0.025,0.0249,0.0249,570751
2025-04-20,0.0247,0.0257,0.0234,0.0244,555231
2025-04-21,0.0246,0.0247,0.0244,0.0246,389100
2025-04-22,0.0249,0.025,0.0248,0.0249,261618
2025-04-23,0.0254,0.0255,0.0253,0.0254,949485
2025-04-24,0.0252,0.0261,0.0241,0.025,11168
2025-04-25,0.0249,0.0251,0.0248,0.0249,18742
2025-04-26,0.0249,0.025,0.0248,0.0249,1237287
2025-04-27,0.0244,0.0257,0.0232,0.0245,103442
2025-04-28,0.0246,0.0254,0.024,0.0248,798943
2025-04-29,0.0251,0.0251,0.0251,0.0251,265322
2025-04-30,0.0241,0.0248,0.0235,0.0243,64651
2025-05-01,0.0244,0.0244,0.0242,0.0243,544515
2025-05-02,0.0246,0.0248,0.0244,0.0247,548491
2025-05-03,0.025,0.0253,0.0248,0.0251,24018
2025-05-04,0.026,0.0267,0.0251,0.0259,919621
2025-05-05,0.0261,0.0262,0.026,0.0261,682130
2025-05-06,0.026,0.0263,0.0258,0.0261,20329
2025-05-07,0.0262,0.0264,0.0261,0.0262,126892
2025-05-08,0.0259,0.026,0.0259,0.026,350657
2025-05-09,0.0257,0.0257,0.0256,0.0257,288976
2025-05-10,0.0253,0.0253,0.0252,0.0253,367526
2025-05-11,0.025,0.0253,0.0247,0.025,955735
