date,open,high,low,close,volume
2025-01-20,22.9104,22.9851,22.8878,22.9624,144757
2025-01-21,22.4103,22.6001,22.195,22.3847,158283
2025-01-22,22.7416,22.7686,22.7212,22.7483,75116
2025-01-23,22.4875,22.9655,22.3477,22.8236,192801
2025-01-24,22.8845,22.9696,22.8137,22.8989,670084
2025-01-25,23.1183,23.1603,23.0771,23.1191,426814
2025-01-26,22.5012,22.6624,22.4593,22.6203,526919
2025-01-27,22.0047,22.067,21.9864,22.0486,277642
2025-01-28,22.6827,22.7908,22.6796,22.7877,195487
2025-01-29,22.8404,23.0988,22.5589,22.8169,247161
2025-01-30,22.21,22.212,22.21,22.2119,115957
2025-01-31,22.1203,22.3635,21.621,21.8614,517125
2025-02-01,21.5111,21.5154,21.4232,21.4274,582485
2025-02-02,21.9154,21.9586,21.8623,21.9054,61432
2025-02-03,22.0363,22.5664,21.3651,21.8917,485233
2025-02-04,21.5019,21.9062,21.1872,21.5902,496876
2025-02-05,21.7941,21.9505,21.5731,21.7291,1284949
2025-02-06,21.7914,22.9767,20.3453,21.5155,1202966
2025-02-07,21.1083,21.8732,20.2319,20.9926,50261
2025-02-08,21.5109,22.2277,20.7587,21.4742,104373
2025-02-09,20.9404,20.9545,20.928,20.9421,298613
2025-02-10,20.8212,21.1245,20.3916,20.693,347691
2025-02-11,21.0913,21.1101,21.0782,21.0969,400700
2025-02-12,21.1802,21.271,21.1033,21.1939,368514
2025-02-13,20.9519,21.343,20.7433,21.1325,510049
2025-02-14,22.0078,22.6949,21.0342,21.7121,481695
2025-02-15,20.9021,22.4624,19.2153,20.7655,964044
2025-02-16,20.6731,21.0522,20.4313,20.8088,351109
2025-02-17,21.1451,21.8428,20.5562,21.2509,839950
2025-02-18,21.7073,21.7232,21.7024,21.7184,424392
2025-02-19,21.6922,21.7701,21.5612,21.6389,489520
2025-02-20,21.3886,21.5336,21.3535,21.4984,288124
2025-02-21,20.8972,21.3096,20.4542,20.8661,809605
2025-02-22,21.1449,21.1859,21.0557,21.0965,293978
2025-02-23,20.2619,20.6934,19.956,20.3856,1128048
2025-02-24,20.5293,20.6023,20.3907,20.4635,238555
2025-02-25,20.2031,20.6149,19.7938,20.2055,751120
2025-02-26,19.9478,20.5997,19.3762,20.0259,282590
2025-02-27,19.206,19.5896,19.0109,19.3925,524002
2025-02-28,19.1938,19.3447,19.1813,19.3321,673510
2025-03-01,19.3659,19.5643,19.2809,19.4788,259856
2025-03-02,19.6893,20.3276,18.9819,19.6178,46059
2025-03-03,19.7376,19.8092,19.6706,19.7422,1125969
2025-03-04,19.7958,19.9654,19.6943,19.8635,1162528
2025-03-05,19.8023,20.1124,19.4713,19.781,77712
2025-03-06,19.237,20.1724,18.5271,19.4545,160551
2025-03-07,19.5094,19.5814,19.4532,19.5251,338678
2025-03-08,19.968,20.0288,19.5404,19.6001,448783
2025-03-09,19.392,19.706,19.2485,19.5612,100238
2025-03-10,18.5419,18.7238,18.2118,18.3923,724098
2025-03-11,18.5021,18.566,18.4789,18.5427,147914
2025-03-12,18.1621,18.311,18.0676,18.2162,1020523
2025-03-13,18.0932,18.4515,17.8544,18.2112,104072
2025-03-14,17.9634,18.0434,17.8546,17.9344,61098
2025-03-15,17.8453,18.6318,17.2412,18.0217,166474
2025-03-16,17.9801,18.0471,17.9632,18.0302,845250
2025-03-17,18.4685,18.5936,18.2926,18.4174,1308602
2025-03-18,18.4548,18.7229,18.2498,18.5172,169871
2025-03-19,18.5083,19.3515,17.7573,18.5969,879273
2025-03-20,18.1778,18.2296,18.1293,18.1811,878928
2025-03-21,18.9228,19.0159,18.8579,18.9509,217928
2025-03-22,19.4863,19.722,19.2095,19.4447,544744
2025-03-23,20.4479,20.708,20.149,20.4086,496959
2025-03-24,21.2248,21.2332,21.1007,21.1091,198120
2025-03-25,21.5759,22.2337,20.788,21.4416,225026
2025-03-26,21.7566,22.2269,21.1199,21.5866,1026930
2025-03-27,21.156,21.3122,21.1071,21.263,192256
2025-03-28,21.3204,21.8579,20.7155,21.2513,838417
2025-03-29,21.4385,21.589,21.3089,21.4592,344629
2025-03-30,21.306,21.3171,21.2035,21.2146,350701
2025-03-31,21.6839,21.9799,21.4243,21.7198,377687
2025-04-01,21.2306,21.8465,20.705,21.3187,1242210
2025-04-02,21.3427,22.0067,20.8499,21.5101,145636
2025-04-03,21.445,21.6451,21.2051,21.4048,571370
2025-04-04,21.4803,21.6952,21.262,21.4768,115103
2025-04-05,21.6395,22.0027,20.9823,21.3404,1270681
2025-04-06,21.0698,21.9964,20.0389,20.9607,174093
2025-04-07,20.1031,20.2343,20.0567,20.1876,1044140
2025-04-08,20.2993,20.3282,20.2715,20.3004,255837
2025-04-09,20.3312,20.9413,19.8058,20.4138,106112
2025-04-10,20.1915,20.5316,19.9236,20.2627,362008
2025-04-11,19.8438,19.8737,19.8062,19.8361,33864
2025-04-12,20.1791,20.2313,20.1085,20.1606,324983
2025-04-13,19.8956,21.0341,18.7602,19.8986,239213
2025-04-14,19.3349,19.5717,19.0231,19.259,466267
2025-04-15,18.9714,18.9861,18.9556,18.9703,910299
2025-04-16,18.7311,19.1081,18.5009,18.8761,1155935
2025-04-17,19.1648,19.6986,18.6132,19.1465,701731
2025-04-18,18.7016,18.7872,18.5524,18.6377,1085237
2025-04-19,18.8965,18.9437,18.8721,18.9193,456102
2025-04-20,18.8196,18.8739,18.7741,18.8284,26780
2025-04-21,19.22,19.891,18.6594,19.3272,18362
2025-04-22,19.3075,19.6563,19.0442,19.3919,533162
2025-04-23,19.0738,19.4683,18.6847,19.0791,1028621
2025-04-24,19.2056,19.8402,18.7567,19.3871,549729
2025-04-25,18.9949,19.0315,18.9535,18.9901,494891
2025-04-26,18.4716,18.5897,18.3487,18.4667,121776
2025-04-27,17.7541,17.8816,17.5923,17.7196,62848
2025-04-28,17.5256,17.7055,17.2694,17.4485,784603
2025-04-29,17.4385,17.4593,17.4302,17.451,770166
