date,open,high,low,close,volume
2025-01-20,3.2357,3.2595,3.208,3.2318,398873
2025-01-21,3.2744,3.2775,3.2727,3.2757,464141
2025-01-22,3.1898,3.3713,3.0282,3.2088,446649
2025-01-23,3.1494,3.1502,3.1486,3.1494,420730
2025-01-24,3.1728,3.1731,3.1709,3.1713,647100
2025-01-25,3.1589,3.1968,3.121,3.1589,480851
2025-01-26,3.1793,3.1835,3.1771,3.1813,56496
2025-01-27,3.2358,3.2637,3.1867,3.2145,514783
2025-01-28,3.2807,3.2953,3.268,3.2825,494279
2025-01-29,3.2709,3.2771,3.2661,3.2724,1038294
2025-01-30,3.2179,3.3047,3.1559,3.2422,423301
2025-01-31,3.2378,3.2475,3.1941,3.2037,121568
2025-02-01,3.1675,3.1829,3.1513,3.1666,619615
2025-02-02,3.0355,3.0672,2.9883,3.0198,287675
2025-02-03,3.0457,3.0809,3.0217,3.0569,69172
2025-02-04,2.9988,3.0116,2.9872,3.0,34813
2025-02-05,2.989,2.9922,2.989,2.9922,636788
2025-02-06,2.9352,2.9382,2.9317,2.9347,184079
2025-02-07,2.8744,2.8858,2.8594,2.8708,1009732
2025-02-08,2.8034,2.8058,2.8001,2.8026,595120
2025-02-09,2.8167,2.8832,2.7195,2.7853,623229
2025-02-10,2.8076,2.8475,2.7558,2.7956,10724
2025-02-11,2.722,2.7271,2.7208,2.7259,716397
2025-02-12,2.7004,2.7248,2.6749,2.6993,39988
2025-02-13,2.7808,2.9503,2.6211,2.7901,58366
2025-02-14,2.8644,2.8646,2.8634,2.8637,283128
2025-02-15,2.8108,2.8201,2.7932,2.8025,315891
2025-02-16,2.7636,2.8689,2.6808,2.7854,547262
2025-02-17,2.8153,2.8353,2.7884,2.8083,388699
2025-02-18,2.9226,2.9249,2.9223,2.9245,829614
2025-02-19,2.944,2.9461,2.9073,2.9093,455334
2025-02-20,2.8692,2.9495,2.8057,2.8856,49910
2025-02-21,2.884,2.9371,2.8334,2.8865,244980
