date,open,high,low,close,volume
2025-01-20,0.8768,0.9173,0.8238,0.8637,1280932
2025-01-21,0.8521,0.8789,0.8215,0.8481,656043
2025-01-22,0.8061,0.8443,0.7742,0.8122,424717
2025-01-23,0.8088,0.8098,0.8076,0.8087,304551
2025-01-24,0.8295,0.8352,0.8236,0.8293,798714
2025-01-25,0.8206,0.829,0.8073,0.8157,550841
2025-01-26,0.8346,0.8348,0.8345,0.8347,929846
2025-01-27,0.8535,0.8856,0.8191,0.8511,124256
2025-01-28,0.8494,0.8605,0.8336,0.8447,303083
2025-01-29,0.8359,0.8487,0.8161,0.8288,562877
2025-01-30,0.8506,0.8673,0.8327,0.8493,660086
2025-01-31,0.848,0.8523,0.8442,0.8485,62746
2025-02-01,0.831,0.8668,0.7838,0.8191,205036
2025-02-02,0.8268,0.8292,0.8222,0.8246,1160089
2025-02-03,0.8063,0.8212,0.8009,0.8158,1230437
2025-02-04,0.8368,0.8758,0.7906,0.8293,853340
2025-02-05,0.8093,0.8223,0.794,0.807,238212
2025-02-06,0.7782,0.7842,0.7768,0.7828,341984
2025-02-07,0.7826,0.8024,0.7628,0.7826,192963
2025-02-08,0.7846,0.8527,0.7117,0.7793,152668
2025-02-09,0.776,0.7994,0.7459,0.7691,44461
2025-02-10,0.7583,0.7739,0.7396,0.7551,568331
2025-02-11,0.7657,0.7662,0.7605,0.761,699330
2025-02-12,0.7434,0.7496,0.7402,0.7464,237852
2025-02-13,0.7326,0.7405,0.7245,0.7324,596192
2025-02-14,0.7384,0.7407,0.7376,0.7399,373314
2025-02-15,0.7542,0.7568,0.7512,0.7538,153870
2025-02-16,0.7697,0.7736,0.7629,0.7668,777047
2025-02-17,0.775,0.7826,0.7686,0.7762,715107
2025-02-18,0.7931,0.8081,0.7756,0.7905,426812
2025-02-19,0.7865,0.788,0.7838,0.7853,473827
2025-02-20,0.7921,0.798,0.7829,0.7887,96713
2025-02-21,0.7864,0.7909,0.7834,0.7879,695905
2025-02-22,0.7964,0.799,0.7943,0.7969,173131
2025-02-23,0.7789,0.8015,0.761,0.7835,487371
2025-02-24,0.8045,0.8139,0.7893,0.7986,114910
2025-02-25,0.8439,0.9055,0.7723,0.8332,810233
2025-02-26,0.8543,0.8587,0.8495,0.8539,666165
2025-02-27,0.8637,0.8893,0.8341,0.8596,867532
2025-02-28,0.8535,0.858,0.8481,0.8526,70870
2025-03-01,0.8553,0.8566,0.851,0.8523,9072
2025-03-02,0.8673,0.8774,0.8569,0.867,779338
2025-03-03,0.8709,0.8738,0.8646,0.8674,946729
2025-03-04,0.8619,0.8798,0.848,0.8659,486439
2025-03-05,0.8461,0.8908,0.7979,0.8424,30109
2025-03-06,0.8756,0.8771,0.8745,0.876,219319
2025-03-07,0.8769,0.877,0.8767,0.8768,405340
2025-03-08,0.8987,0.899,0.8907,0.891,702274
