date,open,high,low,close,volume
2025-01-20,1.5084,1.5232,1.4999,1.5147,867345
2025-01-21,1.5445,1.5751,1.5227,1.5532,181770
2025-01-22,1.5341,1.5609,1.5138,1.5405,423889
2025-01-23,1.5365,1.5507,1.5282,1.5424,358489
2025-01-24,1.457,1.4911,1.4363,1.4702,302805
2025-01-25,1.4622,1.5234,1.391,1.4518,542563
2025-01-26,1.4386,1.4818,1.4101,1.453,105785
2025-01-27,1.3735,1.3861,1.3608,1.3734,189391
2025-01-28,1.3399,1.3929,1.2934,1.3462,226393
2025-01-29,1.3609,1.3649,1.3591,1.3631,709955
2025-01-30,1.3541,1.3563,1.351,1.3531,453583
2025-01-31,1.4152,1.4256,1.4062,1.4165,749072
2025-02-01,1.4037,1.5292,1.2991,1.4231,502941
2025-02-02,1.397,1.4115,1.3776,1.392,1072013
2025-02-03,1.3606,1.3613,1.3587,1.3595,723745
2025-02-04,1.33,1.3547,1.3043,1.3289,99379
2025-02-05,1.3508,1.3579,1.3442,1.3513,6467
2025-02-06,1.3465,1.3482,1.3334,1.3351,902240
2025-02-07,1.3257,1.3323,1.3191,1.3257,624063
2025-02-08,1.2979,1.3533,1.2707,1.3255,555876
2025-02-09,1.2838,1.2855,1.2819,1.2837,419479
2025-02-10,1.3031,1.3087,1.3001,1.3057,754656
2025-02-11,1.3185,1.3349,1.2979,1.3143,579489
2025-02-12,1.3199,1.3209,1.3166,1.3176,292255
2025-02-13,1.3175,1.322,1.3105,1.315,344018
2025-02-14,1.3064,1.4181,1.1849,1.2958,1403710
2025-02-15,1.3102,1.332,1.2909,1.3126,146388
2025-02-16,1.2967,1.2979,1.2953,1.2965,819513
2025-02-17,1.2932,1.294,1.2921,1.2929,855522
2025-02-18,1.3047,1.3284,1.2811,1.3048,1034310
2025-02-19,1.2869,1.3161,1.2544,1.2835,958654
2025-02-20,1.3023,1.316,1.2988,1.3125,810401
2025-02-21,1.2863,1.3097,1.2585,1.2818,548516
2025-02-22,1.2648,1.3068,1.2317,1.2735,471028
2025-02-23,1.242,1.2614,1.2312,1.2505,246472
2025-02-24,1.2612,1.2866,1.2383,1.2637,287106
2025-02-25,1.2418,1.2583,1.2276,1.2441,1150689
2025-02-26,1.2257,1.2479,1.2014,1.2235,278495
2025-02-27,1.2029,1.212,1.19,1.1991,382885
2025-02-28,1.217,1.2547,1.1667,1.204,201893
2025-03-01,1.1983,1.221,1.1936,1.2162,338085
2025-03-02,1.1978,1.2361,1.1689,1.207,285539
