date,open,high,low,close,volume
2025-01-20,1.1566,1.158,1.1557,1.157,619030
2025-01-21,1.1465,1.1475,1.1394,1.1404,627173
2025-01-22,1.1367,1.1545,1.1363,1.1541,773778
2025-01-23,1.1447,1.1705,1.1172,1.1429,1079626
2025-01-24,1.1615,1.1665,1.1578,1.1628,96568
2025-01-25,1.1754,1.1843,1.1739,1.1827,378715
2025-01-26,1.166,1.1668,1.1651,1.1659,518187
2025-01-27,1.1478,1.1738,1.1303,1.1562,982240
2025-01-28,1.1548,1.1632,1.14,1.1484,752164
2025-01-29,1.1692,1.181,1.1538,1.1656,90925
2025-01-30,1.1767,1.1792,1.1725,1.175,70330
2025-01-31,1.1592,1.1605,1.1551,1.1564,29218
2025-02-01,1.1398,1.1423,1.1375,1.1401,746045
2025-02-02,1.1715,1.1871,1.1561,1.1717,128258
2025-02-03,1.1594,1.1733,1.1513,1.1653,650947
2025-02-04,1.1661,1.1841,1.152,1.17,445512
2025-02-05,1.1739,1.2013,1.1491,1.1765,219102
2025-02-06,1.1895,1.1959,1.1753,1.1817,440175
2025-02-07,1.1322,1.1702,1.0961,1.134,991208
2025-02-08,1.1227,1.1717,1.0716,1.1205,1164190
2025-02-09,1.1145,1.166,1.0736,1.1248,511246
2025-02-10,1.1156,1.1556,1.0714,1.1113,173046
2025-02-11,1.1016,1.1201,1.0819,1.1005,331082
2025-02-12,1.125,1.1336,1.1101,1.1186,194972
2025-02-13,1.1303,1.1452,1.1158,1.1307,385216
2025-02-14,1.1451,1.1458,1.1445,1.1452,367822
2025-02-15,1.1123,1.2158,1.0246,1.127,315638
2025-02-16,1.136,1.1376,1.1339,1.1355,327543
2025-02-17,1.1368,1.14,1.1334,1.1366,554696
2025-02-18,1.124,1.1355,1.1035,1.1149,178190
2025-02-19,1.0877,1.0891,1.0862,1.0876,1147283
2025-02-20,1.1046,1.1196,1.0786,1.0935,521742
2025-02-21,1.1078,1.1108,1.106,1.1091,1242844
2025-02-22,1.1377,1.1429,1.1329,1.138,571225
2025-02-23,1.118,1.1493,1.0855,1.1168,1038599
2025-02-24,1.0872,1.095,1.0813,1.0891,266441
2025-02-25,1.1157,1.1278,1.1117,1.1237,718049
2025-02-26,1.0835,1.1649,1.0181,1.0985,313414
2025-02-27,1.0471,1.0509,1.0418,1.0456,578129
2025-02-28,1.0799,1.1388,1.0097,1.068,1172314
2025-03-01,1.0739,1.137,1.0072,1.0701,68505
2025-03-02,1.077,1.0834,1.073,1.0795,578222
2025-03-03,1.0613,1.0679,1.0534,1.06,1287231
2025-03-04,1.0733,1.0734,1.0733,1.0733,811869
2025-03-05,1.0486,1.136,0.974,1.0605,51061
2025-03-06,1.0764,1.0779,1.0752,1.0767,62522
2025-03-07,1.0686,1.0822,1.0522,1.0658,273659
2025-03-08,1.0354,1.0382,1.0321,1.0349,957971
2025-03-09,0.9937,1.0294,0.9604,0.996,373904
2025-03-10,1.0065,1.0066,1.0004,1.0005,420383
2025-03-11,0.9878,0.9924,0.9843,0.9889,1062816
2025-03-12,0.9648,1.0198,0.9078,0.9626,758184
2025-03-13,1.0026,1.0087,0.9823,0.9883,528938
2025-03-14,1.0119,1.024,0.999,1.0111,540596
2025-03-15,1.0294,1.0601,0.9856,1.0159,80393
2025-03-16,0.9955,1.0401,0.9646,1.0087,766140
2025-03-17,1.0241,1.058,0.9892,1.0231,132804
2025-03-18,1.0128,1.0318,1.0022,1.0211,269918
2025-03-19,1.0197,1.0414,1.0034,1.025,318298
2025-03-20,1.0319,1.0372,1.0269,1.0322,641629
2025-03-21,1.0318,1.0451,1.014,1.0272,22507
2025-03-22,1.0169,1.0191,1.0141,1.0163,720066
2025-03-23,1.0196,1.0331,1.0056,1.0191,518412
2025-03-24,1.0635,1.099,1.0372,1.0725,374751
2025-03-25,1.0833,1.0889,1.0795,1.0852,973500
2025-03-26,1.0856,1.0953,1.0708,1.0804,1206597
2025-03-27,1.0771,1.0961,1.0568,1.0758,1323197
2025-03-28,1.0693,1.086,1.042,1.0584,333808
2025-03-29,1.0482,1.0561,1.0385,1.0463,1082473
2025-03-30,1.0072,1.023,0.9945,1.0102,576171
2025-03-31,1.0035,1.054,0.9792,1.029,1267113
2025-04-01,1.0247,1.0274,1.0187,1.0214,790208
2025-04-02,1.0238,1.0277,1.0169,1.0208,206002
2025-04-03,1.0213,1.0259,1.0157,1.0203,383585
2025-04-04,1.0094,1.0245,0.9954,1.0105,388174
2025-04-05,1.0163,1.0174,1.0067,1.0078,715666
2025-04-06,0.9817,0.9976,0.9704,0.9862,878145
2025-04-07,1.0341,1.0346,1.0314,1.0319,247052
