date,open,high,low,close,volume
2025-01-20,2.474,2.5011,2.4398,2.4668,219722
2025-01-21,2.4768,2.4839,2.4752,2.4823,587015
2025-01-22,2.4836,2.5365,2.4166,2.4692,414056
2025-01-23,2.4104,2.4795,2.355,2.4239,1098686
2025-01-24,2.3511,2.4646,2.2677,2.3802,687897
2025-01-25,2.3512,2.366,2.3373,2.3521,1242950
2025-01-26,2.3119,2.3151,2.304,2.3073,733532
2025-01-27,2.3208,2.3703,2.2582,2.3074,183338
2025-01-28,2.3329,2.3488,2.3058,2.3216,864209
2025-01-29,2.268,2.2799,2.2551,2.267,590504
2025-01-30,2.2494,2.2501,2.2489,2.2495,270023
2025-01-31,2.2398,2.2475,2.2333,2.2409,563477
2025-02-01,2.2241,2.2242,2.2238,2.2238,437867
2025-02-02,2.2221,2.2239,2.2071,2.2088,503983
2025-02-03,2.2141,2.2425,2.1784,2.2067,298088
2025-02-04,2.2294,2.3495,2.0848,2.2035,811260
2025-02-05,2.1793,2.1907,2.1558,2.1672,289108
2025-02-06,2.2006,2.2068,2.1856,2.1918,54960
2025-02-07,2.0988,2.1695,2.0347,2.1052,623200
2025-02-08,2.1289,2.1444,2.1181,2.1335,906302
2025-02-09,2.0621,2.0636,2.0478,2.0493,509072
2025-02-10,2.022,2.1292,1.9185,2.0255,774682
2025-02-11,2.0293,2.0334,2.0241,2.0283,974175
2025-02-12,2.0121,2.0149,2.0051,2.008,357387
2025-02-13,2.0224,2.1517,1.9202,2.0482,1437433
2025-02-14,2.1133,2.1252,2.0586,2.0702,185196
2025-02-15,2.0458,2.0564,2.0336,2.0442,37150
2025-02-16,2.0168,2.0587,1.9866,2.0283,130942
2025-02-17,2.0786,2.1114,2.0428,2.0755,567616
2025-02-18,2.0176,2.0701,1.9955,2.0477,1107914
2025-02-19,2.0492,2.097,1.9858,2.0332,978051
2025-02-20,2.0952,2.1131,2.074,2.0918,74748
2025-02-21,2.1188,2.1212,2.1144,2.1168,578821
2025-02-22,2.1199,2.1209,2.1192,2.1201,327893
2025-02-23,2.149,2.1731,2.1307,2.1547,118168
2025-02-24,2.1363,2.1411,2.1248,2.1296,163218
2025-02-25,2.1707,2.1859,2.1294,2.1445,48141
2025-02-26,2.1547,2.1726,2.147,2.1649,187663
2025-02-27,2.1871,2.2506,2.1195,2.1828,279014
2025-02-28,2.1978,2.2722,2.1519,2.2257,596858
2025-03-01,2.217,2.2175,2.2169,2.2174,789620
2025-03-02,2.1941,2.2107,2.1784,2.195,40729
2025-03-03,2.1755,2.2076,2.1582,2.1901,513738
2025-03-04,2.2581,2.2785,2.2322,2.2526,450522
2025-03-05,2.1644,2.358,1.9996,2.1911,207156
2025-03-06,2.158,2.1785,2.1429,2.1634,571039
2025-03-07,2.2323,2.2815,2.1911,2.2402,193343
2025-03-08,2.2759,2.3126,2.2272,2.2638,711491
2025-03-09,2.2269,2.2892,2.179,2.241,291275
2025-03-10,2.3119,2.3425,2.2694,2.2999,163834
2025-03-11,2.3413,2.3454,2.3379,2.342,12478
2025-03-12,2.3196,2.3295,2.309,2.319,588147
2025-03-13,2.3661,2.4537,2.2742,2.3616,474764
2025-03-14,2.368,2.3706,2.3636,2.3662,97745
2025-03-15,2.3133,2.3415,2.2803,2.3084,1071858
2025-03-16,2.3407,2.3421,2.3382,2.3396,767345
2025-03-17,2.2813,2.3074,2.2551,2.2812,1364910
2025-03-18,2.2107,2.2948,2.1459,2.2294,26205
2025-03-19,2.2524,2.2742,2.2422,2.264,897180
2025-03-20,2.2174,2.3357,2.1258,2.243,739903
