date,open,high,low,close,volume
2025-01-20,315.5532,317.6112,312.3274,314.3777,370279
2025-01-21,320.255,321.0369,317.1463,317.9225,682741
2025-01-22,334.4682,340.0167,327.6239,333.1506,216048
2025-01-23,326.6663,332.8685,321.9041,328.0855,946728
2025-01-24,318.6444,322.7991,314.3117,318.4641,178574
2025-01-25,311.1693,329.5,297.3513,315.4901,312534
2025-01-26,317.6979,317.8561,316.7411,316.8989,205152
2025-01-27,314.6432,319.9175,309.3595,314.6336,664973
2025-01-28,307.4653,307.4743,307.4573,307.4662,341138
2025-01-29,308.4085,310.2635,308.1109,309.9644,545886
2025-01-30,313.3407,322.8312,301.4951,310.9121,135743
2025-01-31,305.6245,309.7734,303.5495,307.6844,868108
2025-02-01,306.1841,313.3533,300.4435,307.5864,966404
2025-02-02,303.202,303.2022,302.3656,302.3658,1363496
2025-02-03,305.8947,309.796,301.0098,304.8984,19683
2025-02-04,302.5382,305.416,298.8822,301.7526,56149
2025-02-05,301.5008,303.0247,298.9902,300.5092,544232
2025-02-06,302.8448,304.5234,301.5532,303.2301,752425
2025-02-07,303.8467,312.1089,296.7122,304.9485,11902
2025-02-08,310.6419,311.6975,309.5796,310.6352,164901
2025-02-09,307.7814,310.3254,307.3764,309.9176,639589
2025-02-10,310.0253,312.2834,307.9704,310.2272,161406
2025-02-11,296.101,303.2003,291.5914,298.6519,270627
2025-02-12,307.0924,309.4925,303.4884,305.8789,540522
2025-02-13,307.0512,308.333,305.7548,307.0366,335322
2025-02-14,310.9588,312.3383,309.7928,311.1715,62421
2025-02-15,311.8383,325.7418,300.7669,314.5733,231925
2025-02-16,310.3964,312.0652,307.6719,309.3349,464360
2025-02-17,302.9745,322.7204,286.7549,306.3216,297684
2025-02-18,307.0529,311.6547,301.183,305.7655,1198612
2025-02-19,310.2947,310.4563,310.0761,310.2378,573144
2025-02-20,306.8976,308.0274,306.1636,307.2925,474509
2025-02-21,305.8514,321.3597,289.3269,304.7809,192922
2025-02-22,308.0031,311.5251,303.9302,307.4458,245999
2025-02-23,293.1378,293.4186,293.046,293.3268,565680
2025-02-24,285.4877,288.4543,283.9884,286.9472,570345
