date,open,high,low,close,volume
2025-01-20,352.5883,368.9578,340.8174,357.0383,173301
2025-01-21,352.0653,352.5808,351.9984,352.5139,635752
2025-01-22,363.8961,365.1867,362.4329,363.7229,389615
2025-01-23,356.3733,362.0649,350.0169,355.6976,1158140
2025-01-24,357.9738,358.2839,357.5231,357.833,785371
2025-01-25,362.5027,362.5617,361.3061,361.365,46498
2025-01-26,356.5273,368.4313,349.1776,360.9896,559597
2025-01-27,367.1954,371.1225,364.4846,368.4028,115606
2025-01-28,358.8826,359.315,358.285,358.7172,1074170
2025-01-29,352.9396,355.1756,351.7551,353.9876,330243
2025-01-30,354.3369,357.7671,350.3279,353.7525,383447
2025-01-31,343.8305,348.9022,337.5335,342.5868,430569
2025-02-01,344.5639,348.5115,340.5278,344.4744,486750
2025-02-02,336.7574,337.1864,335.9925,336.421,38950
2025-02-03,326.7476,356.7357,301.7518,331.3851,40307
2025-02-04,328.5268,329.0483,328.0737,328.595,21444
2025-02-05,324.8141,335.4146,319.2713,329.7868,706838
2025-02-06,320.3052,326.8689,314.7131,321.2602,275691
2025-02-07,319.3895,321.0539,318.575,320.2372,778779
2025-02-08,323.9311,325.2802,319.6499,320.9867,210493
2025-02-09,320.4789,322.3613,320.174,322.0548,637254
2025-02-10,331.6867,332.9775,330.7818,332.0716,677241
2025-02-11,335.7962,339.6163,334.0486,337.858,696796
2025-02-12,345.8809,348.7519,339.7915,342.6356,427451
2025-02-13,340.6431,351.5192,327.0054,337.7904,252235
2025-02-14,347.0468,366.9664,328.4539,348.3061,530199
2025-02-15,352.5051,357.5992,347.6152,352.7066,738525
2025-02-16,360.5993,368.1349,350.7911,358.2782,51494
2025-02-17,369.2518,378.9943,355.7399,365.3802,371851
2025-02-18,357.3506,358.246,356.7591,357.6539,689188
2025-02-19,374.2334,374.2341,374.2317,374.2324,333253
2025-02-20,365.9642,366.1788,362.7558,362.9687,365735
2025-02-21,360.6173,360.7392,360.4735,360.5953,32923
2025-02-22,361.4916,361.5429,361.3611,361.4123,67773
2025-02-23,359.5077,362.1674,354.7517,357.3958,126721
2025-02-24,361.4309,363.4214,359.6393,361.6288,253912
2025-02-25,356.5269,360.6768,352.0602,356.2063,1159985
2025-02-26,357.0103,359.6776,356.7355,359.4009,309451
2025-02-27,366.81,367.2017,364.731,365.1208,999009
2025-02-28,366.4033,388.3981,346.7408,368.6169,709941
2025-03-01,376.2864,386.9767,358.2405,368.7156,51102
2025-03-02,375.0322,375.0411,374.7227,374.7316,476629
2025-03-03,367.2734,368.0908,366.2299,367.0468,512076
2025-03-04,360.9274,365.5306,360.1722,364.7674,400223
2025-03-05,367.2555,367.3252,367.1153,367.185,1241470
2025-03-06,365.1926,372.0321,359.7853,366.6039,1162549
2025-03-07,367.5004,370.6548,362.6017,365.7411,1370034
2025-03-08,356.351,356.9057,355.9998,356.5542,693284
2025-03-09,349.9733,353.0807,347.3001,350.4042,205264
2025-03-10,354.2187,354.373,354.0677,354.222,370478
2025-03-11,363.5623,366.1338,361.6048,364.173,365737
2025-03-12,369.3465,373.4866,364.2371,368.3662,332895
2025-03-13,368.686,378.5345,358.6848,368.5291,890583
2025-03-14,361.4059,364.7913,358.8486,362.2281,783415
2025-03-15,367.3387,372.8992,361.6971,367.2564,621471
2025-03-16,377.2589,377.7138,376.9544,377.4092,969772
2025-03-17,387.2004,394.2163,377.2808,384.2432,623127
2025-03-18,387.7706,390.4634,387.0253,389.7143,264410
2025-03-19,375.261,415.8983,342.7303,382.7209,132603
2025-03-20,375.7278,377.8203,373.0969,375.1864,183205
2025-03-21,377.4655,382.9793,369.2695,374.7436,356077
2025-03-22,372.635,380.1225,363.255,370.7037,250880
2025-03-23,367.2339,367.6526,366.9558,367.3744,631012
2025-03-24,363.3872,370.0299,361.3319,367.9488,1236800
2025-03-25,354.0271,354.5468,353.5538,354.0734,321809
2025-03-26,349.0922,352.4464,347.4226,350.7688,1015188
2025-03-27,347.9125,365.534,328.4888,346.0142,66329
2025-03-28,336.7624,354.0695,324.7227,341.848,670595
2025-03-29,330.5864,330.8748,326.4729,326.758,1028714
2025-03-30,333.1035,352.649,311.2126,330.612,634506
2025-03-31,326.1918,326.7011,325.3789,325.8877,56399
2025-04-01,324.1146,325.9304,321.9942,323.8083,224789
2025-04-02,315.9484,321.6501,312.1452,317.8243,480811
2025-04-03,311.7858,312.0991,311.1654,311.4784,203052
2025-04-04,313.2049,332.529,292.5631,311.8005,898064
2025-04-05,311.8891,313.8173,310.3201,312.2466,766468
2025-04-06,310.475,316.7619,299.2863,305.4718,351422
2025-04-07,317.7772,318.1796,316.8657,317.2675,134271
2025-04-08,323.283,326.2923,318.6902,321.6846,665997
2025-04-09,325.7359,326.767,323.4234,324.4505,1131960
2025-04-10,329.0722,329.4363,326.0571,326.4183,102458
2025-04-11,325.1572,328.0741,322.6791,325.5927,296364
2025-04-12,326.8353,332.2905,323.4178,328.8519,377688
2025-04-13,331.1089,336.8743,327.1593,332.9033,726276
2025-04-14,329.6172,335.9585,325.883,332.1951,106616
2025-04-15,333.5536,340.1858,329.9445,336.5443,505440
2025-04-16,348.3313,350.0189,346.2338,347.9194,1121988
2025-04-17,349.6998,354.0417,343.5763,347.8957,146039
2025-04-18,349.0856,351.7297,346.445,349.089,9342
2025-04-19,350.7698,373.4885,326.9934,349.6388,439380
2025-04-20,342.9262,344.4999,342.8418,344.4151,96469
2025-04-21,340.242,347.4546,336.1913,343.3668,530348
2025-04-22,341.6779,364.1794,314.4071,336.5723,419163
2025-04-23,332.2822,336.3678,329.4771,333.552,575515
2025-04-24,348.1156,354.2781,338.2185,344.3137,40504
2025-04-25,343.6391,344.3209,342.4603,343.1411,638561
2025-04-26,344.1064,346.1069,342.9229,344.9207,142608
2025-04-27,334.6435,335.9558,333.1105,334.422,623370
2025-04-28,340.4276,345.2415,334.5029,339.3009,310828
2025-04-29,348.9332,349.1188,348.7112,348.8968,532997
2025-04-30,343.8424,348.2005,340.2599,344.61,1161700
2025-05-01,344.8398,354.1087,335.9008,345.1613,535304
2025-05-02,350.5692,357.5887,343.5542,350.5736,543434
2025-05-03,376.9229,377.4945,376.5437,377.1151,321392
2025-05-04,399.772,405.8514,390.5501,396.5809,389981
2025-05-05,408.97,413.5504,403.4225,407.9919,39197
2025-05-06,436.8496,458.5986,412.2906,433.8923,167029
2025-05-07,438.5939,441.2844,435.5836,438.2721,669303
2025-05-08,429.5593,449.5145,413.4745,433.29,373414
2025-05-09,435.7863,459.8629,413.7021,437.6826,930598
2025-05-10,441.2909,444.3464,439.8795,442.9297,699659
2025-05-11,433.5055,437.0441,431.96,435.4915,318878
2025-05-12,456.6407,469.9709,441.0653,454.3281,867235
2025-05-13,438.391,442.7871,435.3372,439.724,382299
2025-05-14,424.7712,430.4659,423.0536,428.7323,1187609
2025-05-15,423.4039,424.478,422.8446,423.918,1234252
2025-05-16,432.7445,433.3963,431.6003,432.2514,781675
2025-05-17,425.653,427.7911,423.7421,425.8792,212255
2025-05-18,424.7165,428.1562,423.5152,426.9486,670716
2025-05-19,429.4835,431.9082,426.0483,428.4672,555888
2025-05-20,438.3877,447.0956,431.4623,440.1424,664680
2025-05-21,447.3679,449.8407,444.6161,447.0874,361985
2025-05-22,432.4921,436.8679,427.9077,432.2814,1395818
2025-05-23,429.2034,431.4853,428.2071,430.486,1190544
2025-05-24,441.2867,443.1197,440.8732,442.705,349703
2025-05-25,445.2971,446.0477,444.5701,445.3206,253196
2025-05-26,457.3097,457.9088,455.6366,456.2343,270962
2025-05-27,453.0236,455.2782,451.2865,453.5391,643088
2025-05-28,455.0206,458.6449,451.5657,455.1888,745992
2025-05-29,464.5079,466.4777,454.6248,456.5609,1014491
2025-05-30,466.0387,468.8868,462.9657,465.8125,1445403
2025-05-31,460.1348,486.3967,437.7315,463.8142,763395
2025-06-01,477.7215,497.8207,452.7802,472.6667,860161
2025-06-02,487.4813,495.6594,475.8874,484.0072,239302
2025-06-03,481.583,500.1563,464.9294,483.4386,737104
2025-06-04,503.8871,507.1033,500.4481,503.6629,33775
2025-06-05,492.2651,496.0219,488.5828,492.339,1034397
2025-06-06,500.3806,507.5671,492.5545,499.7317,81601
2025-06-07,519.6304,546.5015,492.5445,519.4039,909403
2025-06-08,502.8222,506.7958,498.4617,502.4322,519980
2025-06-09,506.2582,512.6285,500.4852,506.8488,654305
2025-06-10,508.5306,514.2363,504.8255,510.5168,136471
2025-06-11,513.2885,518.046,504.4611,509.1805,687204
2025-06-12,507.5406,512.0093,504.7418,509.2013,233158
2025-06-13,501.6934,504.3234,499.0076,501.6374,1172588
2025-06-14,500.7857,501.9881,497.4958,498.6931,912021
2025-06-15,487.0306,503.8535,471.4552,488.2394,943161
2025-06-16,480.9984,483.8102,472.1761,474.9527,42042
2025-06-17,483.1036,485.3254,481.7703,483.9897,1159893
2025-06-18,491.0355,501.8833,482.6468,493.4533,329889
2025-06-19,485.292,491.3745,479.4969,485.5759,148592
2025-06-20,484.3682,489.7715,481.8502,487.2385,154807
2025-06-21,488.8772,489.714,488.4467,489.2831,703795
2025-06-22,495.8992,495.9532,495.5197,495.5737,574186
2025-06-23,481.8888,486.861,478.6977,483.6582,1008209
2025-06-24,479.2611,479.3015,479.2252,479.2656,798554
2025-06-25,483.1777,483.6702,481.3735,481.8647,1009196
2025-06-26,481.5086,489.3278,473.0321,480.8404,262061
2025-06-27,472.0987,476.6009,463.8863,468.3527,325555
2025-06-28,459.9929,509.6042,419.0494,467.9523,366270
2025-06-29,472.3966,476.3914,469.7622,473.7495,195099
2025-06-30,452.5021,461.0532,447.3625,455.8753,656354
2025-07-01,444.8117,450.4539,438.4497,444.0828,1158112
2025-07-02,428.0523,448.9936,407.8561,428.7638,262418
2025-07-03,441.7983,447.2058,434.7649,440.1523,879735
2025-07-04,436.2735,437.7616,433.9384,435.4237,260528
2025-07-05,447.4284,454.0504,441.4701,448.0834,782417
2025-07-06,449.6543,453.5752,445.3943,449.3123,273020
2025-07-07,437.404,442.3234,429.9962,434.8874,38940
2025-07-08,436.1244,438.1814,434.669,436.724,286440
2025-07-09,419.9298,420.6022,419.6297,420.3018,891102
2025-07-10,430.8689,430.893,430.8687,430.8928,128467
2025-07-11,418.9,419.8879,418.0929,419.0804,311119
2025-07-12,419.9835,420.4575,419.6747,420.1486,7564
2025-07-13,411.5421,418.1821,407.1568,413.773,911650
2025-07-14,413.4688,423.019,404.1497,413.6949,1262843
2025-07-15,411.2406,411.9279,410.7909,411.4779,1225517
2025-07-16,407.5599,415.4778,405.7158,413.6063,345736
2025-07-17,403.0718,404.9406,402.1522,404.0188,40278
2025-07-18,404.322,428.5911,380.5614,404.8023,1197880
2025-07-19,406.1181,419.5661,386.002,399.2216,506646
2025-07-20,397.4156,403.1197,394.183,399.8672,108733
2025-07-21,399.7534,401.3921,395.0096,396.6355,151815
2025-07-22,407.8294,411.4293,403.434,407.0269,400284
2025-07-23,416.445,417.6596,414.3945,415.6066,964009
2025-07-24,424.8695,427.6564,423.0746,425.8573,55786
2025-07-25,427.6762,430.975,422.3068,425.5895,835108
2025-07-26,416.924,417.9287,416.6223,417.6265,375215
2025-07-27,416.1748,418.4308,413.9745,416.2302,646052
2025-07-28,419.7539,423.2262,418.4767,421.9423,130002
2025-07-29,428.7445,430.6708,427.1599,429.0849,909088
2025-07-30,423.4226,430.9143,418.5839,426.0456,686521
2025-07-31,427.494,432.318,422.963,427.7839,516391
2025-08-01,425.4911,431.2038,424.1928,429.8922,430610
2025-08-02,422.8599,427.327,421.3077,425.7642,747360
2025-08-03,430.8426,440.4286,421.61,431.1886,906940
2025-08-04,425.6133,426.654,423.8227,424.8616,412440
2025-08-05,420.0622,421.8539,416.4257,418.2095,769022
2025-08-06,416.9607,417.7146,415.9619,416.7154,613339
2025-08-07,406.5832,408.2604,405.8909,407.5665,834066
2025-08-08,408.6921,414.9857,402.4041,408.6976,338564
2025-08-09,412.332,413.9797,409.0319,410.6729,380630
2025-08-10,408.7394,412.8738,402.7863,406.9021,183253
2025-08-11,410.9196,420.4745,401.086,410.6343,386226
2025-08-12,419.0276,424.7894,409.6121,415.3229,956446
2025-08-13,417.5597,420.2441,415.9771,418.6574,121101
2025-08-14,410.2146,416.4605,406.3392,412.563,945095
2025-08-15,402.7269,409.1851,402.1506,408.6004,542359
2025-08-16,409.8495,415.2761,401.2918,406.6764,1106137
2025-08-17,409.7703,412.3428,406.2941,408.861,307764
2025-08-18,399.871,403.0739,394.1349,397.3173,384920
2025-08-19,383.4999,385.4677,381.8376,383.8041,391261
2025-08-20,380.2402,398.3341,361.6727,379.743,93757
2025-08-21,376.2645,379.5174,373.5946,376.8434,498412
2025-08-22,367.5173,368.5812,365.9368,366.9992,727860
2025-08-23,358.5706,360.163,356.3925,357.9824,673215
2025-08-24,363.2822,366.0251,362.0251,364.763,703788
2025-08-25,359.7028,367.1924,353.727,361.1919,779907
2025-08-26,365.3757,380.6134,352.3672,367.5283,716860
2025-08-27,377.6527,385.2776,372.2325,379.8263,234205
2025-08-28,381.59,392.5514,368.6513,379.5542,924455
2025-08-29,375.2508,376.2479,373.9606,374.957,772289
2025-08-30,383.4969,390.0617,377.9567,384.5069,272736
2025-08-31,380.8136,387.0451,372.7874,378.989,764965
2025-09-01,385.7195,388.5284,382.9514,385.7601,445884
2025-09-02,390.108,394.2646,385.8579,390.0135,527280
2025-09-03,393.4618,395.6305,389.943,392.1041,145008
2025-09-04,394.5982,395.5915,392.3908,393.381,573683
2025-09-05,388.5719,389.9895,387.6449,389.0613,733955
2025-09-06,399.4732,402.41,394.418,397.3392,327725
2025-09-07,392.8779,399.3461,391.2799,397.7284,317685
2025-09-08,379.9446,388.0094,373.2867,381.3273,726202
2025-09-09,375.0268,377.1204,371.6814,373.768,631756
2025-09-10,366.0902,373.0414,359.1742,366.1248,828306
2025-09-11,366.3986,373.7638,359.4581,366.8153,924057
2025-09-12,369.9223,372.3097,366.7624,369.1447,737494
2025-09-13,369.9398,372.2946,366.482,368.8298,93214
2025-09-14,370.4123,371.6884,370.1846,371.4601,356311
2025-09-15,371.7165,379.7474,364.3531,372.3709,265748
2025-09-16,370.2261,372.7151,369.1505,371.6354,42260
2025-09-17,372.983,389.6028,356.7316,373.336,200845
2025-09-18,373.0621,375.3807,371.2848,373.6008,144563
2025-09-19,367.2907,383.0946,355.1334,370.8205,926199
2025-09-20,371.9621,383.3367,357.4754,368.7519,25369
2025-09-21,372.5227,374.1406,367.9926,369.5978,1282116
2025-09-22,366.5661,372.9413,360.8465,367.2117,651278
2025-09-23,363.1506,363.3168,362.7706,362.9367,302322
2025-09-24,357.0037,378.765,335.5852,357.3271,403334
2025-09-25,371.5461,380.3131,356.4728,365.0874,136473
2025-09-26,356.5799,362.24,350.8897,356.5494,809852
2025-09-27,354.6256,358.3463,353.1678,356.8793,346885
2025-09-28,362.5477,365.5764,358.138,361.155,319769
2025-09-29,376.3765,377.3119,375.2246,376.1594,114208
2025-09-30,379.6378,383.3974,376.0765,379.8343,580816
2025-10-01,381.8591,384.6256,379.4475,382.2117,653385
2025-10-02,388.4869,395.6419,383.0396,390.1709,50801
2025-10-03,386.8545,387.8968,386.309,387.3507,665114
2025-10-04,395.0494,396.148,393.6617,394.7595,882894
2025-10-05,379.2837,379.4407,378.7505,378.9074,494926
2025-10-06,396.8854,399.164,391.9025,394.1656,35628
2025-10-07,396.681,402.2374,392.2841,397.8278,426876
2025-10-08,395.5099,397.434,394.9581,396.8804,1163629
2025-10-09,387.8287,395.026,381.4747,388.6584,1215935
2025-10-10,373.4177,382.0823,366.5884,375.22,146896
2025-10-11,383.9918,388.8544,380.1389,384.9915,1284951
2025-10-12,390.5783,390.9791,389.2462,389.646,283910
2025-10-13,389.3801,402.13,373.2989,385.936,157724
2025-10-14,376.7007,378.4057,375.4103,377.1139,1134519
2025-10-15,382.0863,386.6536,380.1488,384.7029,961268
2025-10-16,398.0573,399.976,396.515,398.4323,1184982
2025-10-17,398.8987,402.6816,394.832,398.6121,62358
2025-10-18,412.4851,424.2348,397.6939,409.3544,795539
2025-10-19,406.4503,412.0112,403.675,409.2169,210920
2025-10-20,402.1639,421.356,385.9893,405.0648,670651
2025-10-21,396.5626,398.364,394.9258,396.7266,196143
2025-10-22,383.4828,394.0969,379.2287,389.773,417397
