date,open,high,low,close,volume
2025-01-20,140.8946,141.2131,140.5305,140.849,184486
2025-01-21,143.3232,144.4888,142.268,143.4327,722397
2025-01-22,145.2109,145.9324,144.4571,145.1784,705201
2025-01-23,147.0824,149.0624,145.55,147.5254,1005677
2025-01-24,149.8064,149.8116,149.8059,149.8111,532045
2025-01-25,154.1615,156.7131,148.2604,150.7557,81535
2025-01-26,152.9317,156.0542,150.2734,153.388,749004
2025-01-27,151.6018,153.7939,150.6044,152.7887,565013
2025-01-28,152.9736,154.7349,151.0826,152.8424,349197
2025-01-29,156.0044,157.5975,154.1903,155.7812,910111
2025-01-30,161.9118,175.5848,150.9677,164.4679,248788
2025-01-31,171.4097,172.2089,170.2138,171.0112,12193
2025-02-01,169.914,170.4064,169.6134,170.1055,1063279
2025-02-02,172.0081,173.1383,169.8606,170.9842,1041271
2025-02-03,171.4658,173.903,168.9142,171.3498,682510
2025-02-04,174.4923,180.558,169.7577,175.7882,290391
2025-02-05,169.5861,170.9259,168.8538,170.191,457739
2025-02-06,163.9461,167.0367,161.3914,164.4738,43845
2025-02-07,159.3344,166.9466,153.7859,161.3286,606049
2025-02-08,161.8505,165.6458,159.4498,163.2247,24874
2025-02-09,161.7313,165.7163,156.5087,160.4624,366114
2025-02-10,160.3404,161.3628,158.1427,159.1576,85026
2025-02-11,154.6535,159.9146,148.3641,153.589,631032
2025-02-12,153.347,157.0595,150.5998,154.2953,213828
2025-02-13,149.4208,153.5747,147.8972,152.0245,538431
2025-02-14,154.7857,163.5152,144.1902,152.8082,229273
2025-02-15,148.5719,154.1152,144.3816,149.8878,67508
2025-02-16,145.9889,146.5226,145.3998,145.9334,616361
2025-02-17,144.393,144.6681,143.6654,143.9396,295475
2025-02-18,140.969,146.2778,137.6036,142.8671,281491
2025-02-19,142.9377,144.2783,142.3623,143.6998,609409
2025-02-20,144.4611,144.6202,144.3695,144.5286,143225
2025-02-21,149.8351,151.1897,147.2518,148.5952,724479
2025-02-22,152.3408,153.1723,149.736,150.5578,173073
2025-02-23,150.0846,152.9074,144.5997,147.3715,550415
2025-02-24,149.0673,149.8745,148.6132,149.4192,405660
2025-02-25,149.4446,150.2036,148.5169,149.275,842316
2025-02-26,150.9112,152.5762,150.1103,151.7707,238241
2025-02-27,153.8782,154.7729,152.9025,153.7968,424280
2025-02-28,148.8681,149.1477,148.7871,149.0666,619591
2025-03-01,151.176,152.1976,148.8317,149.8442,78213
2025-03-02,151.2613,152.0674,150.7348,151.5399,558310
2025-03-03,147.4796,149.2494,146.4949,148.2594,193191
2025-03-04,154.1572,158.2423,148.3828,152.4219,217848
2025-03-05,150.6586,150.9589,150.3366,150.6369,752892
2025-03-06,148.6095,151.9801,145.0488,148.415,59216
2025-03-07,149.3547,150.7803,147.3572,148.7774,553123
2025-03-08,153.205,156.1036,148.6892,151.5567,318671
2025-03-09,157.2324,157.4784,157.0151,157.261,579711
2025-03-10,155.7731,156.867,155.1631,156.2551,57698
2025-03-11,158.998,168.3207,146.9714,156.1256,525922
2025-03-12,161.2928,165.1322,156.0538,159.859,330736
2025-03-13,161.1734,161.4498,160.897,161.1735,237596
2025-03-14,161.1989,163.4057,157.3143,159.4978,468304
2025-03-15,154.9317,162.3086,148.1317,155.4843,558053
2025-03-16,159.0654,163.3877,154.6771,158.9976,21870
2025-03-17,156.1291,157.0158,155.6799,156.5654,707125
2025-03-18,154.0676,154.0926,153.159,153.1839,752792
2025-03-19,151.5303,152.7688,150.682,151.9183,707802
2025-03-20,149.5056,149.5722,149.2669,149.3334,431765
2025-03-21,145.7927,146.5482,144.3074,145.0591,79655
2025-03-22,142.177,143.38,141.9753,143.1769,490177
2025-03-23,147.094,148.082,145.9645,146.9515,460171
2025-03-24,151.4558,153.7324,149.059,151.3338,297851
2025-03-25,146.6066,146.7918,146.4699,146.6549,463570
2025-03-26,148.511,149.336,148.472,149.2968,734377
2025-03-27,149.7921,150.368,148.8726,149.4472,663477
2025-03-28,147.2764,149.1433,146.4489,148.31,1010553
2025-03-29,145.4172,147.6022,142.9055,145.0855,305387
2025-03-30,141.7001,150.2505,135.3814,143.8366,593597
2025-03-31,141.569,143.7313,140.323,142.4773,87798
2025-04-01,145.4393,145.4601,145.438,145.4589,302027
2025-04-02,147.7239,148.1186,147.4514,147.8458,233458
2025-04-03,145.1472,146.1417,144.2049,145.199,264742
2025-04-04,147.0166,149.0487,144.9686,147.0005,455478
2025-04-05,151.9497,153.5117,150.446,152.0073,162922
2025-04-06,153.6151,156.0551,151.3312,153.7689,715598
2025-04-07,147.4526,148.9491,146.0826,147.5779,680078
2025-04-08,150.5642,151.8635,148.5454,149.8385,1322428
2025-04-09,146.5215,146.6715,146.4678,146.6179,718186
2025-04-10,153.686,154.149,152.6744,153.1358,611708
2025-04-11,156.3734,157.8657,154.4656,155.954,20385
2025-04-12,151.0078,151.2728,150.68,150.9449,1311608
2025-04-13,151.3415,151.4374,151.3249,151.4208,523889
2025-04-14,157.9308,161.7787,153.5495,157.384,335065
2025-04-15,159.6499,159.6826,159.6163,159.649,812518
2025-04-16,162.6591,166.2674,158.8544,162.4583,489530
2025-04-17,157.6039,163.337,150.4453,156.1247,718521
2025-04-18,159.0918,159.685,157.6174,158.2072,396569
2025-04-19,156.4457,156.8489,156.1534,156.5564,505422
2025-04-20,156.2252,159.7424,152.9167,156.4295,353632
2025-04-21,161.1156,161.6068,160.7698,161.2607,498339
2025-04-22,161.2571,167.1023,154.9509,160.7787,457957
2025-04-23,160.8449,162.7635,157.2668,159.1654,59012
2025-04-24,158.8558,159.2629,158.5879,158.9948,582729
2025-04-25,155.1723,155.3249,154.6001,154.7523,629406
2025-04-26,149.9941,151.1954,148.867,150.0677,631884
2025-04-27,152.532,154.4744,149.0129,150.9349,961261
2025-04-28,149.1684,152.9241,145.1023,148.85,74350
2025-04-29,150.8888,151.0265,150.8085,150.9462,451987
2025-04-30,155.7469,156.3496,153.6793,154.2762,797549
2025-05-01,152.7333,163.2272,141.9716,152.4457,792237
2025-05-02,160.6306,161.6915,157.8246,158.874,967123
2025-05-03,153.5896,161.7849,146.9822,155.1119,1316980
2025-05-04,157.4132,157.572,157.1398,157.2986,454089
2025-05-05,156.0504,157.5292,154.605,156.0835,617106
2025-05-06,158.7045,159.1067,158.4591,158.8611,619688
2025-05-07,165.1627,171.5003,157.9022,164.2031,298651
2025-05-08,166.9062,168.7665,166.8378,168.6973,674945
2025-05-09,168.8969,170.3705,167.8356,169.3066,863082
2025-05-10,163.6901,168.3669,157.8683,162.5115,327521
2025-05-11,164.1987,164.8611,162.9264,163.5864,527943
2025-05-12,166.2917,166.9015,165.3204,165.9289,233647
2025-05-13,166.1682,166.4593,166.087,166.3781,235219
2025-05-14,164.7727,164.868,164.7576,164.853,147760
2025-05-15,167.1817,171.1509,161.7051,165.6377,418817
2025-05-16,167.3119,167.8514,166.8215,167.3608,290147
2025-05-17,171.1277,176.2794,163.9027,168.99,1295553
2025-05-18,169.5337,170.4405,169.4521,170.3585,753823
2025-05-19,172.507,174.7637,169.7455,171.9955,391555
2025-05-20,170.6311,174.8445,165.4808,169.6705,89707
2025-05-21,170.7594,173.4026,166.7089,169.3299,221523
2025-05-22,166.7528,169.0446,163.7995,166.0821,862193
2025-05-23,160.6326,160.9618,160.2575,160.5866,400454
2025-05-24,165.4003,170.1472,157.6142,162.2713,134126
2025-05-25,164.5433,168.9537,159.7416,164.1413,678219
2025-05-26,166.0137,167.5423,164.3007,165.8276,549982
2025-05-27,168.5015,168.9294,167.8824,168.3099,633990
2025-05-28,167.2919,168.7116,165.1841,166.5979,169100
2025-05-29,163.2137,165.0623,161.9949,163.8389,33453
2025-05-30,164.8395,164.856,164.8173,164.8339,41916
2025-05-31,166.5118,166.638,166.297,166.4231,134404
2025-06-01,169.4408,175.1888,162.7068,168.4202,219141
2025-06-02,171.6805,171.8774,171.5809,171.7777,43230
2025-06-03,166.213,171.1361,161.01,165.9245,1091716
2025-06-04,167.7467,168.3117,166.625,167.1882,1286772
2025-06-05,169.1235,169.755,168.9243,169.5553,509786
2025-06-06,166.0167,167.2799,165.0378,166.2992,737352
2025-06-07,168.9891,170.978,166.5981,168.5822,971568
2025-06-08,169.0252,169.7475,168.4466,169.1684,913542
2025-06-09,164.112,171.5537,159.7197,167.0819,227323
2025-06-10,167.8513,168.8615,165.266,166.2667,1282005
2025-06-11,167.4987,171.4469,162.3102,166.2285,174889
2025-06-12,163.8735,167.2205,161.6518,164.9838,726714
2025-06-13,165.901,167.7776,161.6654,163.5149,243457
2025-06-14,162.1192,162.3579,161.9456,162.1842,506582
2025-06-15,164.6018,165.4692,164.3486,165.2151,361776
2025-06-16,162.9673,164.3389,161.2207,162.5891,129566
2025-06-17,163.5175,166.8691,159.3512,162.6857,335519
2025-06-18,164.3493,167.6985,160.9278,164.2755,493111
2025-06-19,161.6053,168.4835,156.8301,163.6479,582711
2025-06-20,163.3752,172.1956,154.0897,162.8836,639891
2025-06-21,163.3732,164.4123,162.0309,163.0681,490870
2025-06-22,158.6247,158.7744,158.4849,158.6346,620501
2025-06-23,159.0372,160.0531,158.3912,159.4056,302435
2025-06-24,157.3403,157.4367,157.2017,157.2981,867196
2025-06-25,155.0413,155.8942,154.8728,155.7249,437582
2025-06-26,153.635,154.432,153.2757,154.0716,216266
2025-06-27,159.495,164.7399,153.8502,159.0815,598383
2025-06-28,159.7603,161.1148,157.0609,158.4039,1413870
2025-06-29,157.633,158.1395,155.0758,155.5757,175374
2025-06-30,153.9221,154.5292,153.2881,153.8952,262525
2025-07-01,151.6409,153.8486,150.1314,152.3322,145806
2025-07-02,152.1749,152.2246,150.8716,150.9209,512859
2025-07-03,154.0456,161.908,145.3218,153.1378,423222
2025-07-04,153.5175,155.0069,151.8757,153.3635,514395
2025-07-05,151.5702,154.607,148.0386,151.0653,247887
2025-07-06,143.665,143.7864,143.4925,143.6137,829333
2025-07-07,145.8186,145.8557,145.7133,145.7503,349885
2025-07-08,145.3123,148.4748,141.5657,144.7152,180267
2025-07-09,148.4767,149.1169,147.7755,148.4155,130880
2025-07-10,147.1333,152.7447,142.6789,148.2563,379641
2025-07-11,147.3735,149.7912,145.3026,147.7155,416289
2025-07-12,151.226,151.5576,149.473,149.8015,589165
2025-07-13,148.4462,151.0573,146.8063,149.4068,107377
2025-07-14,154.2962,159.6661,146.4723,151.7537,503760
2025-07-15,149.2439,149.9387,148.8016,149.4957,283799
2025-07-16,156.6384,165.9317,145.0581,154.2071,423874
2025-07-17,152.0425,153.2484,151.0565,152.2609,202426
2025-07-18,155.9408,156.2614,155.6523,155.9728,216776
2025-07-19,155.5049,155.6111,155.4324,155.5386,696779
2025-07-20,159.6681,160.5995,158.6527,159.5836,17839
2025-07-21,160.7692,162.828,158.4719,160.5276,454842
2025-07-22,158.2562,160.2269,157.2357,159.2003,435812
2025-07-23,162.9277,169.568,158.0359,164.6252,600001
2025-07-24,165.2639,169.1831,160.5053,164.4042,477886
2025-07-25,159.6246,164.0971,157.681,162.1231,853468
2025-07-26,160.1734,163.2686,158.0689,161.1512,222850
2025-07-27,165.12,167.4947,162.0481,164.4126,319742
2025-07-28,169.346,171.7762,167.5914,170.0147,573275
2025-07-29,164.2509,165.3174,163.2082,164.2746,495629
2025-07-30,167.378,167.8403,166.9695,167.4318,572209
2025-07-31,172.8442,175.4326,170.4987,173.0838,45378
2025-08-01,168.7488,169.0108,168.6279,168.8898,289542
2025-08-02,166.7182,166.8604,166.2981,166.4401,734936
2025-08-03,167.9995,168.9553,166.6782,167.632,572162
2025-08-04,166.5421,173.6019,161.0659,168.0754,196684
2025-08-05,164.7339,165.3526,164.4811,165.0993,604503
2025-08-06,167.0014,168.0892,166.4959,167.582,911057
2025-08-07,172.238,176.2323,169.9947,173.9665,910821
2025-08-08,171.7208,171.8334,171.6362,171.7488,609106
2025-08-09,169.8693,172.8998,167.8154,170.8343,919455
2025-08-10,170.416,173.6515,168.0294,171.2531,348401
2025-08-11,172.281,175.0419,168.1855,170.9247,442487
2025-08-12,168.469,168.7636,167.233,167.526,44502
2025-08-13,166.1193,166.3384,165.9285,166.1475,269535
2025-08-14,164.505,165.9233,163.3294,164.746,726090
2025-08-15,159.4968,160.4748,158.8326,159.8094,475294
2025-08-16,158.0082,162.0304,154.6247,158.6336,1244284
2025-08-17,158.0476,158.507,157.8467,158.3058,952492
2025-08-18,165.6682,166.3923,164.8982,165.6221,712749
2025-08-19,162.6839,164.1358,161.6767,163.1259,490110
2025-08-20,166.8482,166.8701,166.8361,166.858,749478
2025-08-21,164.919,165.5322,164.4114,165.0242,105170
2025-08-22,171.4739,171.5084,171.4616,171.4961,272460
2025-08-23,178.62,178.8899,177.6044,177.8731,569219
2025-08-24,178.6157,178.6803,178.5672,178.6317,427197
2025-08-25,177.4274,178.0499,176.9356,177.5577,276881
2025-08-26,172.6369,174.2739,171.3021,172.9368,553621
2025-08-27,172.5342,172.707,172.3256,172.4984,672408
2025-08-28,171.3275,175.3788,166.9292,170.9721,298142
2025-08-29,172.0396,175.1659,169.4546,172.5729,246604
2025-08-30,173.2958,173.6414,172.929,173.2746,346638
2025-08-31,178.6502,190.6254,165.6389,177.5397,604840
2025-09-01,177.8156,181.2662,172.4884,175.9018,709529
2025-09-02,176.3989,183.3341,168.1369,175.0178,176709
2025-09-03,172.6916,173.4752,171.9661,172.7495,1001324
2025-09-04,169.247,169.6935,169.0655,169.5117,986084
2025-09-05,170.1399,171.5957,169.0897,170.543,131889
2025-09-06,169.5293,172.8048,167.1812,170.444,329603
2025-09-07,170.0524,170.1022,169.5507,169.6003,265940
2025-09-08,172.8271,179.8628,164.9677,171.9684,734779
2025-09-09,177.0641,177.1898,176.3419,176.4671,892635
2025-09-10,176.6613,179.7702,173.659,176.766,21683
2025-09-11,177.5015,178.7672,175.9721,177.2358,340085
2025-09-12,169.7062,171.416,167.8291,169.5372,1250835
2025-09-13,161.1427,163.7839,159.6004,162.2312,480733
2025-09-14,161.6941,162.5839,160.2358,161.1224,465912
2025-09-15,162.0586,162.2591,161.9807,162.1811,631666
2025-09-16,163.8019,164.0386,163.3154,163.5517,965087
2025-09-17,160.0065,163.6017,157.5817,161.1594,185223
2025-09-18,156.4751,157.9914,154.5502,156.0624,1221462
2025-09-19,157.0926,159.132,154.9025,156.9399,464392
2025-09-20,157.4441,157.7749,157.191,157.5217,758342
2025-09-21,156.3312,156.804,155.5175,155.9893,813202
2025-09-22,153.108,155.3605,151.0785,153.3282,483551
2025-09-23,152.016,152.2268,151.7626,151.9733,585241
2025-09-24,155.199,157.4463,152.5912,154.8331,220482
2025-09-25,152.8301,156.0655,149.9267,153.1558,279722
2025-09-26,154.3701,154.5896,154.1603,154.3798,623227
2025-09-27,155.7956,157.0095,153.9432,155.1521,1053654
2025-09-28,164.6772,166.9711,159.9302,162.1895,728611
2025-09-29,162.4287,163.1831,161.8812,162.6349,306291
2025-09-30,163.4839,165.6897,160.3836,162.5771,168389
2025-10-01,160.9486,164.1121,159.7657,162.9147,330443
2025-10-02,161.3243,161.5978,161.0999,161.3733,371040
2025-10-03,163.1786,164.0457,162.4432,163.3096,250293
2025-10-04,164.7625,166.6591,163.0108,164.9059,602663
2025-10-05,167.8563,171.9647,163.3923,167.4917,20733
2025-10-06,161.8161,162.6904,161.0205,161.8944,1360059
2025-10-07,164.2316,164.4532,164.0384,164.26,597384
2025-10-08,161.657,161.938,161.4037,161.6847,699640
2025-10-09,164.9338,169.9134,157.4868,162.3895,495150
2025-10-10,162.6143,162.8155,162.4543,162.6555,620052
2025-10-11,162.8694,164.5339,161.7374,163.3983,197807
2025-10-12,164.3018,166.5972,162.4499,164.7404,704101
2025-10-13,161.2587,162.6273,159.8904,161.2589,433019
2025-10-14,160.0856,160.6692,160.0233,160.6067,159404
2025-10-15,152.9196,153.0872,152.0965,152.2634,182272
2025-10-16,145.6917,148.627,145.2127,148.1399,1315483
2025-10-17,148.4528,148.4952,148.4228,148.4652,937389
2025-10-18,150.0363,151.2254,148.4635,149.6495,534321
2025-10-19,150.5334,160.0794,140.8724,150.4107,144113
2025-10-20,152.8913,153.9982,151.3525,152.4562,340485
2025-10-21,152.1868,153.6903,150.934,152.4355,56891
2025-10-22,150.4481,151.2158,149.8524,150.6194,106568
2025-10-23,154.8064,155.4204,154.0045,154.6178,506634
2025-10-24,153.7368,158.4637,147.8708,152.5616,178021
2025-10-25,155.2617,158.227,151.4889,154.4384,745614
2025-10-26,150.356,155.422,147.2747,152.3008,409691
2025-10-27,151.0927,151.2874,150.642,150.8364,305469
2025-10-28,147.9453,148.3998,147.2622,147.716,1363972
2025-10-29,146.4937,151.8709,141.1699,146.5453,113865
2025-10-30,148.3514,148.3822,148.3198,148.3507,119525
2025-10-31,147.392,149.9348,145.7974,148.33,498685
2025-11-01,147.3444,148.4683,146.5278,147.65,423299
2025-11-02,147.9346,149.7367,145.1369,146.9267,455666
2025-11-03,144.9887,145.6007,143.6915,144.3005,568639
2025-11-04,137.4392,142.7394,134.8038,140.0539,684477
2025-11-05,142.7295,146.0411,139.2036,142.5101,926196
2025-11-06,134.1324,136.4991,131.4657,133.8269,499980
2025-11-07,135.591,138.7475,131.4869,134.6208,1057820
2025-11-08,135.2578,135.9521,134.391,135.0843,149353
2025-11-09,133.3642,135.3621,131.5067,133.5027,447471
2025-11-10,136.633,137.43,134.7281,135.5186,117455
2025-11-11,129.2373,129.4244,128.9796,129.1666,244273
2025-11-12,126.6254,130.7533,123.3017,127.409,813399
2025-11-13,128.1141,128.1977,127.9869,128.0705,165331
2025-11-14,124.2614,124.9379,123.687,124.3631,18105
2025-11-15,124.8207,128.9278,120.7146,124.8216,169210
2025-11-16,124.3671,126.6945,121.5242,123.8417,356776
2025-11-17,124.0831,124.9019,123.4665,124.2843,990726
2025-11-18,124.6647,127.8795,121.7883,124.9954,375655
2025-11-19,123.3143,123.6238,122.3901,122.6981,792144
2025-11-20,123.1046,125.1898,121.1934,123.276,1200958
2025-11-21,123.2604,123.6466,122.6269,123.0124,629036
2025-11-22,124.8482,134.9419,113.3054,123.2717,759796
2025-11-23,127.8893,128.161,127.6451,127.9167,1250703
2025-11-24,126.3358,126.4871,126.2085,126.3598,701514
2025-11-25,127.8316,131.9633,123.7697,127.8993,137158
2025-11-26,127.3691,127.5879,127.324,127.5427,850492
2025-11-27,123.9236,123.993,123.8286,123.898,70709
2025-11-28,123.6324,125.1518,121.7563,123.2713,657540
2025-11-29,126.1663,126.5523,125.6755,126.0611,1152341
2025-11-30,121.6878,124.449,119.3946,122.1471,362110
2025-12-01,122.1595,123.648,120.7189,122.2068,1148019
2025-12-02,120.0715,122.15,118.0014,120.0798,1031164
2025-12-03,120.818,124.7355,116.5613,120.4674,451877
2025-12-04,118.7107,120.5622,117.7926,119.637,786898
2025-12-05,120.8389,121.788,120.1885,121.136,225662
2025-12-06,122.1796,127.3639,118.4408,123.5822,107226
2025-12-07,122.7786,125.0176,120.2374,122.4708,457380
2025-12-08,121.5008,121.7867,121.1472,121.4329,832470
2025-12-09,116.6587,117.5746,115.5287,116.4429,792540
2025-12-10,114.983,115.8413,113.7014,114.5565,368933
2025-12-11,114.5933,122.3899,105.0948,112.7672,955013
2025-12-12,111.4704,111.5303,111.384,111.444,582201
2025-12-13,112.7016,112.7729,112.6551,112.7263,145049
2025-12-14,113.1247,113.6475,112.2371,112.7582,153599
2025-12-15,115.8918,118.0017,114.1045,116.2095,651224
2025-12-16,114.6165,116.3537,112.6241,114.3574,786278
2025-12-17,118.1356,118.7817,117.3051,117.9502,1163925
2025-12-18,119.5273,124.9996,115.1677,120.6009,218137
2025-12-19,116.6722,119.0646,114.4848,116.8734,482804
2025-12-20,111.2198,111.5997,111.1181,111.4977,333418
2025-12-21,112.9306,115.8256,110.5813,113.4653,184708
2025-12-22,113.6642,116.9193,110.1629,113.4108,1091974
2025-12-23,112.2979,113.5926,112.0428,113.3352,402859
2025-12-24,118.0585,118.3318,117.1929,117.4648,1083236
2025-12-25,116.7342,122.007,110.6544,115.889,91087
2025-12-26,118.7202,120.4563,116.8065,118.54,273926
2025-12-27,117.0338,117.1993,116.8714,117.0369,791608
2025-12-28,115.1636,115.5571,114.7749,115.1684,42522
2025-12-29,116.0917,116.7309,115.6662,116.3046,514387
2025-12-30,113.7784,116.7551,110.3023,113.2655,311320
2025-12-31,114.8272,115.2857,112.4113,112.862,1045314
2026-01-01,112.673,114.0841,110.9653,112.3725,479436
2026-01-02,112.7539,114.4983,110.9974,112.7416,350818
2026-01-03,110.4415,111.011,109.9138,110.483,224929
2026-01-04,113.6782,114.781,112.4321,113.5335,1309069
2026-01-05,115.2182,116.1443,114.1359,115.0607,1269879
2026-01-06,113.421,119.3083,107.9417,113.8103,760881
2026-01-07,117.9914,118.2473,117.3152,117.5702,490774
2026-01-08,114.4186,115.5304,113.3438,114.4553,377186
2026-01-09,114.2345,115.2098,112.4509,113.4193,414626
2026-01-10,115.5784,118.4367,112.4939,115.3465,1090110
2026-01-11,115.2406,118.6362,112.4273,115.809,273776
2026-01-12,116.9235,129.3232,103.3559,115.6171,1115427
2026-01-13,116.703,119.604,112.5608,115.4301,235400
2026-01-14,116.0753,117.465,115.3006,116.6862,274096
2026-01-15,117.5175,120.2344,113.88,116.5752,1033537
2026-01-16,116.6823,116.8293,116.5715,116.7185,900780
2026-01-17,118.9427,119.2553,118.4945,118.8067,1210216
2026-01-18,117.8377,119.2354,116.6426,118.0383,895620
2026-01-19,119.585,120.2876,118.9979,119.7,848617
