date,open,high,low,close,volume
2025-01-20,103.0165,104.7491,101.1307,102.8606,15880
2025-01-21,105.9913,106.1424,105.8033,105.9543,241938
2025-01-22,103.9901,109.7471,98.7681,104.4996,951193
2025-01-23,100.958,100.9632,100.9142,100.9194,331604
2025-01-24,98.5484,98.5773,98.5291,98.558,562197
2025-01-25,98.3411,99.9953,97.2827,98.9305,701575
2025-01-26,95.9815,98.1465,94.2552,96.4124,261231
2025-01-27,94.8141,95.1374,94.4794,94.8027,616818
2025-01-28,96.2726,96.4777,95.8444,96.0491,718476
2025-01-29,96.5916,98.7998,94.666,96.8686,443436
2025-01-30,92.4358,92.7397,92.0865,92.3902,221162
2025-01-31,93.7642,93.9315,93.5845,93.7518,508093
2025-02-01,96.5326,99.0021,93.8487,96.3126,176411
2025-02-02,93.195,93.2032,92.8224,92.8306,58184
2025-02-03,91.5551,94.6016,89.7488,92.7713,416301
2025-02-04,95.1941,96.4359,93.6341,94.8717,120478
2025-02-05,93.443,93.8967,93.159,93.6121,376960
2025-02-06,95.7566,97.6095,93.5488,95.3947,616806
2025-02-07,94.5882,94.9485,94.3973,94.7574,609902
2025-02-08,93.5393,97.1023,90.9495,94.4862,945926
2025-02-09,92.0463,94.9152,89.2628,92.1291,230069
2025-02-10,91.9638,92.074,91.9317,92.0419,372983
2025-02-11,90.9647,91.3869,90.5818,91.0039,528171
2025-02-12,93.1348,94.6015,91.7515,93.2169,201148
2025-02-13,96.9777,97.9393,96.7582,97.7182,898760
2025-02-14,98.4875,100.4119,97.273,99.1888,199614
2025-02-15,99.4131,99.4874,99.1617,99.2359,726789
2025-02-16,99.0635,100.796,98.2439,99.9689,186395
2025-02-17,96.8032,99.7115,95.2612,98.1481,158370
2025-02-18,96.3109,97.9337,94.8573,96.4777,77283
2025-02-19,97.4973,97.8896,97.3864,97.7783,537976
2025-02-20,96.6145,96.7616,96.598,96.745,486519
2025-02-21,97.8375,98.3572,97.5362,98.0552,389902
2025-02-22,97.1613,97.1913,97.0965,97.1265,254984
2025-02-23,95.7214,99.0214,91.8904,95.1714,526405
2025-02-24,93.402,94.0436,93.1492,93.7897,462057
2025-02-25,94.6976,95.3978,94.2004,94.8996,878185
2025-02-26,93.0342,93.4873,92.7709,93.2234,271379
2025-02-27,92.3053,93.2763,91.2122,92.182,1336672
2025-02-28,92.1054,92.3641,91.8819,92.1405,73930
2025-03-01,96.4561,98.8282,94.4576,96.822,60970
2025-03-02,98.9406,99.3524,98.3991,98.8103,356363
2025-03-03,100.9253,101.0621,100.8179,100.9547,206436
2025-03-04,102.8941,103.8283,101.7457,102.678,19906
2025-03-05,101.531,106.6443,96.8234,101.9187,671402
2025-03-06,100.7268,101.053,100.4301,100.7562,455912
2025-03-07,100.9818,102.1109,99.9248,101.0531,434079
2025-03-08,102.0382,103.7139,101.5405,103.2104,227773
2025-03-09,104.007,106.3584,99.5628,101.8658,358460
2025-03-10,101.6567,102.3465,101.1971,101.8859,501966
2025-03-11,104.9762,105.7366,104.2269,104.9873,1043812
2025-03-12,104.3393,105.1463,103.6584,104.4646,69779
2025-03-13,107.0664,107.6364,106.8858,107.4551,105865
2025-03-14,109.7117,111.6211,108.343,110.2457,183869
2025-03-15,112.4668,114.6035,109.6424,111.7658,1204620
2025-03-16,115.7025,116.1457,115.3384,115.7814,726057
2025-03-17,116.1349,116.6737,115.3057,115.8433,303043
2025-03-18,108.6183,108.944,108.2256,108.5511,503948
2025-03-19,111.2484,111.5211,110.9373,111.2098,428950
2025-03-20,119.2134,119.5097,118.8815,119.1776,255998
2025-03-21,122.5786,123.715,121.5925,122.7276,640777
2025-03-22,127.1257,127.437,126.7735,127.0846,836470
2025-03-23,122.8823,124.9722,121.431,123.5135,914751
2025-03-24,126.2463,128.2631,124.6736,126.6849,103294
