date,open,high,low,close,volume
2025-01-20,13.8505,14.0124,13.7584,13.9198,714893
2025-01-21,13.9737,14.949,13.0901,14.0599,706048
2025-01-22,13.9898,14.0034,13.9268,13.9404,734539
2025-01-23,13.6185,13.7986,13.5133,13.6928,389627
2025-01-24,13.6652,13.7036,13.649,13.6874,465473
2025-01-25,13.455,13.639,13.2736,13.4575,710758
2025-01-26,13.9364,13.9941,13.8388,13.8963,1057898
2025-01-27,13.6584,13.8217,13.4676,13.6306,702626
2025-01-28,13.6105,14.0304,13.2854,13.703,249771
2025-01-29,13.5026,13.5673,13.4287,13.4932,46572
2025-01-30,13.6627,13.7435,13.5519,13.6326,804941
2025-01-31,13.3961,13.4296,13.345,13.3784,389250
2025-02-01,13.3884,13.4556,13.3426,13.4097,83512
2025-02-02,13.5164,13.8681,13.1582,13.5098,123561
2025-02-03,14.0421,14.2121,13.7911,13.9601,495496
2025-02-04,13.8403,14.5451,13.2376,13.9381,145233
2025-02-05,13.7016,13.7267,13.6683,13.6934,823905
2025-02-06,13.8655,14.0636,13.5796,13.7764,1272191
2025-02-07,13.6705,13.9049,13.4729,13.7068,307089
2025-02-08,13.8982,13.9198,13.8958,13.9174,1303251
2025-02-09,13.7166,13.7294,13.6996,13.7123,571046
2025-02-10,13.7909,14.3324,13.1274,13.664,848387
2025-02-11,13.6917,13.773,13.566,13.647,193865
2025-02-12,13.4747,13.5553,13.416,13.4965,613542
2025-02-13,13.2336,13.2742,13.2045,13.245,755033
2025-02-14,13.5378,14.0517,13.0282,13.5418,351272
2025-02-15,12.5694,12.7604,12.4217,12.6122,771158
2025-02-16,12.3558,12.5134,12.2187,12.3761,144125
2025-02-17,12.3767,12.4521,12.3122,12.3875,1153988
2025-02-18,12.1234,12.5459,11.782,12.2023,603519
2025-02-19,12.8774,13.0204,12.7603,12.9031,527828
2025-02-20,12.6905,12.733,12.6714,12.7139,556581
2025-02-21,12.5546,13.1425,12.0613,12.6457,12218
2025-02-22,12.7466,12.8409,12.6623,12.7566,335990
2025-02-23,13.2172,13.2478,13.1785,13.209,222255
2025-02-24,13.2431,13.2671,13.1494,13.1733,560098
2025-02-25,12.8171,13.1277,12.5334,12.8434,120422
2025-02-26,12.8688,12.8689,12.8629,12.863,183786
2025-02-27,12.4703,12.6953,12.3265,12.5506,90365
2025-02-28,12.1565,12.1801,12.1487,12.1723,330368
2025-03-01,12.1089,12.1991,12.0479,12.138,1093616
2025-03-02,11.9862,12.1052,11.8514,11.9702,948773
2025-03-03,12.2613,12.3348,12.0344,12.107,363029
2025-03-04,12.1729,12.249,11.9961,12.0716,305593
2025-03-05,12.6591,12.9901,12.2151,12.5431,537297
2025-03-06,12.6213,12.9556,12.1823,12.5138,883952
2025-03-07,12.4924,12.4927,12.4779,12.4781,987842
2025-03-08,12.6785,12.7024,12.6498,12.6738,286825
2025-03-09,12.3854,12.6424,12.099,12.3553,288944
2025-03-10,12.1768,12.3708,11.8696,12.0618,858158
2025-03-11,12.0419,12.9915,11.2004,12.1429,529821
2025-03-12,12.1601,12.1612,12.1593,12.1604,607548
2025-03-13,12.309,12.621,12.1337,12.4437,1137538
2025-03-14,12.5077,12.7583,12.1365,12.3846,354115
2025-03-15,12.2711,12.6176,12.0434,12.3877,639095
2025-03-16,12.2451,12.2985,12.1759,12.2292,391535
2025-03-17,11.8969,12.1033,11.6967,11.903,431741
2025-03-18,11.6709,12.0575,11.2957,11.6819,1230079
2025-03-19,11.7138,11.842,11.5603,11.6882,457968
2025-03-20,11.5177,11.9584,11.1573,11.5956,150750
2025-03-21,11.4729,11.5518,11.4069,11.4857,371906
2025-03-22,11.4184,11.9404,10.8591,11.3793,206132
2025-03-23,11.2766,11.3543,11.2303,11.3078,119919
2025-03-24,10.9801,11.037,10.9388,10.9958,831240
2025-03-25,10.999,11.3446,10.6957,11.0402,209676
2025-03-26,11.1719,11.3068,10.9996,11.1341,263885
2025-03-27,11.2255,11.3717,11.0885,11.2345,181986
2025-03-28,11.5569,11.5672,11.5384,11.5487,274535
2025-03-29,11.3396,11.9367,10.8131,11.4071,691520
2025-03-30,11.451,11.6288,11.1468,11.3226,380082
2025-03-31,11.3913,11.8992,10.6662,11.164,956919
2025-04-01,10.672,10.7027,10.6355,10.6662,106688
2025-04-02,10.6942,10.9295,10.6258,10.86,515550
2025-04-03,11.0687,11.3748,10.6914,10.9954,626044
2025-04-04,11.1037,11.17,10.9798,11.0458,1004711
2025-04-05,10.6551,10.9432,10.3684,10.6564,460261
2025-04-06,10.714,10.7669,10.658,10.7109,472401
2025-04-07,10.6311,10.6615,10.603,10.6334,442729
2025-04-08,10.7505,10.8145,10.7014,10.7654,747029
2025-04-09,11.0156,11.1301,10.6922,10.8045,14588
2025-04-10,10.8964,10.9748,10.8386,10.9169,869981
2025-04-11,10.7395,11.1245,10.397,10.7806,363694
2025-04-12,10.9555,11.0977,10.8999,11.0416,756701
2025-04-13,11.1524,11.1779,11.1126,11.1381,388331
2025-04-14,10.8873,11.2579,10.647,11.0148,1090881
2025-04-15,10.9201,11.506,10.3234,10.9087,587462
2025-04-16,10.6093,10.8245,10.2635,10.476,313313
2025-04-17,10.4101,10.4478,10.3598,10.3975,579665
2025-04-18,10.1421,10.1973,10.0289,10.0838,1233996
2025-04-19,9.5965,10.2311,9.1935,9.8187,772351
2025-04-20,9.711,9.7869,9.6101,9.6859,134867
2025-04-21,10.0199,10.039,9.9899,10.009,173082
2025-04-22,10.1638,10.1886,10.1363,10.1611,70528
2025-04-23,10.2265,10.5012,10.0346,10.3078,886502
2025-04-24,10.3264,10.3852,10.2527,10.3114,90759
2025-04-25,10.3768,10.4931,10.1573,10.2725,428431
2025-04-26,10.5004,10.5194,10.4886,10.5076,775370
2025-04-27,10.5957,10.6584,10.5477,10.6103,371684
2025-04-28,10.8718,11.2243,10.3909,10.7392,227769
2025-04-29,11.0646,11.2343,10.977,11.146,460762
2025-04-30,10.5731,10.5853,10.5628,10.5749,616528
2025-05-01,10.8103,10.9137,10.6656,10.7686,75877
2025-05-02,10.6146,10.6379,10.5223,10.5455,47876
2025-05-03,10.73,11.1579,10.1968,10.6203,951817
2025-05-04,10.5951,10.8363,10.4491,10.689,559293
2025-05-05,11.2777,11.297,11.1962,11.2154,196442
2025-05-06,11.5625,11.6894,11.3227,11.4483,568522
2025-05-07,11.4374,11.4719,11.4163,11.4507,735254
2025-05-08,11.6379,11.8116,11.4565,11.6301,371382
2025-05-09,11.8939,11.9285,11.8695,11.9041,494460
2025-05-10,11.7378,11.8136,11.7343,11.8102,493557
2025-05-11,11.7542,11.8141,11.6654,11.7252,1065290
2025-05-12,11.8806,11.9201,11.8038,11.8432,639573
2025-05-13,11.6076,11.7258,11.5279,11.6459,855836
2025-05-14,11.8744,12.0326,11.5499,11.7059,234942
2025-05-15,11.7434,11.8306,11.6546,11.7417,1149118
2025-05-16,11.5949,11.6174,11.5587,11.5812,497259
2025-05-17,11.2867,11.3775,11.2541,11.3449,360113
2025-05-18,11.421,11.6321,11.2125,11.4236,304677
2025-05-19,11.9465,12.7842,10.9603,11.7867,257748
2025-05-20,11.769,11.7863,11.7652,11.7825,498187
2025-05-21,11.9089,12.0484,11.7216,11.8605,177020
2025-05-22,11.8778,11.8938,11.8626,11.8785,843756
2025-05-23,11.8469,11.8844,11.7808,11.8182,943649
2025-05-24,11.8475,11.8529,11.8377,11.8431,1094629
2025-05-25,12.1064,12.1212,12.0662,12.0811,913268
2025-05-26,12.2054,12.2474,12.1831,12.2251,221813
2025-05-27,12.1729,12.2659,12.0674,12.1603,721201
2025-05-28,12.0575,12.0774,12.0042,12.024,16822
2025-05-29,11.7016,11.9082,11.4649,11.671,864822
2025-05-30,11.4252,11.6464,11.2519,11.4723,742222
2025-05-31,11.5449,11.6336,11.4307,11.5192,667724
2025-06-01,11.6265,11.6349,11.6158,11.6242,226660
2025-06-02,11.5893,11.6132,11.5513,11.5752,106042
2025-06-03,11.4478,11.5936,11.3501,11.4955,370513
2025-06-04,11.4719,11.4965,11.4622,11.4867,50209
2025-06-05,11.567,11.628,11.5048,11.5658,576565
2025-06-06,11.6376,11.7637,11.4331,11.5582,667271
2025-06-07,11.4931,11.6706,11.4597,11.6367,94028
2025-06-08,11.4507,11.8677,11.0027,11.4185,80911
2025-06-09,11.3432,11.3512,11.3209,11.3289,833790
2025-06-10,11.3638,11.6817,11.098,11.4147,251240
2025-06-11,11.5263,11.5533,11.4875,11.5145,475492
2025-06-12,11.5303,11.578,11.4965,11.5441,1331565
2025-06-13,11.8728,12.6075,11.051,11.7799,301011
2025-06-14,11.3936,11.6922,10.9782,11.2737,562185
2025-06-15,11.1432,11.2064,11.1015,11.1646,510386
2025-06-16,11.3289,11.579,11.2195,11.4683,67370
2025-06-17,11.8078,12.3099,11.3227,11.8241,401502
2025-06-18,12.1041,12.1385,12.0727,12.1071,255554
2025-06-19,11.8789,12.0141,11.8641,11.9992,578403
2025-06-20,12.1677,12.2555,12.1434,12.2311,1013371
2025-06-21,12.2441,12.3962,12.1443,12.2959,434705
2025-06-22,12.717,12.9172,12.4744,12.6739,237220
2025-06-23,12.7446,12.7449,12.7443,12.7447,753542
2025-06-24,13.0767,13.3458,12.6713,12.9375,494523
2025-06-25,13.0961,13.3388,12.8756,13.1179,526539
2025-06-26,12.9547,13.1804,12.8818,13.1066,265743
2025-06-27,13.2373,13.2458,13.2144,13.223,674145
2025-06-28,13.4159,13.6946,13.0833,13.3608,164046
2025-06-29,13.414,13.6389,13.2401,13.4643,755824
2025-06-30,13.7259,13.7603,13.7104,13.7447,381760
2025-07-01,13.4973,13.5101,13.4835,13.4964,258386
2025-07-02,13.0033,13.2243,12.7207,12.9406,675331
2025-07-03,12.8009,12.9452,12.6799,12.824,318676
2025-07-04,13.1872,13.217,13.1513,13.181,918289
2025-07-05,13.3033,13.5733,12.9913,13.2604,465458
2025-07-06,13.4115,13.4797,13.3388,13.4069,301005
2025-07-07,12.9433,13.0216,12.8342,12.9123,445032
2025-07-08,12.7431,13.0141,12.4299,12.6999,380129
2025-07-09,13.2599,13.5165,12.886,13.1402,661135
2025-07-10,13.2769,13.2806,13.2722,13.2758,344513
2025-07-11,13.5856,13.6664,13.4893,13.57,507284
2025-07-12,13.3166,13.8141,12.6504,13.1413,216230
2025-07-13,13.3108,13.3945,13.2266,13.3103,264032
2025-07-14,13.1457,13.5455,12.7254,13.1245,1110227
2025-07-15,13.2978,13.313,13.2439,13.2591,55334
2025-07-16,14.052,14.0915,14.0133,14.0528,474859
2025-07-17,13.8239,13.9754,13.6784,13.8299,1121193
2025-07-18,14.1207,14.1499,14.1105,14.1397,203876
2025-07-19,14.4029,14.8763,13.8218,14.2915,387783
2025-07-20,14.7044,14.7051,14.7036,14.7043,322413
2025-07-21,14.6176,14.9314,14.255,14.5678,422946
2025-07-22,15.0719,15.0962,15.0135,15.0378,464306
2025-07-23,14.0196,14.249,13.8401,14.0688,1007575
2025-07-24,13.9037,14.0411,13.8253,13.9623,30301
2025-07-25,14.1872,14.2695,14.0893,14.1715,539374
2025-07-26,14.3209,14.6527,13.9914,14.3231,902927
2025-07-27,14.7085,15.1621,14.0868,14.535,396360
2025-07-28,14.509,14.5329,14.4869,14.5108,271519
2025-07-29,14.4803,15.2662,13.8292,14.6093,379939
2025-07-30,14.529,14.9184,14.0698,14.4573,67124
2025-07-31,14.3753,14.3765,14.3742,14.3754,1148793
2025-08-01,14.0283,14.8362,13.2047,14.0116,574802
2025-08-02,13.5794,13.7017,13.398,13.5197,1004707
2025-08-03,13.6701,13.7094,13.6697,13.709,912616
2025-08-04,13.8716,14.599,13.0548,13.7772,912812
2025-08-05,13.6134,13.6215,13.6067,13.6147,991546
2025-08-06,14.1638,14.1642,14.1622,14.1626,16724
2025-08-07,14.4573,14.6945,14.2538,14.4905,801642
2025-08-08,14.4324,14.473,14.3899,14.4306,395724
2025-08-09,14.5098,14.6712,14.3646,14.5258,317261
2025-08-10,14.205,14.2241,14.1711,14.1901,19165
2025-08-11,14.0052,14.0518,13.9325,13.979,86127
2025-08-12,14.4072,14.4188,14.3881,14.3997,729604
2025-08-13,14.6946,15.0002,14.3033,14.6071,620138
2025-08-14,14.6246,14.6276,14.6233,14.6263,574914
2025-08-15,14.8987,15.265,14.5092,14.8749,856216
2025-08-16,15.2357,15.6196,14.7587,15.1401,878865
2025-08-17,14.7742,14.9926,14.7037,14.9214,474932
2025-08-18,14.6501,14.9737,14.4301,14.7521,165911
2025-08-19,14.8216,14.8686,14.7369,14.7838,547968
2025-08-20,14.8939,15.5102,14.3974,15.0098,355623
2025-08-21,15.1465,15.6322,14.696,15.1806,739790
2025-08-22,15.317,15.5872,14.8663,15.1332,78016
2025-08-23,14.5148,15.2281,13.862,14.5726,39677
2025-08-24,14.3621,14.5384,14.0808,14.2558,554539
2025-08-25,14.4557,14.7079,14.2831,14.5343,999257
2025-08-26,14.9123,15.176,14.7108,14.9738,1198475
2025-08-27,15.2888,15.3392,15.2194,15.2698,53662
2025-08-28,15.5355,15.8506,15.1575,15.4713,982443
2025-08-29,15.2808,15.2818,15.2736,15.2746,525151
2025-08-30,15.2426,15.4229,15.0873,15.2674,1166720
2025-08-31,15.1922,15.9572,14.3232,15.0827,290507
2025-09-01,15.2832,15.4191,15.1403,15.2761,457021
2025-09-02,14.7752,15.0617,14.4981,14.7845,1054812
2025-09-03,14.7297,14.7967,14.6832,14.7502,983226
2025-09-04,14.3395,14.7276,14.0202,14.4068,137304
2025-09-05,14.2166,14.239,14.2033,14.2257,482348
2025-09-06,14.2069,14.2732,14.2064,14.2727,840898
2025-09-07,14.7238,14.8809,14.4945,14.6508,335470
2025-09-08,14.3713,15.3294,13.2624,14.2097,797454
2025-09-09,13.9721,14.5916,13.4343,14.0507,839877
2025-09-10,13.9876,14.6425,13.4923,14.1417,1081157
2025-09-11,13.8545,13.8587,13.8451,13.8493,629391
2025-09-12,13.7153,13.8752,13.6324,13.7918,752868
2025-09-13,13.2363,13.2444,13.2174,13.2255,8792
2025-09-14,13.2683,13.8425,12.7801,13.3513,568109
2025-09-15,13.3545,13.5691,13.2223,13.436,740373
2025-09-16,13.4094,13.7193,13.14,13.4491,263095
2025-09-17,13.9014,13.9144,13.8605,13.8735,357486
2025-09-18,14.1786,14.7299,13.3949,13.9368,323081
2025-09-19,14.1527,14.2378,14.0391,14.1241,191122
2025-09-20,14.0914,14.1027,13.9322,13.9434,533268
2025-09-21,14.2493,14.2583,14.2261,14.2352,386853
2025-09-22,14.9149,15.1716,14.5667,14.8218,543522
2025-09-23,15.7132,15.9204,15.5411,15.7479,678913
2025-09-24,16.0177,16.1099,16.0048,16.0969,223424
2025-09-25,16.1695,16.3816,15.856,16.0667,812879
2025-09-26,15.9171,16.2509,15.6362,15.9691,876558
